,SI_P2HT_OTH,SI_STUR_BIO_CHP,SI_COMC_GAS_CHP,SI_ICEN_GAS_CHP
2016-09-21 08:00:00,257.9025528480162,75.09269221389334,2.595434904647913,4.325724841079856
2016-09-21 09:00:00,243.4530040466842,70.88546158051733,2.45002004581365,4.083366743022751
2016-09-21 10:00:00,232.94424128207913,67.82565748351658,2.3442637848432764,3.907106308072128
2016-09-21 11:00:00,208.86165994652586,60.81360642788986,2.1019056867861705,3.503176144643618
2016-09-21 12:00:00,203.6072785642233,59.28370437938949,2.049027556300984,3.415045927168307
2016-09-21 13:00:00,192.22278556923447,55.96891660763868,1.9344582735830798,3.2240971226384665
2016-09-21 14:00:00,205.35873902499083,59.79367172888962,2.0666535997960467,3.4444226663267448
2016-09-21 15:00:00,221.12188317189842,64.38337787439073,2.2252879912516064,3.7088133187526777
2016-09-21 16:00:00,232.0685110516954,67.5706738087665,2.335450763095745,3.8924179384929087
2016-09-21 17:00:00,251.7724412353299,73.30780649064292,2.5337437524151953,4.222906254025326
2016-09-21 18:00:00,257.9025528480162,75.09269221389334,2.595434904647913,4.325724841079856
2016-09-21 19:00:00,234.25783662765477,68.20813299564166,2.357483317464573,3.929138862440955
2016-09-21 20:00:00,175.58391119194312,51.12422678738749,1.7670108603799883,2.9450181006333143
2016-09-21 21:00:00,109.46627879796952,31.87295934375779,1.1016277184413892,1.8360461974023154
2016-09-21 22:00:00,83.19437188645684,24.22344910125592,0.8372370660154559,1.3953951100257598
2016-09-21 23:00:00,89.762348614335,26.13582666188139,0.9033347291219392,1.5055578818698987
2016-09-22 00:00:00,89.762348614335,26.13582666188139,0.9033347291219392,1.5055578818698987
2016-09-22 01:00:00,109.46627879796952,31.87295934375779,1.1016277184413892,1.8360461974023154
2016-09-22 02:00:00,170.76739492483244,49.72181657626215,1.7185392407685671,2.8642320679476123
2016-09-22 03:00:00,311.3220969014253,90.64669637364716,3.133029231247311,5.221715385412186
2016-09-22 04:00:00,393.2028734423065,114.48766996277796,3.9570467646414698,6.595077941069117
2016-09-22 05:00:00,373.498943258672,108.75053728090157,3.75875377532202,6.264589625536701
2016-09-22 06:00:00,313.9492875925766,91.41164739789733,3.159468296489904,5.2657804941498405
2016-09-22 07:00:00,300.81333413682023,87.58689227664641,3.027272970276938,5.045454950461563
2016-09-22 08:00:00,269.7249109581969,78.5349718230192,2.7144106982395835,4.524017830399306
2016-09-22 09:00:00,254.39963192648116,74.0727575148931,2.5601828176577888,4.266971362762981
2016-09-22 10:00:00,243.4530040466842,70.88546158051733,2.45002004581365,4.083366743022751
2016-09-22 11:00:00,218.93255759593904,63.74591868751558,2.2032554368827784,3.672092394804631
2016-09-22 12:00:00,211.4888506376771,61.57855745214005,2.1283447520287644,3.5472412533812743
2016-09-22 13:00:00,200.54222275788015,58.39126151776428,2.0181819801846252,3.363636633641043
2016-09-22 14:00:00,213.6781762136365,62.2160166390152,2.150377306397592,3.58396217732932
2016-09-22 15:00:00,229.00345524535226,66.6782309471413,2.3046051869793867,3.841008644965645
2016-09-22 16:00:00,240.82581335553297,70.12051055626715,2.4235809805710566,4.039301634285095
2016-09-22 17:00:00,260.9676086543593,75.98513507551856,2.6262804807642715,4.37713413460712
2016-09-22 18:00:00,267.09772026704564,77.770020798769,2.6879716329969896,4.4799527216616495
2016-09-22 19:00:00,242.57727381630048,70.63047790576726,2.4412070240661183,4.0686783734435314
2016-09-22 20:00:00,182.15188791982126,53.03660434801296,1.8331085234864717,3.055180872477453
2016-09-22 21:00:00,112.53133460431266,32.765402205383005,1.132473294557748,1.8874554909295802
2016-09-22 22:00:00,87.13515792318373,25.370875637631197,0.8768956638793458,1.4614927731322431
2016-09-22 23:00:00,93.26526953587005,27.155761360881638,0.9385868161120637,1.5643113601867729
2016-09-23 00:00:00,93.26526953587005,27.155761360881638,0.9385868161120637,1.5643113601867729
2016-09-23 01:00:00,113.8449299498883,33.1478777175081,1.145692827179045,1.9094880452984084
2016-09-23 02:00:00,177.77323676790252,51.76168597426264,1.789043414748816,2.98173902458136
2016-09-23 03:00:00,322.26872478122226,93.83399230802294,3.2431920030914503,5.405320005152418
2016-09-23 04:00:00,408.0902873588304,118.82239243352902,4.106868134349499,6.844780223915832
2016-09-23 05:00:00,387.5106269448121,112.83027607690258,3.899762123282518,6.499603538804197
2016-09-23 06:00:00,325.3337805875654,94.72643516964816,3.274037579207809,5.456729298679683
2016-09-23 07:00:00,312.1978271318091,90.90168004839722,3.1418422529948424,5.236403754991405
2016-09-23 08:00:00,280.23367372280194,81.59477592001993,2.8201669592099563,4.700278265349928
2016-09-23 09:00:00,264.03266446070245,76.87757793714378,2.6571260568806307,4.428543428134385
2016-09-23 10:00:00,252.6481714657137,73.56279016539298,2.542556774162726,4.2375946236045445
2016-09-23 11:00:00,227.25199478458472,66.16826359764116,2.2869791434843236,3.8116319058072063
2016-09-23 12:00:00,219.37042271113094,63.873410524890616,2.2076619477565442,3.6794365795942405
