,[AGRAS 1;AGRAS 2],[ASSOMATA 1;ASSOMATA 2],EDESSAIOS 1,GHIONA 1,[GLAFKOS-II NO1;GLAFKOS-II NO2],[ILARIONAS 1;ILARIONAS 2;ILARIONAS A1],[KASTRAKI 1;KASTRAKI 2;KASTRAKI 3;KASTRAKI 4],[KREMASTA 1;KREMASTA 2;KREMASTA 3;KREMASTA 4],LADONAS,[LOUROS 1;LOUROS 2;LOUROS 3],[MAKROHORI-I NO 1;MAKROHORI-I NO 2;MAKROHORI-I NO 3],[PIGAI AOOS 1;PIGAI AOOS 2],[PLASTIRA 1;PLASTIRA 2;PLASTIRA 3],[PLATANOVRISI 1;PLATANOVRISI 2],[POLYPHYTON 1;POLYPHYTON 2;POLYPHYTON 3],[POURNARI-I NO 1;POURNARI-I NO 2;POURNARI-I NO 3;POURNARI-I NO A1],[POURNARI-II NO 1;POURNARI-II NO 2],[SFIKIA 1;SFIKIA 2;SFIKIA 3],[STRATOS-I NO 1;STRATOS-I NO 2],[STRATOS-II NO 1;STRATOS-II NO 2],THISAVROS 1,THISAVROS 2,THISAVROS 3
2015-07-06 13:00:00,0.00124545388889,0.000277979938272,0.000266570540936,0.00101822222222,0.00281729896285,0.281822154314,0.00353162209201,0.0560540018036,0.190863801257,0.00173568635383,0.0129594122942,0.00376219301027,0.00302587188856,0.0316599176482,0.0,0.0320356049817,0.000663131597222,0.00146235897266,0.0,3.64842454395e-05,0.898629511111,0.898629511111,0.898629511111
2015-07-06 14:00:00,0.00124274625,0.000297835648148,0.000266170504386,0.00101516911765,0.00281616027122,0.281313021821,0.00354948977865,0.0560027561141,0.190732224702,0.00173477953074,0.0129350270062,0.00374950640851,0.00302451398538,0.0316892124098,0.0,0.0319207559787,0.000654339409722,0.00151357371032,0.0,3.82151741294e-05,0.89668900875,0.89668900875,0.89668900875
2015-07-06 15:00:00,0.00124003861111,0.000317691358025,0.000265770467836,0.00101211601307,0.00281502157959,0.280803889328,0.00356735746528,0.0559515104246,0.190600648148,0.00173387270766,0.0129106417181,0.00373681980676,0.00302315608221,0.0317185071714,0.0,0.0318059069757,0.000645547222222,0.00156478844797,0.0,3.99461028192e-05,0.894748506389,0.894748506389,0.894748506389
2015-07-06 16:00:00,0.00123733097222,0.000337547067901,0.000265370431287,0.0010090629085,0.00281388288796,0.280294756835,0.00358522515191,0.0559002647351,0.190469071594,0.00173296588457,0.01288625643,0.00372413320501,0.00302179817903,0.031747801933,0.0,0.0316910579727,0.000636755034722,0.00161600318563,0.0,4.16770315091e-05,0.892808004028,0.892808004028,0.892808004028
2015-07-06 17:00:00,0.00123462333333,0.000357402777778,0.000264970394737,0.00100600980392,0.00281274419633,0.279785624342,0.00360309283854,0.0558490190456,0.19033749504,0.00173205906149,0.012861871142,0.00371144660326,0.00302044027585,0.0317770966946,0.0,0.0315762089697,0.000627962847222,0.00166721792328,0.0,4.3407960199e-05,0.890867501667,0.890867501667,0.890867501667
2015-07-06 18:00:00,0.00123191569444,0.000377258487654,0.000264570358187,0.00100295669935,0.0028116055047,0.279276491848,0.00362096052517,0.0557977733561,0.190205918485,0.0017311522384,0.0128374858539,0.00369876000151,0.00301908237267,0.0318063914562,0.0,0.0314613599667,0.000619170659722,0.00171843266093,0.0,4.51388888889e-05,0.888926999306,0.888926999306,0.888926999306
2015-07-06 19:00:00,0.00122920805556,0.000397114197531,0.000264170321637,0.000999903594771,0.00281046681307,0.278767359355,0.00363882821181,0.0557465276665,0.190074341931,0.00173024541532,0.0128131005658,0.00368607339976,0.00301772446949,0.0318356862178,0.0,0.0313465109637,0.000610378472222,0.00176964739859,0.0,4.68698175788e-05,0.886986496944,0.886986496944,0.886986496944
2015-07-06 20:00:00,0.00122650041667,0.000416969907407,0.000263770285088,0.000996850490196,0.00280932812144,0.278258226862,0.00365669589844,0.055695281977,0.189942765377,0.00172933859223,0.0127887152778,0.00367338679801,0.00301636656631,0.0318649809794,0.0,0.0312316619607,0.000601586284722,0.00182086213624,0.0,4.86007462687e-05,0.885045994583,0.885045994583,0.885045994583
2015-07-06 21:00:00,0.00122379277778,0.000436825617284,0.000263370248538,0.000993797385621,0.0028081894298,0.277749094369,0.00367456358507,0.0556440362875,0.189811188823,0.00172843176915,0.0127643299897,0.00366070019626,0.00301500866313,0.031894275741,0.0,0.0311168129578,0.000592794097222,0.0018720768739,0.0,5.03316749585e-05,0.883105492222,0.883105492222,0.883105492222
2015-07-06 22:00:00,0.00122108513889,0.00045668132716,0.000262970211988,0.000990744281046,0.00280705073817,0.277239961876,0.0036924312717,0.055592790598,0.189679612269,0.00172752494606,0.0127399447016,0.0036480135945,0.00301365075995,0.0319235705026,0.0,0.0310019639548,0.000584001909722,0.00192329161155,0.0,5.20626036484e-05,0.881164989861,0.881164989861,0.881164989861
2015-07-06 23:00:00,0.0012183775,0.000476537037037,0.000262570175439,0.000987691176471,0.00280591204654,0.276730829383,0.00371029895833,0.0555415449085,0.189548035714,0.00172661812298,0.0127155594136,0.00363532699275,0.00301229285678,0.0319528652642,0.0,0.0308871149518,0.000575209722222,0.00197450634921,0.0,5.37935323383e-05,0.8792244875,0.8792244875,0.8792244875
2015-07-07 00:00:00,0.00121883305556,0.000500147794496,0.00026150877193,0.000986518586601,0.00280486782502,0.275806549265,0.00370172379015,0.0555364994994,0.18942239418,0.00172575697816,0.0127079089506,0.00362435954861,0.00301107282124,0.0324928480449,0.0,0.0308095215646,0.000568054513889,0.00201535939153,0.0,5.26559908789e-05,0.878461143924,0.878461143924,0.878461143924
2015-07-07 01:00:00,0.00121928861111,0.000523758551955,0.000260447368421,0.000985345996732,0.00280382360351,0.274882269148,0.00369314862196,0.0555314540904,0.189296752646,0.00172489583333,0.0127002584877,0.00361339210447,0.00300985278571,0.0330328308256,0.0,0.0307319281775,0.000560899305556,0.00205621243386,0.0,5.15184494196e-05,0.877697800347,0.877697800347,0.877697800347
2015-07-07 02:00:00,0.00121974416667,0.000547369309414,0.000259385964912,0.000984173406863,0.00280277938199,0.27395798903,0.00368457345378,0.0555264086814,0.189171111111,0.00172403468851,0.0126926080247,0.00360242466033,0.00300863275018,0.0335728136063,0.0,0.0306543347903,0.000553744097222,0.00209706547619,0.0,5.03809079602e-05,0.876934456771,0.876934456771,0.876934456771
2015-07-07 03:00:00,0.00122019972222,0.000570980066872,0.000258324561404,0.000983000816993,0.00280173516047,0.273033708913,0.00367599828559,0.0555213632723,0.189045469577,0.00172317354369,0.0126849575617,0.00359145721618,0.00300741271465,0.0341127963871,0.0,0.0305767414032,0.000546588888889,0.00213791851852,0.0,4.92433665008e-05,0.876171113194,0.876171113194,0.876171113194
