,SI_P2HT_OTH,SI_STUR_BIO_CHP,SI_COMC_GAS_CHP
2016-03-26 03:00:00,519.2884764457096,294.2335013503981,18.26550750623254
2016-03-26 04:00:00,732.2611263929687,414.9057121315015,25.75662990290023
2016-03-26 05:00:00,875.4946214456593,496.0630931857952,30.79473992786313
2016-03-26 06:00:00,843.3073191866276,477.82547946572913,29.662580371691686
2016-03-26 07:00:00,809.2424242958192,458.52400494532594,28.46437817474358
2016-03-26 08:00:00,775.9822119614865,439.6784707679244,27.294479966699765
2016-03-26 09:00:00,738.1621318071244,418.24927464684686,25.96419248819832
2016-03-26 10:00:00,708.6571047363456,401.5314620701197,24.926379561707837
2016-03-26 11:00:00,690.954088493878,391.50077452408334,24.303691805813543
2016-03-26 12:00:00,682.1025803726444,386.4854307510653,23.9923479278664
2016-03-26 13:00:00,688.0035857868003,389.8289932664107,24.1999105131645
2016-03-26 14:00:00,698.7326865398107,395.90819783976605,24.57729703188831
2016-03-26 15:00:00,729.8470787235412,413.5378911024965,25.671717936187367
2016-03-26 16:00:00,754.5240104554657,427.52006162121376,26.539706929252137
2016-03-26 17:00:00,758.2791957190193,429.6477832218881,26.67179221080547
2016-03-26 18:00:00,754.7922379742906,427.6720417355477,26.549141592220234
2016-03-26 19:00:00,733.8704915059202,415.8175928175047,25.813237880708797
2016-03-26 20:00:00,661.7172889419245,374.93494206169015,23.275313542291155
2016-03-26 21:00:00,514.4603811068549,291.49785929238817,18.095683572806823
2016-03-26 22:00:00,409.0469662085265,231.76967435917206,14.387861026345366
2016-03-26 23:00:00,317.84960980793693,180.0964354856517,11.180075617192955
2016-03-27 00:00:00,336.62553612570537,190.73504348902358,11.840502024959628
2016-03-27 01:00:00,342.7947690586864,194.23058611870286,12.057499273225819
2016-03-27 02:00:00,378.2008015436212,214.29196121077544,13.302874785014401
2016-03-27 03:00:00,470.73929553833693,266.72510065596515,16.557833509007285
2016-03-27 04:00:00,668.9594319502065,379.03840514870495,23.53004944242973
2016-03-27 05:00:00,814.6069746723244,461.5636072320037,28.65307143410549
2016-03-27 06:00:00,785.9066301580214,445.3017349982781,27.64356249651929
2016-03-27 07:00:00,746.2089573718823,422.8086780768634,26.247232377241183
2016-03-27 08:00:00,700.6102791715875,396.9720586401032,24.64333967266498
2016-03-27 09:00:00,660.6443788666235,374.32702160435457,23.237574890418774
2016-03-27 10:00:00,631.4075793146696,357.7611891419613,22.209196626896382
2016-03-27 11:00:00,615.0457006663286,348.4904021675944,21.63368218584257
2016-03-27 12:00:00,603.243689838017,341.80327713690355,21.218557015246372
2016-03-27 13:00:00,609.9493778086487,345.6027799952506,21.45442358944876
2016-03-27 14:00:00,621.2149335993097,351.9859447972737,21.85067943410876
2016-03-27 15:00:00,649.6470505947875,368.0958369166654,22.850753708726867
2016-03-27 16:00:00,679.1520776655665,384.8136494933925,23.888566635217348
2016-03-27 17:00:00,691.2223160127033,391.65275463841726,24.31312646878164
2016-03-27 18:00:00,694.4410462386065,393.4765160104239,24.426342424398786
2016-03-27 19:00:00,675.1286648831876,382.5339477783843,23.74704669069592
2016-03-27 20:00:00,606.7306475827454,343.77901862324404,21.341207633831615
2016-03-27 21:00:00,462.692469973579,262.16569722594863,16.274793619964424
2016-03-27 22:00:00,357.0108275564254,202.28553217839868,12.557536410534873
2016-03-27 23:00:00,253.4750052898737,143.62120804551972,8.915756504850076
2016-03-28 00:00:00,266.88638123113697,151.22021376221392,9.387489653254846
2016-03-28 01:00:00,271.71447656999163,153.95585582022377,9.557313586680557
2016-03-28 02:00:00,304.1700063478485,172.3454496546237,10.698907805820095
2016-03-28 03:00:00,386.5158546272043,219.00334475512585,13.595349337025358
2016-03-28 04:00:00,558.9861492318486,316.7265582718128,19.661837625510646
2016-03-28 05:00:00,672.9828447325855,381.31810686371324,23.67156938695116
2016-03-28 06:00:00,642.1366800676801,363.8403937153166,22.586583145620196
2016-03-28 07:00:00,602.9754623191917,341.6512970225697,21.20912235227828
2016-03-28 08:00:00,564.8871546460043,320.07012078715826,19.869400210808745
2016-03-28 09:00:00,528.1399845669433,299.24884512341623,18.576851384179687
2016-03-28 10:00:00,510.43696832447597,289.21815757737994,17.954163628285396
2016-03-28 11:00:00,496.48913734556226,281.315191632018,17.46356115394444
2016-03-28 12:00:00,477.17675599014325,270.37262339997835,16.78426542024157
2016-03-28 13:00:00,477.17675599014325,270.37262339997835,16.78426542024157
2016-03-28 14:00:00,490.5881319314065,277.97162911667255,17.25599856864634
2016-03-28 15:00:00,518.752021408059,293.92954112173027,18.246638180296348
2016-03-28 16:00:00,550.4028686294403,311.86319461312854,19.359928410531598
2016-03-28 17:00:00,564.6189271271791,319.91814067282434,19.85996554784065
2016-03-28 18:00:00,566.2282922401307,320.83002135882765,19.91657352564922
2016-03-28 19:00:00,553.8898263741686,313.83893609946904,19.482579029116838
2016-03-28 20:00:00,497.8302749396886,282.07509220368746,17.510734468784918
