,HE Zakucac,HE Senj,HE Dubrovnik_HR,HE Vinodol,HE Peruca,HE Sklope,RHE Velebit,RHE Orlovac,RHE Vinodol
2015-01-05 15:00:00+00:00,0.90745578,0.999945402,0.868634799,0.837403865,0.745140054,0.742147068,0.1,0.1,0.1
2015-01-05 16:00:00+00:00,1,1,0.868757908,0.857872165,0.746347337,0.743663933,0.1,0.1,0.1
2015-01-05 17:00:00+00:00,0.907749009,0.99991767,0.868711833,0.829489877,0.746596275,0.7439046,0.1,0.1,0.1
2015-01-05 18:00:00+00:00,0.815644632,0.999821475,0.868666999,0.801133553,0.746849024,0.744134698,0.1,0.1,0.1
2015-01-05 19:00:00+00:00,1,1,0.86879383,0.821679742,0.748067735,0.745619858,0.1,0.1,0.1
2015-01-05 20:00:00+00:00,0.908188852,0.999876073,0.868751477,0.793375343,0.748328102,0.74582882,0.1,0.1,0.1
2015-01-05 21:00:00+00:00,0.816524318,0.99973828,0.868710365,0.765096907,0.748592278,0.746027213,0.1,0.1,0.1
2015-01-05 22:00:00+00:00,0.725006398,0.999586621,0.868670493,0.736844435,0.748860264,0.746215038,0.1,0.1,0.1
2015-01-05 23:00:00+00:00,0.92425528,1,0.868802286,0.757494476,0.750094213,0.747657925,0.1,0.1,0.1
2015-01-06 00:00:00+00:00,1,0.999826717,0.868762661,0.729293929,0.750361411,0.74783038,0.1,0.1,0.1
2015-01-06 01:00:00+00:00,1,1,0.868892466,0.749995897,0.751586166,0.749263663,0.1,0.1,0.1
2015-01-06 02:00:00+00:00,1,1,0.869021276,0.770723827,0.752806323,0.750692145,0.1,0.1,0.1
2015-01-06 03:00:00+00:00,1,1,0.869149091,0.79147772,0.754021884,0.752115825,0.1,0.1,0.1
2015-01-06 04:00:00+00:00,0.931499455,1,0.869275913,0.812257577,0.755232848,0.753534703,0.1,0.1,0.1
2015-01-06 05:00:00+00:00,1,0.999787927,0.869231315,0.784186845,0.755477061,0.753683149,0.1,0.1,0.1
2015-01-06 06:00:00+00:00,0.978723413,0.999568095,0.869356148,0.756142077,0.755716676,0.753826794,0.1,0.1,0.1
2015-01-06 07:00:00+00:00,1,1,0.869479986,0.776999822,0.756913849,0.755231267,0.1,0.1,0.1
2015-01-06 08:00:00+00:00,1,0.999764652,0.869432405,0.74900698,0.75714427,0.755365308,0.1,0.1,0.1
2015-01-06 09:00:00+00:00,0.910094838,0.999521547,0.86938383,0.7210401,0.757418881,0.755494548,0.1,0.1,0.1
2015-01-06 10:00:00+00:00,0.82033629,0.999270683,0.86933426,0.693099184,0.757640108,0.755618986,0.1,0.1,0.1
2015-01-06 11:00:00+00:00,0.730724357,0.999012061,0.869283697,0.66518423,0.757856739,0.755738622,0.1,0.1,0.1
2015-01-06 12:00:00+00:00,0.641259038,0.998745681,0.869232138,0.63729524,0.758068772,0.755853456,0.1,0.1,0.1
2015-01-06 13:00:00+00:00,0.551940334,0.998471543,0.86935001,0.609432212,0.758276209,0.755963489,0.1,0.1,0.1
2015-01-06 14:00:00+00:00,0.753388431,0.999877147,0.869466887,0.630471699,0.759441202,0.75733435,0.1,0.1,0.1
2015-01-06 15:00:00+00:00,0.954983142,1,0.86958277,0.651537149,0.760601598,0.75870041,0.1,0.1,0.1
2015-01-06 16:00:00+00:00,1,1,0.869697658,0.672628561,0.761757397,0.760061667,0.1,0.1,0.1
2015-01-06 17:00:00+00:00,1,1,0.869811552,0.693745937,0.762908599,0.761418123,0.1,0.1,0.1
2015-01-06 18:00:00+00:00,0.911414367,0.999687072,0.869754027,0.666012725,0.76309305,0.761504147,0.1,0.1,0.1
2015-01-06 19:00:00+00:00,0.822975348,0.999366385,0.869695508,0.638305475,0.763272904,0.76158537,0.1,0.1,0.1
2015-01-06 20:00:00+00:00,0.734682944,0.99903794,0.869635995,0.610624189,0.763448161,0.761661791,0.1,0.1,0.1
2015-01-06 21:00:00+00:00,0.646537154,0.998701738,0.869575487,0.582968866,0.764081682,0.76173341,0.1,0.1,0.1
2015-01-06 22:00:00+00:00,0.849158166,1,0.869684408,0.604216056,0.765209898,0.763065857,0.1,0.1,0.1
2015-01-06 23:00:00+00:00,1,1,0.869792336,0.62548921,0.766333518,0.764393503,0.1,0.1,0.1
2015-01-07 00:00:00+00:00,1,1,0.869900305,0.646788327,0.767485391,0.765728253,0.1,0.1,0.1
2015-01-07 01:00:00+00:00,0.996243173,0.999788417,0.870008315,0.668113407,0.768665518,0.767070109,0.1,0.1,0.1
2015-01-07 02:00:00+00:00,1,1,0.870116366,0.689464449,0.769873899,0.76841907,0.1,0.1,0.1
2015-01-07 03:00:00+00:00,0.916292704,1,0.870224459,0.710841455,0.771110534,0.768509506,0.1,0.1,0.1
2015-01-07 04:00:00+00:00,1,0.99999862,0.87016217,0.732244424,0.772375422,0.768607047,0.1,0.1,0.1
2015-01-07 05:00:00+00:00,1,1,0.870270345,0.753673356,0.773668565,0.769977323,0.1,0.1,0.1
2015-01-07 06:00:00+00:00,1,1,0.870378563,0.775128251,0.774989961,0.771354705,0.1,0.1,0.1
2015-01-07 07:00:00+00:00,1,1,0.870486821,0.796609109,0.776339611,0.772739191,0.1,0.1,0.1
2015-01-07 08:00:00+00:00,0.913466968,1,0.870424697,0.769239379,0.776755361,0.772865152,0.1,0.1,0.1
2015-01-07 09:00:00+00:00,1,1,0.870533038,0.790772163,0.778161518,0.774263849,0.1,0.1,0.1
2015-01-07 10:00:00+00:00,0.913760196,1,0.870470997,0.763454359,0.778633776,0.774404021,0.1,0.1,0.1
2015-01-07 11:00:00+00:00,1,1,0.870579421,0.785039068,0.780096441,0.775816927,0.1,0.1,0.1
2015-01-07 12:00:00+00:00,1,1,0.870687886,0.806649741,0.78158736,0.777236939,0.1,0.1,0.1
2015-01-07 13:00:00+00:00,1,1,0.870796393,0.828286377,0.782508859,0.778664056,0.1,0.1,0.1
2015-01-07 14:00:00+00:00,1,1,0.870904942,0.849948976,0.784056285,0.778832648,0.1,0.1,0.1
2015-01-07 15:00:00+00:00,0.914493268,1,0.870843107,0.822760988,0.784669812,0.779008345,0.1,0.1,0.1
2015-01-07 16:00:00+00:00,1,1,0.870951738,0.844475513,0.786273746,0.780456777,0.1,0.1,0.1
2015-01-07 17:00:00+00:00,0.914786497,1,0.870889986,0.81733945,0.78694378,0.780646685,0.1,0.1,0.1
2015-01-07 18:00:00+00:00,1,1,0.870828276,0.839105901,0.788604222,0.782109327,0.1,0.1,0.1
2015-01-07 19:00:00+00:00,1,1,0.870766607,0.812021764,0.789330763,0.782313444,0.1,0.1,0.1
2015-01-07 20:00:00+00:00,0.91522634,1,0.870704979,0.78496359,0.790085559,0.782524667,0.1,0.1,0.1
2015-01-07 21:00:00+00:00,1,1,0.870813817,0.757931379,0.790868608,0.782742995,0.1,0.1,0.1
2015-01-07 22:00:00+00:00,0.915519568,1,0.870752273,0.730925132,0.791679911,0.782968427,0.1,0.1,0.1
2015-01-07 23:00:00+00:00,1,1,0.870690769,0.703944847,0.792519468,0.783200965,0.1,0.1,0.1
2015-01-08 00:00:00+00:00,0.982908185,1,0.870802253,0.725867076,0.794318939,0.783454437,0.1,0.1,0.1
2015-01-08 01:00:00+00:00,1,1,0.870916301,0.747815268,0.79611617,0.783728841,0.1,0.1,0.1
2015-01-08 02:00:00+00:00,0.95842622,1,0.871032911,0.769789424,0.797911162,0.784024179,0.1,0.1,0.1
2015-01-08 03:00:00+00:00,1,1,0.871152085,0.791789542,0.799703913,0.784340451,0.1,0.1,0.1
2015-01-08 04:00:00+00:00,1,1,0.871273823,0.813815623,0.801494425,0.785943286,0.1,0.1,0.1
2015-01-08 05:00:00+00:00,1,1,0.871227699,0.786991117,0.802320543,0.786301424,0.1,0.1,0.1
2015-01-08 06:00:00+00:00,0.916692483,1,0.871184139,0.760192573,0.803144422,0.786680496,0.1,0.1,0.1
2015-01-08 07:00:00+00:00,1,1,0.871313566,0.782296543,0.804928214,0.788346132,0.1,0.1,0.1
2015-01-08 08:00:00+00:00,0.916985712,1,0.871275132,0.755549926,0.805747613,0.78876707,0.1,0.1,0.1
2015-01-08 09:00:00+00:00,0.988348666,1,0.871409686,0.777705822,0.807526926,0.790474572,0.1,0.1,0.1
2015-01-08 10:00:00+00:00,0.905627606,1,0.871376379,0.751011131,0.808341845,0.790937378,0.1,0.1,0.1
2015-01-08 11:00:00+00:00,0.823053161,1,0.871345635,0.724342402,0.809154525,0.791421117,0.1,0.1,0.1
2015-01-08 12:00:00+00:00,0.74062533,1,0.871317455,0.697699637,0.809964965,0.791925789,0.1,0.1,0.1
2015-01-08 13:00:00+00:00,0.916655657,1,0.871462262,0.719959385,0.810773165,0.792451395,0.1,0.1,0.1
2015-01-08 14:00:00+00:00,0.834521055,1,0.871439208,0.693368546,0.811579125,0.792997935,0.1,0.1,0.1
2015-01-08 15:00:00+00:00,1,1,0.871589141,0.71568022,0.813344999,0.794831037,0.1,0.1,0.1
2015-01-08 16:00:00+00:00,0.918158627,1,0.871571214,0.689141307,0.81414648,0.795419444,0.1,0.1,0.1
2015-01-08 17:00:00+00:00,1,1,0.871726274,0.711504907,0.81496499,0.797294413,0.1,0.1,0.1
2015-01-08 18:00:00+00:00,0.918451855,1,0.871713473,0.68501792,0.815761991,0.797924686,0.1,0.1,0.1
2015-01-08 19:00:00+00:00,0.888844006,1,0.87187366,0.707433446,0.817518906,0.799841523,0.1,0.1,0.1
2015-01-08 20:00:00+00:00,0.80758909,1,0.871865986,0.680998385,0.818311427,0.800513662,0.1,0.1,0.1
2015-01-08 21:00:00+00:00,0.726480788,1,0.871860875,0.654589287,0.819101709,0.801206736,0.1,0.1,0.1
2015-01-08 22:00:00+00:00,0.645519101,1,0.871858328,0.628206152,0.819889751,0.801920743,0.1,0.1,0.1
2015-01-08 23:00:00+00:00,0.564704027,1,0.871984225,0.601848979,0.820675553,0.802655683,0.1,0.1,0.1
2015-01-09 00:00:00+00:00,0.484035569,1,0.872153979,0.624394321,0.822408295,0.803397836,0.1,0.1,0.1
2015-01-09 01:00:00+00:00,0.403513724,1,0.872323047,0.646965626,0.824125821,0.804147202,0.1,0.1,0.1
2015-01-09 02:00:00+00:00,0.58795707,1,0.872321004,0.620686342,0.82486598,0.804903781,0.1,0.1,0.1
2015-01-09 03:00:00+00:00,0.798348642,1,0.872488699,0.643309573,0.826553077,0.806933204,0.1,0.1,0.1
2015-01-09 04:00:00+00:00,1,1,0.872655708,0.665958767,0.82822496,0.808969839,0.1,0.1,0.1
2015-01-09 05:00:00+00:00,1,1,0.872822031,0.688633924,0.829881628,0.811013687,0.1,0.1,0.1
2015-01-09 06:00:00+00:00,0.920211227,1,0.872817243,0.662458492,0.830560928,0.811799118,0.1,0.1,0.1
2015-01-09 07:00:00+00:00,1,1,0.872982194,0.685185575,0.832187167,0.813857393,0.1,0.1,0.1
2015-01-09 08:00:00+00:00,1,1,0.873146458,0.707938621,0.833306833,0.81592288,0.1,0.1,0.1
2015-01-09 09:00:00+00:00,0.92065107,1,0.873139612,0.681841079,0.833940489,0.81672995,0.1,0.1,0.1
2015-01-09 10:00:00+00:00,1,1,0.873302503,0.656335639,0.835521084,0.818809864,0.1,0.1,0.1
2015-01-09 11:00:00+00:00,1,1,0.873464709,0.679166574,0.837086465,0.82089699,0.1,0.1,0.1
2015-01-09 12:00:00+00:00,0.921090913,1,0.873455804,0.653146921,0.837674477,0.821725699,0.1,0.1,0.1
2015-01-09 13:00:00+00:00,1,1,0.873518881,0.676029782,0.839209429,0.823827252,0.1,0.1,0.1
2015-01-09 14:00:00+00:00,1,1,0.873679028,0.698938606,0.840729166,0.825936017,0.1,0.1,0.1
2015-01-09 15:00:00+00:00,1,1,0.873838489,0.721873393,0.842233688,0.828051996,0.1,0.1,0.1
2015-01-09 16:00:00+00:00,0.921677371,1,0.87382684,0.695957592,0.842760842,0.828909557,0.1,0.1,0.1
2015-01-09 17:00:00+00:00,0.843501355,1,0.873814504,0.670067754,0.843272781,0.829774331,0.1,0.1,0.1
2015-01-09 18:00:00+00:00,0.932433561,1,0.873971906,0.69308043,0.843769506,0.830646319,0.1,0.1,0.1
2015-01-09 19:00:00+00:00,1,1,0.873958198,0.688292672,0.84521317,0.831525519,0.1,0.1,0.1
2015-01-09 20:00:00+00:00,0.922263828,1,0.873943803,0.662480724,0.845679465,0.832411933,0.1,0.1,0.1
2015-01-09 21:00:00+00:00,0.84467427,1,0.873928723,0.636694738,0.846130546,0.833305559,0.1,0.1,0.1
2015-01-09 22:00:00+00:00,1,1,0.87408338,0.659811266,0.847528566,0.835472029,0.1,0.1,0.1
2015-01-09 23:00:00+00:00,1,1,0.874066927,0.634077206,0.847949218,0.836380082,0.1,0.1,0.1
2015-01-10 00:00:00+00:00,1,1,0.874219279,0.65724566,0.849320096,0.838549484,0.1,0.1,0.1
2015-01-10 01:00:00+00:00,1,1,0.874199587,0.631563526,0.849716894,0.840714606,0.1,0.1,0.1
2015-01-10 02:00:00+00:00,1,1,0.8743487,0.605907356,0.851063918,0.841609819,0.1,0.1,0.1
2015-01-10 03:00:00+00:00,1,1,0.874496193,0.629153699,0.852399016,0.843766381,0.1,0.1,0.1
2015-01-10 04:00:00+00:00,1,1,0.874642067,0.603549454,0.852760032,0.845918663,0.1,0.1,0.1
2015-01-10 05:00:00+00:00,1,1,0.874786321,0.626847723,0.854071276,0.848066666,0.1,0.1,0.1
2015-01-10 06:00:00+00:00,1,1,0.874758532,0.601295405,0.854408438,0.848944758,0.1,0.1,0.1
2015-01-10 07:00:00+00:00,1,1,0.874899547,0.6246456,0.855695827,0.8510842,0.1,0.1,0.1
2015-01-10 08:00:00+00:00,1,1,0.875038943,0.648021758,0.85697129,0.853219362,0.1,0.1,0.1
2015-01-10 09:00:00+00:00,0.924169814,1,0.875006296,0.622547328,0.857272671,0.854084614,0.1,0.1,0.1
2015-01-10 10:00:00+00:00,0.848486243,1,0.874972028,0.597098862,0.857562126,0.854945586,0.1,0.1,0.1
2015-01-10 11:00:00+00:00,1,1,0.875106566,0.620552909,0.858801807,0.857067908,0.1,0.1,0.1
2015-01-10 12:00:00+00:00,1,1,0.875239484,0.644032919,0.860029561,0.85918595,0.1,0.1,0.1
2015-01-10 13:00:00+00:00,0.924756272,1,0.875200358,0.618662342,0.860283235,0.860034082,0.1,0.1,0.1
