,HE Vrutok,HE Tikvesh,HE Shpilje,HE Kozjak,HE Globochica,HDAM,HROR
2010-01-04 10:00:00+00:00,0.605358173,0.659646433,0.670043333,0.909618399,0.505698553,0.848064486,0.9104146
2010-01-04 11:00:00+00:00,0.605462716,0.659537196,0.671021076,0.909674072,0.501142715,0.847450954,0.9084581
2010-01-04 12:00:00+00:00,0.605564056,0.659424836,0.671994778,0.909728779,0.496594342,0.846835663,0.9065017
2010-01-04 13:00:00+00:00,0.605662195,0.659309352,0.672964437,0.909782522,0.492053435,0.846218613,0.9040741
2010-01-04 14:00:00+00:00,0.605757132,0.659190744,0.673930054,0.909835298,0.487519995,0.845599803,0.9013022
2010-01-04 15:00:00+00:00,0.605848866,0.659069009,0.674891627,0.90988711,0.482994021,0.844979232,0.8984364
2010-01-04 16:00:00+00:00,0.605937399,0.658944148,0.675849156,0.909937956,0.478475513,0.844356901,0.8955706
2010-01-04 17:00:00+00:00,0.60602273,0.65881616,0.676802641,0.909987836,0.473964471,0.843732808,0.8927049
2010-01-04 18:00:00+00:00,0.606104859,0.658685043,0.677752081,0.91003675,0.469460895,0.843106954,0.8898391
2010-01-04 19:00:00+00:00,0.606183786,0.658550796,0.678697475,0.910084699,0.464964785,0.842479337,0.8869733
2010-01-04 20:00:00+00:00,0.606259512,0.65841342,0.679638823,0.910131682,0.460476141,0.841849958,0.8841075
2010-01-04 21:00:00+00:00,0.606332035,0.658272912,0.680576125,0.910177699,0.455994963,0.841218814,0.8812418
2010-01-04 22:00:00+00:00,0.606401356,0.658129272,0.681509379,0.91022275,0.451521251,0.840585908,0.878376
2010-01-04 23:00:00+00:00,0.606467476,0.657982499,0.682438585,0.910266834,0.447055006,0.839951238,0.8755102
2010-01-05 00:00:00+00:00,0.606536245,0.657836652,0.683371387,0.910310865,0.442596227,0.839319991,0.8761361
2010-01-05 01:00:00+00:00,0.606607665,0.657691732,0.684307785,0.91035484,0.438144913,0.838692169,0.8767619
2010-01-05 02:00:00+00:00,0.606681735,0.657547738,0.685247777,0.910398761,0.433701066,0.838067771,0.8773878
2010-01-05 03:00:00+00:00,0.606758455,0.657404671,0.686191364,0.910442628,0.429264685,0.837446797,0.8780136
2010-01-05 04:00:00+00:00,0.606837825,0.657262529,0.687138546,0.91048644,0.42483577,0.836829247,0.8786395
2010-01-05 05:00:00+00:00,0.607282307,0.65819062,0.688104649,0.911283491,0.431964416,0.839117363,0.8792654
2010-01-05 06:00:00+00:00,0.607366977,0.658050331,0.689059017,0.911327194,0.427550433,0.838273843,0.8798912
2010-01-05 07:00:00+00:00,0.607454298,0.657910967,0.690016978,0.911370842,0.423143917,0.83743291,0.8805171
2010-01-05 08:00:00+00:00,0.60772196,0.658616719,0.691198716,0.912167729,0.422490843,0.837964712,0.8811429
2010-01-05 09:00:00+00:00,0.607814581,0.658479207,0.692163861,0.912211268,0.418099258,0.837128951,0.8817688
2010-01-05 10:00:00+00:00,0.607909851,0.658342621,0.693132598,0.912254753,0.41371514,0.836295776,0.8823946
2010-01-05 11:00:00+00:00,0.608007772,0.658206961,0.694104925,0.912298183,0.409338487,0.835465188,0.8830205
2010-01-05 12:00:00+00:00,0.608108343,0.658166447,0.695080843,0.912341558,0.404969301,0.834666691,0.8836464
2010-01-05 13:00:00+00:00,0.608574027,0.658032638,0.69615824,0.913138173,0.4137185,0.836946607,0.8842722
2010-01-05 14:00:00+00:00,0.608747208,0.658860578,0.697141338,0.913443728,0.409364246,0.836539921,0.8848981
2010-01-05 15:00:00+00:00,0.608855729,0.65872862,0.698128025,0.913486939,0.405017458,0.835719677,0.8855239
2010-01-05 16:00:00+00:00,0.6089669,0.658597587,0.6991183,0.913530096,0.400678136,0.83490202,0.8861498
2010-01-05 17:00:00+00:00,0.609431102,0.65879488,0.700112164,0.914326493,0.39634628,0.834564503,0.8867757
2010-01-05 18:00:00+00:00,0.609547574,0.658665698,0.701109616,0.91436954,0.392021891,0.833752017,0.8874015
2010-01-05 19:00:00+00:00,0.609666696,0.65853744,0.702110655,0.914412534,0.387704967,0.832942118,0.8880274
2010-01-05 20:00:00+00:00,0.61015093,0.659479412,0.703350595,0.915208766,0.396506429,0.835574982,0.8886532
2010-01-05 21:00:00+00:00,0.610637814,0.66042231,0.705900105,0.916004944,0.405315356,0.838210433,0.8892791
2010-01-05 22:00:00+00:00,0.610764886,0.660296826,0.706911903,0.916047774,0.401020831,0.837408291,0.8899049
2010-01-05 23:00:00+00:00,0.610894609,0.660172268,0.707927288,0.916090549,0.396733772,0.836608736,0.8905308
2010-01-06 00:00:00+00:00,0.61102486,0.660051062,0.70893944,0.916134421,0.392454179,0.835812493,0.8917958
2010-01-06 01:00:00+00:00,0.61132535,0.659949789,0.709948359,0.916840709,0.401292971,0.838042304,0.8930608
2010-01-06 02:00:00+00:00,0.611819121,0.66090459,0.711633675,0.917640069,0.410139229,0.840692865,0.8942299
2010-01-06 03:00:00+00:00,0.611950958,0.660793436,0.712636127,0.917687231,0.405882034,0.839906559,0.8953068
2010-01-06 04:00:00+00:00,0.612083324,0.66068563,0.713635346,0.917735491,0.401632305,0.839123566,0.8963838
2010-01-06 05:00:00+00:00,0.61257868,0.661650477,0.716172626,0.91853814,0.410500962,0.841784062,0.8974607
2010-01-06 06:00:00+00:00,0.612712103,0.661549366,0.717165376,0.918588593,0.406266165,0.841007691,0.8985376
2010-01-06 07:00:00+00:00,0.612889931,0.662350592,0.718154891,0.918811113,0.402038835,0.84059128,0.8996145
2010-01-06 08:00:00+00:00,0.613024411,0.66225617,0.71914117,0.918863758,0.39781897,0.83982153,0.9006914
2010-01-06 09:00:00+00:00,0.613159421,0.662165092,0.720124213,0.918917499,0.393606572,0.839055089,0.9017683
2010-01-06 10:00:00+00:00,0.613616342,0.662399433,0.721104021,0.91972563,0.38940164,0.838759725,0.9028452
2010-01-06 11:00:00+00:00,0.613752409,0.663230824,0.722080592,0.919781564,0.385204174,0.838286675,0.9039221
2010-01-06 12:00:00+00:00,0.613889004,0.66314977,0.723053926,0.919838593,0.381014174,0.837530161,0.904999
2010-01-06 13:00:00+00:00,0.614026128,0.663072056,0.724024023,0.919896718,0.37683164,0.836776955,0.9060759
2010-01-06 14:00:00+00:00,0.614163781,0.66299768,0.724990882,0.919955939,0.372656572,0.836027057,0.9071528
2010-01-06 15:00:00+00:00,0.614616458,0.663905123,0.725954504,0.920582636,0.368488971,0.835883143,0.9082297
2010-01-06 16:00:00+00:00,0.614835835,0.664593602,0.726914887,0.920958385,0.364328835,0.835514795,0.9093066
2010-01-06 17:00:00+00:00,0.614975074,0.664665231,0.727872032,0.921020892,0.360176166,0.834817405,0.9103835
2010-01-06 18:00:00+00:00,0.615192483,0.665454698,0.728825938,0.921387045,0.356030962,0.834480025,0.9114604
2010-01-06 19:00:00+00:00,0.615332779,0.666420537,0.729776604,0.921451743,0.351893225,0.834067175,0.9125373
2010-01-06 20:00:00+00:00,0.615801786,0.667384444,0.730724031,0.922137249,0.347762954,0.833975691,0.9136143
2010-01-06 21:00:00+00:00,0.61594314,0.667333411,0.731668218,0.922204137,0.343640149,0.833248938,0.9146912
2010-01-06 22:00:00+00:00,0.616447484,0.668355015,0.734150461,0.923025414,0.352635729,0.835965668,0.9157681
2010-01-06 23:00:00+00:00,0.616589895,0.668310643,0.735088166,0.923094492,0.348527856,0.835245525,0.916845
2010-01-07 00:00:00+00:00,0.61673166,0.668265037,0.736018648,0.923163816,0.344427449,0.834526446,0.9166928
2010-01-07 01:00:00+00:00,0.616872779,0.668218197,0.736941906,0.923233388,0.340334509,0.833808429,0.9165406
2010-01-07 02:00:00+00:00,0.617375714,0.66908736,0.737857936,0.924056499,0.336249034,0.833757118,0.9163883
2010-01-07 03:00:00+00:00,0.617878003,0.670107357,0.74025933,0.924879857,0.345281945,0.836481407,0.9162361
2010-01-07 04:00:00+00:00,0.618017183,0.670056814,0.741160902,0.924950168,0.341211402,0.835766582,0.9160839
2010-01-07 05:00:00+00:00,0.61851818,0.671074343,0.743596537,0.92577402,0.350259245,0.838492998,0.9159317
2010-01-07 06:00:00+00:00,0.619018531,0.672090637,0.746024938,0.926598117,0.359314554,0.840999016,0.9157795
2010-01-07 07:00:00+00:00,0.619518235,0.673105696,0.748446103,0.927422462,0.368377329,0.843026233,0.9156273
2010-01-07 08:00:00+00:00,0.620017294,0.67411952,0.75086003,0.928247053,0.37744757,0.845054824,0.9154751
2010-01-07 09:00:00+00:00,0.620153244,0.674062803,0.75172542,0.928318596,0.373414358,0.844256378,0.9153229
2010-01-07 10:00:00+00:00,0.620288548,0.674004852,0.752583569,0.928390386,0.369388612,0.843459307,0.9151707
2010-01-07 11:00:00+00:00,0.620785668,0.67501497,0.754360875,0.929215717,0.378481251,0.845492019,0.9150185
2010-01-07 12:00:00+00:00,0.62091968,0.674954548,0.755204535,0.929288,0.374470438,0.844697695,0.9148663
2010-01-07 13:00:00+00:00,0.621053046,0.67489289,0.756040946,0.929360529,0.37046709,0.843904745,0.9147141
2010-01-07 14:00:00+00:00,0.621185766,0.674829997,0.756870109,0.929433305,0.366471209,0.843113169,0.9145618
2010-01-07 15:00:00+00:00,0.621680301,0.675835173,0.759233316,0.930259622,0.375593712,0.845151377,0.9144096
2010-01-07 16:00:00+00:00,0.622174191,0.676839113,0.76158927,0.931086185,0.384723682,0.847190959,0.9142574
2010-01-07 17:00:00+00:00,0.622381393,0.677545173,0.762396673,0.931457493,0.380750199,0.846424903,0.9141052
