,CZ_P2HT_OTH,CZ_STUR_BIO_CHP,CZ_COMC_GAS_CHP,CZ_GTUR_GAS_CHP
2016-11-09 05:00:00,6222.368881203282,3483.545339137679,333.21608963882284,249.84047286302774
2016-11-09 06:00:00,5885.02763504474,3294.6874382015267,315.1510193954946,236.29555161751088
2016-11-09 07:00:00,5519.886476366001,3090.2659701517773,295.5972270401964,221.63440865287066
2016-11-09 08:00:00,5190.5644357421315,2905.897559729163,277.9615958676287,208.41147444171634
2016-11-09 09:00:00,4837.184778514245,2708.0606777659355,259.0376474827794,194.22257912747446
2016-11-09 10:00:00,4662.366097858392,2610.1897845708136,249.67587574019882,187.20326177837143
2016-11-09 11:00:00,4520.158853043539,2530.576152797412,242.06048955204457,181.49335836900934
2016-11-09 12:00:00,4424.463000329784,2477.0015660025288,236.9358499743017,177.6509797589499
2016-11-09 13:00:00,4525.5049900666545,2533.5691464731035,242.34678226588497,181.70801639191768
2016-11-09 14:00:00,4596.073998771769,2573.076662992235,246.12584608857802,184.5415022943079
2016-11-09 15:00:00,4894.923058363885,2740.3850094634067,262.1296087922555,196.54088577488463
2016-11-09 16:00:00,5191.633663146754,2906.4961584643006,278.0188544103968,208.45440604629798
2016-11-09 17:00:00,5324.21786132,2980.7224016214573,285.1189137136383,213.77792501442505
2016-11-09 18:00:00,5398.529165941296,3022.3250137135738,289.0983824360197,216.76167153285112
2016-11-09 19:00:00,5339.721658687034,2989.402083280964,285.94916258377543,214.40043328085926
2016-11-09 20:00:00,4798.157978245507,2686.211823933385,256.9477106717446,192.6555755602435
2016-11-09 21:00:00,3778.115034235209,2115.1486306113907,202.3230608709993,151.69882478933044
2016-11-09 22:00:00,2853.767942938665,1597.6600240842795,152.8230506479969,114.58445262847684
2016-11-09 23:00:00,2412.1770248293847,1350.4387464721374,129.1752724847812,96.8536999362472
2016-11-10 00:00:00,2572.561135522828,1440.2285567428912,137.76405389999272,103.29344062349767
2016-11-10 01:00:00,2630.8340290747788,1472.8521878079318,140.88464448085293,105.63321307319869
2016-11-10 02:00:00,2968.7098889356325,1662.0093881116532,158.97834399556518,119.19960012100637
2016-11-10 03:00:00,3718.2382995763237,2081.627101443643,199.116582475987,149.29465493275694
2016-11-10 04:00:00,5071.345580126672,2839.1538007612357,271.5772683489881,203.62460053086014
