ID,Name,Fuel,Fuel (detailed),Technology,Country,Model_Node,Province,Pmin,Pmax,Heat_Rate,IC,Status,Year_Built,Year_End,Fuel info Source,comments
226,Qurayyah Combined Cycle Power Plant,Gas,Gas,CC,Saudi Arabia,EOA,Eastern Province,0,3230,1593.693192,,Active,2013,2100,,
315,Kalba Gas Fired Power Plant,Gas,Gas,GT,United Arab Emirates,UAE,Sharjah,0,107,3058.89281,,Active,2002,2100,,
139,Ras Laffan A Desalination Project,Gas,Gas,CC,Qatar ,QAT,Al Khor,0,756,1860.898697,,Active,2003,2100,,
311,Jebel Ali K Power Station,Gas,Gas,CC,United Arab Emirates,UAE,Dubai,0,918,1860.898697,,Active,2003,2100,,
327,Taweelah A1 IWPP,Gas,Gas,CC,United Arab Emirates,UAE,Abu Dhabi,0,1400,1860.898697,,Active,2003,2100,,
3,Al Hidd Power Plant II,Gas,Gas,CC,Bahrain,BAH,Al Hadd,0,690,1860.898697,,Active,2004,2100,,
227,Qurayyah IPP Power Project,Dual-Fuel,Gas_ipp,CC,Saudi Arabia,EOA,Eastern Province,0,3927,1593.693192,,Active,2014,2100,,
160,Qurayyah Power Plant,Gas,Gas,ST,Saudi Arabia,EOA,Eastern Province,0,2500,2571.068919,,Active,1988,2100,,
228,Qurayyat Power Plant,Oil,Diesel,GT,Saudi Arabia,NEOA,Al Jawf,0,242.9,3375.856475,,Active,1993,2100,,
230,Rabigh 2 DG Power Plant,Oil,HFO,ST,Saudi Arabia,WOA,Makkah,0,2800,2236.42638,,Active,2014,2100,,
300,Fujairah F1 Power Plant Desalination,Gas,Gas,CC,United Arab Emirates,UAE,Fujairah,0,662.4,1860.898697,,Active,2004,2100,,
229,Rabigh 2 Independent Power Project,Gas,Gas_ipp,CC,Saudi Arabia,WOA,Makkah,0,2059.5,1593.693192,,Under Construction,2017,2100,,
161,Rabigh Combined Cycle Power Plant I,Oil,Crude,CC,Saudi Arabia,WOA,Makkah,0,391.98,2597.068314,,Active,1994,2100,,
312,Jebel Ali L Power Station,Gas,Gas,CC,United Arab Emirates,UAE,Dubai,0,2362,1860.898697,,Active,2005,2100,,
324,Shuweihat S1 IWPP,Gas,Gas,CC,United Arab Emirates,UAE,Abu Dhabi,0,1500,1860.898697,,Active,2005,2100,,
1,Al Ezzel Combined Cycle Power Plant,Gas,Gas,CC,Bahrain,BAH,Al Muharraq,0,950,1860.898697,,Active,2006,2100,,
140,Ras Laffan B Power Plant,Gas,Gas,CC,Qatar ,QAT,Al Khor,0,1025,1860.898697,,Active,2006,2100,,
231,Rabigh Combined Cycle Power Plant II,Oil,Crude,CC,Saudi Arabia,WOA,Makkah,0,728.46,2597.068314,,Active,1994,2100,,
