,FI_P2HT_OTH,FI_STUR_BIO_CHP,FI_COMC_GAS_CHP
2016-03-06 02:00:00,3210.4206346312812,4085.371762632755,304.36436753426295
2016-03-06 03:00:00,4267.170879748086,5430.123152835326,404.5497191131516
2016-03-06 04:00:00,5149.499193776922,6552.916577666016,488.19897564984285
2016-03-06 05:00:00,4965.915706712615,6319.300214112986,470.7943180397726
2016-03-06 06:00:00,4935.6120984831905,6280.737820129184,467.9213803152696
2016-03-06 07:00:00,4744.276525592752,6037.25665811518,449.7817851477682
2016-03-06 08:00:00,4548.360174714145,5787.946297010602,431.2079086963304
2016-03-06 09:00:00,4383.452167140065,5578.095129749914,415.5737824746165
2016-03-06 10:00:00,4273.513495424012,5438.194351576121,405.1510316601405
2016-03-06 11:00:00,4164.2795587830615,5299.190373262419,394.7950933508857
2016-03-06 12:00:00,4217.4870569533305,5366.898762699094,399.83943749507114
2016-03-06 13:00:00,4247.438297645204,5405.012756752851,402.6789689669636
2016-03-06 14:00:00,4397.194501104572,5595.582727021638,416.876626326426
2016-03-06 15:00:00,4467.668008614862,5685.262713030478,423.5578768485259
2016-03-06 16:00:00,4475.420094440994,5695.1275114914515,424.2928144059569
2016-03-06 17:00:00,4401.070544017637,5600.515126252124,417.2440951051414
2016-03-06 18:00:00,4240.038579356625,5395.596358221922,401.9774376621431
2016-03-06 19:00:00,3838.6919540855197,4884.868837901573,363.92771593878393
2016-03-06 20:00:00,3178.70755625165,4045.0157689287757,301.35780479931793
2016-03-06 21:00:00,2682.221695841654,3413.220267496491,254.28839487112387
2016-03-06 22:00:00,2572.283024125601,3273.3194893226987,243.86564405664794
2016-03-06 23:00:00,2621.6144793828043,3336.095479528887,248.5425194221179
2016-03-07 00:00:00,2681.1645932289994,3411.875067706358,254.18817611329234
2016-03-07 01:00:00,2829.1589590006097,3600.203038324925,268.21880220970223
2016-03-07 02:00:00,3224.162968595788,4102.859359904479,305.6672113860725
2016-03-07 03:00:00,4328.482831282039,5508.144740663019,410.36240706737857
2016-03-07 04:00:00,5112.148234796468,6505.38618508133,484.6579128731299
2016-03-07 05:00:00,4891.566156289259,6224.687828873658,463.74559873895714
2016-03-07 06:00:00,4755.199919256847,6051.15705594655,450.8173789786937
2016-03-07 07:00:00,4625.528665437912,5886.145881690283,438.5238780180298
2016-03-07 08:00:00,4428.907579484203,5635.938720725617,419.88318906137096
2016-03-07 09:00:00,4316.149967467738,5492.450743111471,409.19318822601105
2016-03-07 10:00:00,4209.382603589647,5356.585564308076,399.0710936850296
2016-03-07 11:00:00,4107.196017699726,5226.549584595256,389.38328042798463
2016-03-07 12:00:00,4101.558137098903,5219.375185714549,388.8487803862167
2016-03-07 13:00:00,4094.510786347874,5210.407187113666,388.1806553340067
2016-03-07 14:00:00,4283.732154013004,5451.197949547403,406.1198129858451
2016-03-07 15:00:00,4396.489766029468,5594.685927161549,416.809813821205
2016-03-07 16:00:00,4394.727928341712,5592.443927511328,416.6427825581525
2016-03-07 17:00:00,4345.396473084508,5529.66793730514,411.96590719268255
2016-03-07 18:00:00,4221.010732328846,5371.382761999535,400.17350002117615
2016-03-07 19:00:00,3841.863261923483,4888.90443727197,364.2283722122784
2016-03-07 20:00:00,3201.9638137300462,4074.610164311694,303.56261747161096
2016-03-07 21:00:00,2699.1353376441234,3434.7434641386126,255.89189499642782
2016-03-07 22:00:00,2755.514143652356,3506.487452945685,261.2368954141078
2016-03-07 23:00:00,2820.349770561823,3588.993040073819,267.3836458944397
2016-03-08 00:00:00,2845.0154981904248,3620.3810351769134,269.7220835771747
2016-03-08 01:00:00,3020.142164353497,3843.2358004088833,286.32499112459305
2016-03-08 02:00:00,3450.3829277038194,4390.732114992858,327.1140255620133
2016-03-08 03:00:00,4670.98407778205,5943.989472665986,442.8332846047843
2016-03-08 04:00:00,5235.829240477027,6662.7745605268465,496.3835075394153
2016-03-08 05:00:00,4950.059167522801,6299.122217260996,469.29103667230004
2016-03-08 06:00:00,4874.300146949237,6202.716232301491,462.10869236104253
2016-03-08 07:00:00,4717.14422520129,6002.729863501775,447.20950369675967
2016-03-08 08:00:00,4542.722294113321,5780.771898129895,430.6734086545624
2016-03-08 09:00:00,4445.116486211568,5656.565117507649,421.4198766814539
2016-03-08 10:00:00,4320.378377918355,5497.831542272001,409.59406325733704
2016-03-08 11:00:00,4240.7433144317265,5396.49315808201,402.04425016736405
2016-03-08 12:00:00,4274.5705980366665,5439.539551366254,405.2512504179721
2016-03-08 13:00:00,4339.758592483685,5522.493538424432,411.43140715091454
2016-03-08 14:00:00,4518.408934022272,5749.832302956845,428.36837722443795
2016-03-08 15:00:00,4654.775171054684,5923.363075883951,441.29659698470124
2016-03-08 16:00:00,4639.975734477522,5904.530278822094,439.89353437506026
2016-03-08 17:00:00,4583.244560931738,5832.337890084978,434.51512770476984
2016-03-08 18:00:00,4459.91592278873,5675.397914569506,422.8229392910949
2016-03-08 19:00:00,4098.739196798492,5215.787986274197,388.58153036533275
2016-03-08 20:00:00,3407.3940881225426,4336.027323527465,323.03846274353225
2016-03-08 21:00:00,2860.167302305137,3639.662232168814,271.1585524394262
2016-03-08 22:00:00,2836.9110448267415,3610.067836785897,268.95373976713324
2016-03-08 23:00:00,2910.203492637443,3703.3350222350914,275.9022403101172
2016-03-09 00:00:00,2974.6867520093597,3785.3922094331815,282.01558453783866
2016-03-09 01:00:00,3165.6699573622464,4028.424971517141,300.1217734527295
2016-03-09 02:00:00,3572.6544632341734,4546.326890718197,338.70599521785664
2016-03-09 03:00:00,4697.76401063596,5978.067867349345,445.3721598031822
2016-03-09 04:00:00,5577.978119439488,7098.17089259977,528.8209788242106
2016-03-09 05:00:00,5402.499085738865,6874.867727437756,512.1846650241816
2016-03-09 06:00:00,5337.311091291846,6791.913740379578,506.00450829123923
2016-03-09 07:00:00,5184.735947532068,6597.756570670436,491.53960091089283
2016-03-09 08:00:00,4956.049415661175,6306.745016071747,469.8589429666785
2016-03-09 09:00:00,4750.6191412686785,6045.327856855976,450.3830976947572
2016-03-09 10:00:00,4651.251495679169,5918.879076583509,440.9625344585962
2016-03-09 11:00:00,4561.7501411411,5804.985494352281,432.47734629552934
2016-03-09 12:00:00,4570.206962042335,5815.747092673342,433.27909635818133
2016-03-09 13:00:00,4580.425620631327,5828.750690644623,434.24787768388575
2016-03-09 14:00:00,4752.733346493987,6048.01825643624,450.58353521042017
2016-03-09 15:00:00,4884.166438000679,6215.271430342729,463.0440674341366
2016-03-09 16:00:00,4889.804318601501,6222.445829223437,463.57856747590455
2016-03-09 17:00:00,4818.6260760161085,6131.869043354507,456.83050444858367
2016-03-09 18:00:00,4613.900536698715,5871.3486839988245,437.4214716818833
2016-03-09 19:00:00,4215.725219265573,5364.656763048872,399.6724062320186
2016-03-09 20:00:00,3513.8090844630806,4471.444102400815,333.12715103190317
2016-03-09 21:00:00,2958.125477744441,3764.3174127211037,280.44549066514514
2016-03-09 22:00:00,2880.956987020673,3666.1178280414224,273.1295213434457
2016-03-09 23:00:00,2946.1449814676917,3749.0718150996004,279.30967807638814
2016-03-10 00:00:00,3008.86640315185,3828.887002647469,285.25599104105714
2016-03-10 01:00:00,3202.668548805149,4075.506964171782,303.62942997683194
2016-03-10 02:00:00,3579.3494464476507,4554.846489389037,339.3407140174561
2016-03-10 03:00:00,4720.315533039253,6006.765462872174,447.5101599702542
2016-03-10 04:00:00,5651.270567250191,7191.438078048965,535.7694793671944
2016-03-10 05:00:00,5451.478173458517,6937.1953177139,516.8281341370412
2016-03-10 06:00:00,5427.86954844257,6907.152522400939,514.5899152121377
2016-03-10 07:00:00,5201.297221796986,6618.831367382514,493.10969478358635
2016-03-10 08:00:00,4975.781997764056,6331.855412154223,471.7296931128665
2016-03-10 09:00:00,4796.074553612815,6103.171447831678,454.6925042815117
2016-03-10 10:00:00,4672.393547932255,5945.7830723861625,442.9669096152263
2016-03-10 11:00:00,4570.911697117437,5816.6438925334305,433.3459088634023
2016-03-10 12:00:00,4609.672126248097,5865.967884838293,437.02059665055725
2016-03-10 13:00:00,4658.651213967749,5928.295475114437,441.6640657634167
2016-03-10 14:00:00,4816.159503253248,6128.7302438441975,456.5966606803101
2016-03-10 15:00:00,4919.403191755824,6260.11142334715,466.3846926951865
2016-03-10 16:00:00,4883.814070463127,6214.8230304126855,463.01066118152613
2016-03-10 17:00:00,4829.901837217755,6146.217841115922,457.89950453211964
2016-03-10 18:00:00,4657.594111355095,5926.950275324306,441.56384700558533
2016-03-10 19:00:00,4226.296245392117,5378.108760950198,400.67459381033365
2016-03-10 20:00:00,3526.4943158149335,4487.586499882406,334.32977612588115
