,IE_P2HT_OTH,IE_STUR_BIO_CHP,IE_COMC_GAS_CHP
2016-12-10 22:00:00,1375.2664461513134,21.00346263158503,6.918668376275861
2016-12-10 23:00:00,1113.6702680082196,17.008290955892587,5.602634519608848
2016-12-11 00:00:00,1114.5087172971398,17.02109599331468,5.606852576841756
2016-12-11 01:00:00,1162.9291637322797,17.760586904440444,5.850445382042141
2016-12-11 02:00:00,1190.8076025888754,18.18635439872498,5.990695785036301
2016-12-11 03:00:00,1294.7753144149772,19.77417903906428,6.513734881916781
2016-12-11 04:00:00,1505.8549229006305,22.997847210075733,7.575630790301142
2016-12-11 05:00:00,2010.8110071528045,30.709680997530135,10.115955758819439
2016-12-11 06:00:00,2386.645900911272,36.4495390219825,12.006699913470046
2016-12-11 07:00:00,2335.081269642681,35.66202922052389,11.747289393646259
2016-12-11 08:00:00,2291.481906618833,34.99616727457516,11.52795041753509
2016-12-11 09:00:00,2182.9027237036703,33.33791492841435,10.981712005873622
2016-12-11 10:00:00,2069.7120696994466,31.60923487643204,10.412274279431163
2016-12-11 11:00:00,1975.1769123736972,30.16546690709126,9.936688326420887
2016-12-11 12:00:00,1920.4680962716557,29.329938215299812,9.6614600919737
2016-12-11 13:00:00,1916.6950744715148,29.2723155469004,9.642478834425617
2016-12-11 14:00:00,1935.1409588277586,29.55402637018641,9.735276093549574
2016-12-11 15:00:00,1973.7096261180868,30.1430580916026,9.9293067262633
2016-12-11 16:00:00,2054.6199824988835,31.378744202834405,10.336349249238836
2016-12-11 17:00:00,2107.8615123453146,32.19186407913719,10.604195883528435
2016-12-11 18:00:00,2111.8441464676853,32.25268800689213,10.624231655384747
2016-12-11 19:00:00,2091.302138889141,31.93896459005089,10.52088925317852
2016-12-11 20:00:00,2028.4184422201279,30.97858678339405,10.204534960710488
2016-12-11 21:00:00,1836.6231673796387,28.0494344730907,9.239654368682992
2016-12-11 22:00:00,1442.552001587157,22.031066884707847,7.257167469216656
2016-12-11 23:00:00,1183.890395955284,18.080712839992724,5.955896812864817
2016-12-12 00:00:00,957.2994756246073,14.620151476672588,4.815966845671675
2016-12-12 01:00:00,1007.8160452820478,15.391654981353582,5.070104793954329
2016-12-12 02:00:00,1032.5502993051928,15.76940358530527,5.194537482325087
2016-12-12 03:00:00,1130.4392537866229,17.26439170433441,5.686995664266989
2016-12-12 04:00:00,1355.9821125061494,20.708946770876935,6.821653059918999
2016-12-12 05:00:00,1814.8234858677142,27.71650350011633,9.129984880627406
2016-12-12 06:00:00,2210.781162560266,33.76368242269888,11.12196240886778
2016-12-12 07:00:00,2161.1030421917453,33.004983955439975,10.872042517818036
2016-12-12 08:00:00,2108.9095739564646,32.2078703759148,10.609468455069571
2016-12-12 09:00:00,1977.9018725626877,30.20708327871306,9.950397012427837
2016-12-12 10:00:00,1868.9034650030653,28.542428413841208,9.402049572149913
2016-12-12 11:00:00,1779.399003410837,27.175490669032975,8.95177196253708
2016-12-12 12:00:00,1724.8997996310254,26.343163236597047,8.67759824239812
2016-12-12 13:00:00,1709.5981001082323,26.10947130364388,8.600618697897565
2016-12-12 14:00:00,1733.7035171646874,26.477616129529004,8.721887843343644
2016-12-12 15:00:00,1769.1279996215646,27.018628960612357,8.90010076143397
2016-12-12 16:00:00,1841.2346384686996,28.1198621789122,9.26285368346398
2016-12-12 17:00:00,1900.345313337572,29.022617317169626,9.56022671838393
2016-12-12 18:00:00,1925.7084043274067,29.409969699187883,9.68782294967937
2016-12-12 19:00:00,1915.2277882159046,29.249906731411745,9.635097234268033
2016-12-12 20:00:00,1856.326725669263,28.35035285250984,9.338778713656307
2016-12-12 21:00:00,1677.7370271292657,25.62287988160442,8.440332523047095
2016-12-12 22:00:00,1303.9982565930989,19.915034450707285,6.560133511478759
2016-12-12 23:00:00,1048.271223472446,16.00949803696948,5.273626055442095
2016-12-13 00:00:00,1032.759911627423,15.772604844660794,5.195591996633314
2016-12-13 01:00:00,1061.4767997729389,16.21117737636742,5.340060456860383
2016-12-13 02:00:00,1104.2377135078677,16.864234284894067,5.555181375738645
2016-12-13 03:00:00,1201.4978310226077,18.34961862585664,6.044476014755867
2016-12-13 04:00:00,1429.7656499311245,21.83579006402096,7.192842096414823
2016-12-13 05:00:00,1963.2290100065845,29.98299512382646,9.876581010851961
2016-12-13 06:00:00,2325.8583274645594,35.52117380888089,11.700890764084281
2016-12-13 07:00:00,2226.502086727519,34.00377687436308,11.201050981984789
2016-12-13 08:00:00,2163.408777736276,33.040197808350726,10.88364217520853
2016-12-13 09:00:00,2047.493163543062,31.269901384746632,10.300495762759127
2016-12-13 10:00:00,1922.1449948494962,29.355548290144,9.669896206439516
2016-12-13 11:00:00,1875.6110593144265,28.64486871321793,9.435794030013168
2016-12-13 12:00:00,1805.8101560118225,27.578849347828843,9.084640765373655
2016-12-13 13:00:00,1758.0185465433724,26.84896221476965,8.84421150309795
2016-12-13 14:00:00,1739.1534375426686,26.5608488727726,8.749305215357541
2016-12-13 15:00:00,1792.1853550668695,27.370767489719864,9.016097335338914
2016-12-13 16:00:00,1888.8166356149195,28.846548052615876,9.502228431431458
2016-12-13 17:00:00,1985.2383038407393,30.319127356156358,9.987305013215774
2016-12-13 18:00:00,2017.5186014641658,30.81212129690687,10.149700216682698
2016-12-13 19:00:00,1997.8150431745414,30.511202917487726,10.05057587170938
2016-12-13 20:00:00,1941.2197161724303,29.64686289149657,9.765857008488151
2016-12-13 21:00:00,1769.5472242660246,27.025031479323406,8.902209790050424
2016-12-13 22:00:00,1403.354497330139,21.432431385225087,7.059973293578249
2016-12-13 23:00:00,1130.648866108853,17.26759296368994,5.688050178575217
2016-12-14 00:00:00,1200.4497694114575,18.333612329079024,6.039203443214733
2016-12-14 01:00:00,1238.179987412865,18.909839013073128,6.229016018695552
2016-12-14 02:00:00,1233.149291679344,18.833008788540578,6.203707675298109
2016-12-14 03:00:00,1340.0515760166663,20.465651059857205,6.741509972493764
2016-12-14 04:00:00,1619.0455769048538,24.726527262058042,8.1450685167436
2016-12-14 05:00:00,2207.0081407601247,33.70605975429947,11.1029811513197
2016-12-14 06:00:00,2430.4548762573513,37.118602227286765,12.227093403889441
2016-12-14 07:00:00,2291.901131263292,35.0025697932862,11.530059446151544
2016-12-14 08:00:00,2255.638199517495,34.448751924780765,11.347628470828313
2016-12-14 09:00:00,2168.229861147567,33.11382677352775,10.907896004297745
2016-12-14 10:00:00,2064.4717616436956,31.52920339254397,10.385911421725494
2016-12-14 11:00:00,2014.5840289529451,30.767303665929546,10.134937016367521
2016-12-14 12:00:00,1950.8618829950121,29.79412082185062,9.814364666666583
2016-12-14 13:00:00,1938.2851436612095,29.60204526051925,9.751093808172977
2016-12-14 14:00:00,1981.4652820405981,30.261504687756943,9.968323755667692
2016-12-14 15:00:00,2026.9511559645177,30.95617796790539,10.197153360552901
2016-12-14 16:00:00,2093.6078744336714,31.974178442961637,10.532488910569015
2016-12-14 17:00:00,2195.4794630374727,33.529990489745714,11.044982864367226
2016-12-14 18:00:00,2216.8599199049368,33.85651894400904,11.15254332380636
2016-12-14 19:00:00,2191.706441237332,33.4723678213463,11.026001606819145
2016-12-14 20:00:00,2138.674523713131,32.662449204399046,10.759209486837774
2016-12-14 21:00:00,1948.5561474504816,29.758906968939865,9.802765009276088
2016-12-14 22:00:00,1553.4369200468502,23.724533083779406,7.81500553826862
2016-12-14 23:00:00,1305.0463182042488,19.931040747484897,6.565406083019893
2016-12-15 00:00:00,1189.1307040110353,18.160744323880795,5.982259670570487
2016-12-15 01:00:00,1228.537820590283,18.76258108271908,6.180508360517121
2016-12-15 02:00:00,1260.3988935692498,19.249172504758544,6.34079453536759
2016-12-15 03:00:00,1371.7030366734027,20.949041222541148,6.900741633036007
