PowerCapacity,Unit,Zone,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,RampUpMax,CO2Intensity,CHPType,CHPPowerToHeat,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,Extendable,Investment,FixedCost,EconomicLifetime
685.0,ARAMON 1,FR,STUR,OIL,0.41,8,6,0.0072992701,0.0072992701,35280.965,0,0,0.3,0.41,7.0,300.0,0.79,,,,,,,,,,
685.0,ARAMON 2,FR,STUR,OIL,0.41,8,6,0.0072992701,0.0072992701,35280.965,0,0,0.3,0.41,7.0,300.0,0.79,,,,,,,,,,
685.0,CORDEMAIS 2,FR,STUR,OIL,0.41,8,6,0.0072992701,0.0072992701,35280.965,0,0,0.3,0.41,7.0,300.0,0.79,,,,,,,,,,
595.0,EMILE HUCHET 6,FR,STUR,HRD,0.395,8,6,0.0084033613,0.0084033613,117242.17,0,0,0.3,0.395,7.0,300.0,0.95,,,,,,,,,,
595.0,PROVENCE 5,FR,STUR,HRD,0.395,8,6,0.0084033613,0.0084033613,117242.17,0,0,0.3,0.395,7.0,300.0,0.95,,,,,,,,,,
585.0,PORCHEVILLE 2,FR,STUR,OIL,0.41,8,6,0.0085470085,0.0085470085,35280.965,0,0,0.3,0.41,7.0,300.0,0.79,,,,,,,,,,
585.0,PORCHEVILLE 1,FR,STUR,OIL,0.41,8,6,0.0085470085,0.0085470085,35280.965,0,0,0.3,0.41,7.0,300.0,0.79,,,,,,,,,,
585.0,PORCHEVILLE 4,FR,STUR,OIL,0.41,8,6,0.0085470085,0.0085470085,35280.965,0,0,0.3,0.41,7.0,300.0,0.79,,,,,,,,,,
580.0,HAVRE 4,FR,STUR,HRD,0.395,8,6,0.0086206897,0.0086206897,117242.17,0,0,0.3,0.395,7.0,300.0,0.95,,,,,,,,,,
580.0,CORDEMAIS 5,FR,STUR,HRD,0.395,8,6,0.0086206897,0.0086206897,117242.17,0,0,0.3,0.395,7.0,300.0,0.95,,,,,,,,,,
580.0,CORDEMAIS 4,FR,STUR,HRD,0.395,8,6,0.0086206897,0.0086206897,117242.17,0,0,0.3,0.395,7.0,300.0,0.95,,,,,,,,,,
546.0,BATHIE,FR,HDAM,WAT,0.85,0,0,0.16483516480000002,0.16483516480000002,0.0,0,0,0.0,0.85,0.3,5400.0,0.0,,,226044.0,0.0,0.0,0.86,,,,
535.0,PORCHEVILLE 3,FR,STUR,OIL,0.41,8,6,0.0093457944,0.0093457944,35280.965,0,0,0.3,0.41,7.0,300.0,0.79,,,,,,,,,,
485.0,CHEYLAS,FR,HPHS,WAT,0.86,0,0,0.618556701,0.618556701,0.0,0,0,0.0,0.86,0.3,18000.0,0.0,,,17945.0,0.0,485.0,0.86,,,,
465.0,MARTIGUES PONTEAU 5,FR,COMC,GAS,0.525,5,1,0.0240215054,0.0240215054,112542.12,0,0,0.4,0.525,1.0,670.2,0.45,,,,,,,,,,
465.0,MARTIGUES PONTEAU 6,FR,COMC,GAS,0.525,5,1,0.0240215054,0.0240215054,112542.12,0,0,0.4,0.525,1.0,670.2,0.45,,,,,,,,,,
447.0,POUGET,FR,HDAM,WAT,0.85,0,0,0.2013422819,0.2013422819,0.0,0,0,0.0,0.85,0.3,5400.0,0.0,,,185058.0,0.0,0.0,0.86,,,,
435.0,SPEM,FR,COMC,GAS,0.525,5,1,0.0256781609,0.0256781609,112542.12,0,0,0.4,0.525,1.0,670.2,0.45,,,,,,,,,,
428.0,CYCOFOS,FR,COMC,GAS,0.525,5,1,0.0260981308,0.0260981308,112542.12,0,0,0.4,0.525,1.0,670.2,0.45,,,,,,,,,,
427.0,BLENOD 5,FR,COMC,GAS,0.525,5,1,0.0261592506,0.0261592506,112542.12,0,0,0.4,0.525,1.0,670.2,0.45,,,,,,,,,,
425.0,COMBIGOLFE,FR,COMC,GAS,0.525,5,1,0.0262823529,0.0262823529,112542.12,0,0,0.4,0.525,1.0,670.2,0.45,,,,,,,,,,
420.0,GENISSIAT,FR,HROR,WAT,1.0,0,0,0.5238095238,0.5238095238,0.0,0,0,0.0,1.0,0.3,13200.0,0.0,,,,,,,,,,
413.0,EMILE HUCHET 8,FR,COMC,GAS,0.525,5,1,0.0270460048,0.0270460048,112542.12,0,0,0.4,0.525,1.0,670.2,0.45,,,,,,,,,,
413.0,EMILE HUCHET 7,FR,COMC,GAS,0.525,5,1,0.0270460048,0.0270460048,112542.12,0,0,0.4,0.525,1.0,670.2,0.45,,,,,,,,,,
413.0,Croix-de-Metz,FR,COMC,GAS,0.525,5,1,0.0270460048,0.0270460048,112542.12,0,0,0.4,0.525,1.0,670.2,0.45,,,,,,,,,,
412.0,Pont-sur-Sambre,FR,COMC,GAS,0.525,5,1,0.027111650499999997,0.027111650499999997,112542.12,0,0,0.4,0.525,1.0,670.2,0.45,,,,,,,,,,
406.0,BROMMAT,FR,HDAM,WAT,0.85,0,0,0.2216748768,0.2216748768,0.0,0,0,0.0,0.85,0.3,5400.0,0.0,,,168084.0,0.0,0.0,0.86,,,,
401.0,FR-GA-MORANT1,FR,COMC,GAS,0.525,5,1,0.027855361600000003,0.027855361600000003,112542.12,0,0,0.4,0.525,1.0,670.2,0.45,,,,,,,,,,
384.0,SERRE PONCON,FR,HDAM,WAT,0.85,0,0,0.234375,0.234375,0.0,0,0,0.0,0.85,0.3,5400.0,0.0,,,158976.0,0.0,0.0,0.86,,,,
