PowerCapacity,Unit,Zone,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,Extendable,Investment,FixedCost,EconomicLifetime
480.0,Borssele 30,NL,STUR,NUC,0.405,24,24,0.006971545,0.006971545,200000.0,0,0,0.9,0.405,72,0.0,,,,,,,,,,
475.0,TNZ150 ELSTA,NL,COMC,GAS,0.55,5,1,0.024495614,0.024495614,112542.12,0,0,0.4,0.525,1,0.45,,,,,,,,,,
435.0,LLS150FL-5,NL,COMC,GAS,0.55,5,1,0.025560641000000002,0.025560641000000002,112542.12,0,0,0.4,0.525,1,0.45,,,,,,,,,,
435.0,LLS380 FL-4,NL,COMC,GAS,0.525,5,1,0.025678161,0.025678161,112542.12,0,0,0.4,0.525,1,0.45,,,,,,,,,,
428.0,Rijnmond II,NL,COMC,GAS,0.525,5,1,0.026159251,0.026159251,112542.12,0,0,0.4,0.525,1,0.45,,,,,,,,,,
403.0,Borssele 12,NL,STUR,HRD,0.395,8,6,0.012254902,0.012254902,117242.17,0,0,0.5,0.395,7,0.95,,,,,,,,,,
355.0,eem220-ec-5,NL,COMC,GAS,0.55,5,1,0.030941827999999998,0.030941827999999998,112542.12,0,0,0.4,0.525,1,0.45,,,,,,,,,,
355.0,eem380-ec-7,NL,COMC,GAS,0.55,5,1,0.031027778,0.031027778,112542.12,0,0,0.4,0.525,1,0.45,,,,,,,,,,
355.0,eem220-ec-4,NL,COMC,GAS,0.55,5,1,0.031114206000000002,0.031114206000000002,112542.12,0,0,0.4,0.525,1,0.45,,,,,,,,,,
355.0,eem220-ec-3,NL,COMC,GAS,0.55,5,1,0.031114206000000002,0.031114206000000002,112542.12,0,0,0.4,0.525,1,0.45,,,,,,,,,,
355.0,eem380-ec-6,NL,COMC,GAS,0.55,5,1,0.031114206000000002,0.031114206000000002,112542.12,0,0,0.4,0.525,1,0.45,,,,,,,,,,
260.0,Centrale Lage Weide,NL,COMC,GAS,0.55,5,1,0.045222672,0.045222672,112542.12,0,0,0.4,0.525,1,0.45,,,,,,,,,,
220.0,RoCa,NL,COMC,GAS,0.55,5,1,0.050772727000000004,0.050772727000000004,112542.12,0,0,0.4,0.525,1,0.45,,,,,,,,,,
231.0,Swentibold,NL,COMC,GAS,0.55,5,1,0.053444976,0.053444976,112542.12,0,0,0.4,0.525,1,0.45,,,,,,,,,,
430.0,GDFSUEZ_NL_EC-22 1,NL,COMC,GAS,0.55,5,1,0.025678161,0.025678161,112542.12,0,0,0.4,0.525,1,0.45,,,,,,,,,,
430.0,GDFSUEZ_NL_EC-22 2,NL,COMC,GAS,0.55,5,1,0.025678161,0.025678161,112542.12,0,0,0.4,0.525,1,0.45,,,,,,,,,,
430.0,GDFSUEZ_NL_EC-22 3,NL,COMC,GAS,0.55,5,1,0.025678161,0.025678161,112542.12,0,0,0.4,0.525,1,0.45,,,,,,,,,,
64.3,Pergen 2,NL,COMC,GAS,0.525,5,1,0.10844660199999999,0.10844660199999999,112542.12,0,0,0.4,0.525,1,0.45,,,,,,,,,,
64.3,Pergen 1,NL,COMC,GAS,0.525,5,1,0.10844660199999999,0.10844660199999999,112542.12,0,0,0.4,0.525,1,0.45,,,,,,,,,,
122.0,Den Haag,NL,COMC,GAS,0.55,5,1,0.09973214300000001,0.09973214300000001,112542.12,0,0,0.4,0.525,1,0.45,,,,,,,,,,
103.0,Merwedekanaal 11,NL,COMC,GAS,0.55,5,1,0.10844660199999999,0.10844660199999999,112542.12,0,0,0.4,0.525,1,0.45,,,,,,,,,,
1355.0,ds_PHOT_NL,NL,PHOT,SUN,1.0,0,0,0.6298110570000001,0.6298110570000001,0.0,0,0,0.0,1.0,0,0.0,,,,,,,,,,
180.0,ds_WTOF_NL,NL,WTOF,WIN,1.0,0,0,0.562248996,0.562248996,0.0,0,0,0.0,1.0,0,0.0,,,,,,,,,,
3251.0,ds_WTON_NL,NL,WTON,WIN,1.0,0,0,0.044378698,0.044378698,0.0,0,0,0.0,1.0,0,0.0,,,,,,,,,,
400.0,ds_Biomass_NL,NL,STUR,BIO,0.45,8,6,0.012562813999999999,0.012562813999999999,2000.0,0,0,0.2,0.45,7,0.0,,,,,,,,,,
491.0,ds_Gas_NL,NL,COMC,GAS,0.525,5,1,0.001314118,0.001314118,112542.12,0,0,0.4,0.525,1,0.45,,,,,,,,,,
602.0,Gelderland 13,NL,STUR,HRD,0.395,8,6,0.00777605,0.00777605,117242.17,0,0,0.5,0.395,7,0.95,,,,,,,,,,
145.2,Bergum 30,NL,COMC,GAS,0.525,5,1,0.08592307699999999,0.08592307699999999,112542.12,0,0,0.4,0.525,1,0.45,,,,,,,,,,
630.0,Hemweg 8,NL,STUR,HRD,0.395,8,6,0.00777605,0.00777605,117242.17,0,0,0.5,0.395,7,0.95,,,,,,,,,,
435.0,Hemweg 9,NL,COMC,GAS,0.59,5,1,0.024495614,0.024495614,117242.17,0,0,0.4,0.395,1,0.45,,,,,,,,,,
144.0,Ijmuiden GT1,NL,GTUR,GAS,0.4,5,1,0.08592307699999999,0.08592307699999999,112542.12,0,0,0.2,0.525,1,0.65,,,,,,,,,,
645.0,Amer 81,NL,STUR,HRD,0.395,8,6,0.00777605,0.00777605,117242.17,0,0,0.5,0.395,7,0.95,,,,,,,,,,
350.0,Akzo Delesto CC-2,NL,COMC,GAS,0.525,5,1,0.031114206000000002,0.031114206000000002,112542.12,0,0,0.4,0.525,1,0.45,,,,,,,,,,
2776.0,EVs,NL,BEVS,OTH,0.95,0,0,1.0,1.0,0.0,0,0,0.0,0.95,0,0.0,,,5553.0,0.0,2276.0,0.95,,,,
