,DK_P2HT_OTH,DK_STUR_BIO_CHP,DK_COMC_GAS_CHP,DK_ICEN_GAS_CHP
2016-04-17 14:00:00,2470.4149967832223,906.7623282345701,489.81685686112354,115.08906473746465
2016-04-17 15:00:00,2621.2482919196423,962.1254757426944,519.7230429189029,122.11592576734199
2016-04-17 16:00:00,2680.5987363718177,983.9099723812296,531.4906399391318,124.8808811099253
2016-04-17 17:00:00,2703.658463197185,992.3740124764568,536.0627636221508,125.95516312201181
2016-04-17 18:00:00,2662.0753492498015,977.1109893539161,527.8179504232643,124.0179332641509
2016-04-17 19:00:00,2379.688202716203,873.4611868762996,471.82817351809837,110.86238141122264
2016-04-17 20:00:00,1858.387165139452,682.1183788219046,368.46819714296606,86.5765634658571
2016-04-17 21:00:00,1410.04559112493,517.5552386097852,279.57412028951654,65.68970336201119
2016-04-17 22:00:00,1153.364369576987,423.3407595170119,228.6811369982078,53.73171178485151
2016-04-17 23:00:00,1232.7503143856293,452.4792582054985,244.42123492335486,57.430059695313275
2016-04-18 00:00:00,1255.8100412109968,460.94329830072553,248.99335860637373,58.50434170739978
2016-04-18 01:00:00,1416.0940440627314,519.7753147003365,280.7733658457182,65.97148225042731
2016-04-18 02:00:00,1780.1353052566478,653.3961444003963,352.9529577596069,82.93104909697338
2016-04-18 03:00:00,2448.1113265750796,898.5757976506619,485.39463887262986,114.05000508643016
2016-04-18 04:00:00,2935.7678446853106,1077.569432451365,582.0838118413902,136.76842796498093
2016-04-18 05:00:00,2842.394852458003,1043.2970078034784,563.5704585675268,132.41846637505688
2016-04-18 06:00:00,2718.0235389244626,997.6466931915161,538.9109718181297,126.62438798200012
2016-04-18 07:00:00,2531.277554469848,929.1018438957432,501.884265270403,117.924464802152
2016-04-18 08:00:00,2372.5056648525633,870.8248465187698,470.40406942010884,110.52776898122848
2016-04-18 09:00:00,2243.2199833070604,823.3707200832347,444.7701956562979,104.50474524133362
2016-04-18 10:00:00,2201.2588410510643,807.9689422050345,436.4504296101488,102.54990420294669
2016-04-18 11:00:00,2169.504463127607,796.3135427296401,430.15439044009,101.07056503876201
2016-04-18 12:00:00,2192.942218261587,804.9163375805264,434.80146697037145,102.1624582313745
2016-04-18 13:00:00,2251.5366060965375,826.4233247077428,446.41915829607524,104.89219121290581
2016-04-18 14:00:00,2378.176089481752,872.9061678536617,471.5283621290479,110.7919366891186
2016-04-18 15:00:00,2492.7186669913644,914.9488588184781,494.2390748496172,116.12812438849915
2016-04-18 16:00:00,2566.434187170818,942.0060361720726,508.8548800658251,119.56230459107076
2016-04-18 17:00:00,2578.53109304642,946.4461883531756,511.2533711782286,120.12586236790304
2016-04-18 18:00:00,2499.5231765463914,917.4464444203485,495.5882261003442,116.44512563796731
2016-04-18 19:00:00,2240.19575683816,822.2606820379591,444.17057287819716,104.36385579712557
2016-04-18 20:00:00,1696.5910490532674,622.7313433996558,336.3883785145712,79.03897820072554
2016-04-18 21:00:00,1302.6855514789568,478.1488880024985,258.2875116669367,60.68812809262481
