0,AT,BE,BG,CH,CZ,DE,DK,EE,EL,ES,FI,FR,HR,HU,IE,IT,LT,LU,LV,NL,NO,PL,PT,RO,SE,SI,SK
2016-08-15 18:00:00,177.99611249999998,275.67321194,130.5853166,188.1805,219.04343815,1868.47786475,136.82087849999996,27.778125,206.975912,1021.4453886250001,296.45730160000005,1351.6104832499998,64.0015425,151.304692,124.70684299999999,857.3482512,42.67062965,13.969470600000001,25.809177975,412.40069345,376.08848919999997,526.5991154999999,228.01578299999997,203.07142449999998,520.86185955,39.7881,100.32
2016-08-15 19:00:00,179.127759,281.98953413,122.52644724999999,183.5454,213.72112384999997,1878.7165632,138.81788450000002,27.138749999999998,195.6849714,1075.898772825,300.3112988,1423.71175965,62.36787465,149.8917884,124.78386599999999,851.6465708,40.51614905,13.9426456,24.155822849999996,417.71223585,379.579501,531.1184112000001,236.25051249999996,196.79880674999998,520.3386421499999,37.8585,96.17999999999999
2016-08-15 20:00:00,177.62215650000002,294.18820721000003,113.71112165,186.8967,201.99662405,1797.7785187999998,131.59663605,24.599324999999997,185.68906900000002,1039.709889525,290.8236276,1480.0434272999998,59.625308249999996,139.57872559999998,130.666338,795.7941044,37.35888415,14.670456,21.460727025,421.4852912,374.28100739999996,508.2464487,226.05172325,185.46504025,483.73723695,35.8275,90.75
2016-08-15 21:00:00,164.747601,285.69605244,101.62090025,180.2817,189.56432254999999,1630.8846029499998,118.9283707,22.708312499999998,181.06414420000002,984.72056904,274.725476,1481.9617121,54.208878899999995,133.35445239999999,132.20449299999999,738.0959696,36.29389165,14.321664599999998,19.1872291125,395.47312694999994,350.9438772,474.88663725,196.840441,174.78398125,446.4582351,32.8812,86.07
2016-08-15 22:00:00,157.2927225,264.50174973000003,93.16903194999999,167.9859,177.9346177,1488.2462971500001,107.8530598,21.843225,170.058456,940.988153745,264.14906,1352.34706925,46.63816965,124.01796799999998,119.715192,687.8578703999999,36.92742255,13.362396,18.0428635875,364.5567765,332.7398574,446.2807279499999,172.9463295,165.5933415,423.49062555,31.371,82.32
2016-08-15 23:00:00,147.154956,251.70174341,89.24163974999999,166.5897,175.71830735,1400.3342273499998,101.37345955,21.38971875,167.005271,881.280642345,260.8722508,1257.6024443,41.9846241,119.26453640000001,109.361672,646.670656,37.6193344,12.365656399999999,17.328716099999998,338.71124284999996,323.5230602,433.08365445,154.29855425,159.98983175,404.4315702,29.851799999999997,79.2
2016-08-16 00:00:00,145.79308799999998,240.51588137000002,87.85928725,171.25949999999997,172.83700814999997,1348.07469475,96.02346424999999,21.491418749999998,165.9534518,840.443082615,260.8482196,1198.7308972,39.59320545,110.9820824,103.230129,621.29365,38.062141249999996,11.9312846,16.9588438875,326.93927139999994,318.87150679999996,425.72979255,141.05267525,155.12981574999998,401.9595498,30.4638,77.85
2016-08-16 01:00:00,140.3778285,235.16083465,87.506237,169.0023,168.66029319999998,1326.9483522,92.5840396,22.249875,166.0906914,817.6500181499999,261.3750336,1129.3020751499998,38.8803201,109.0448704,100.39163099999999,610.6964948,38.5414407,11.8372394,16.947818662499998,319.68523260000006,315.762323,424.44779189999997,135.53860075,153.11897274999998,397.4601864,29.8539,78.06
2016-08-16 02:00:00,140.69127,233.82564043,90.29682165,168.94050000000001,170.03470034999998,1342.00038735,91.2178303,23.37935625,167.4779658,792.203957325,264.42702199999997,1111.7803896,39.2186085,108.6412704,99.203947,615.5954007999999,39.510287149999996,11.7677338,17.0490657375,316.85021029999996,315.8007002,432.55632165,133.21571075,155.46768025,402.27201030000003,30.328500000000002,79.14
2016-08-16 03:00:00,151.33950299999998,243.20478439000001,96.52455375,160.6965,177.6653981,1409.57103235,94.50985525,26.7384375,169.787494,782.99129433,281.67114,1148.9650655,41.36205615,113.1942656,101.59492499999999,643.5329019999999,42.0110748,12.0407956,19.256410012499998,320.25992759999997,320.60120539999997,437.7389655,133.19892575,162.53025300000002,401.10851579999996,32.9259,81.59649999999999
