,CH_P2HT_OTH,CH_STUR_BIO_CHP,CH_ICEN_GAS_CHP
2016-06-29 17:00:00,1174.150324335057,80.30721542356014,17.17338914442286
2016-06-29 18:00:00,1225.4290059129598,83.81447343197989,17.923402780069548
2016-06-29 19:00:00,1101.834234930322,75.36108233476303,16.1156776069724
2016-06-29 20:00:00,827.6905141869188,56.610741443595856,12.105989324092038
2016-06-29 21:00:00,514.1016537682053,35.16250977672118,7.519367475329606
2016-06-29 22:00:00,520.6758437140902,35.6121582393391,7.615523069643285
2016-06-29 23:00:00,567.3525923298736,38.804662323926316,8.298227789270397
2016-06-30 00:00:00,562.7506593677542,38.489908400093775,8.230918873250824
2016-06-30 01:00:00,697.5215532583961,47.70770188376108,10.202108556681218
2016-06-30 02:00:00,1066.991028217132,72.97794548288807,15.606052957109913
2016-06-30 03:00:00,1880.2183245231035,128.5994603087245,27.50049997371186
2016-06-30 04:00:00,2377.2270844320083,162.5928840826391,34.7698629038259
2016-06-30 05:00:00,2275.984559265379,155.66829775832315,33.28906675139526
2016-06-30 06:00:00,1915.7189502308825,131.02756200686127,28.019740183005723
2016-06-30 07:00:00,1842.7454418315592,126.03646407180238,26.952413086123897
2016-06-30 08:00:00,1642.2326484820674,112.32218596195587,24.019667459556718
2016-06-30 09:00:00,1532.4436763857884,104.81305663623668,22.413869034518306
2016-06-30 10:00:00,1477.2204808403544,101.03600955024615,21.606162042283408
2016-06-30 11:00:00,1322.7270171120574,90.46927067872508,19.34650557591198
2016-06-30 12:00:00,1277.3651064854512,87.36669628666144,18.6830319751476
2016-06-30 13:00:00,1191.243218194358,81.47630142636672,17.423393689638424
2016-06-30 14:00:00,1268.8186595558007,86.78215328525816,18.558029702539823
2016-06-30 15:00:00,1349.0237768955972,92.26786452919674,19.73112795316669
2016-06-30 16:00:00,1418.0527713273896,96.98917338668488,20.740761693460307
2016-06-30 17:00:00,1542.304961304616,105.48752933016353,22.558102425988817
2016-06-30 18:00:00,1590.9539669041646,108.81492795353611,23.269653823910033
2016-06-30 19:00:00,1450.266302062226,99.19245085351268,21.211924105597326
2016-06-30 20:00:00,1109.7232628653844,75.90066048990454,16.231064320148818
2016-06-30 21:00:00,700.1512292367502,47.887561268808255,10.24057079440669
2016-06-30 22:00:00,871.0801678297596,59.57842129687411,12.740616246562311
2016-06-30 23:00:00,928.9330393535474,63.535327767911795,13.586785476522678
2016-07-01 00:00:00,939.4517432669631,64.25476530810046,13.740634427424562
2016-07-01 01:00:00,1097.8897209627912,75.09129325719229,16.057984250384198
2016-07-01 02:00:00,1553.48108421262,106.251931716614,22.72156693632207
2016-07-01 03:00:00,2486.3586375336986,170.05704856209653,36.36604576943295
2016-07-01 04:00:00,3192.426637721745,218.3492934472609,46.69315659872195
2016-07-01 05:00:00,3109.591844403594,212.68372281827516,45.481596110369615
2016-07-01 06:00:00,2765.1042912392213,189.12214337709622,40.44304296833289
2016-07-01 07:00:00,2571.823106830203,175.90247857612945,37.61606849551077
