,HE Fierza,HE Koman,HE Ulza,HE Shkopetit,HE Vau Dejes
2015-01-08 18:00:00+00:00,1.515931533,0.4510638,0.652851576,0.582264375,0.561132
2015-01-08 19:00:00+00:00,1.5152118,0.451564848,0.653121573,0.582655682,0.561406258
2015-01-08 20:00:00+00:00,1.514492068,0.452065897,0.653391569,0.583046988,0.561680516
2015-01-08 21:00:00+00:00,1.513772336,0.452566945,0.653661566,0.583438295,0.561954774
2015-01-08 22:00:00+00:00,1.513052603,0.453067994,0.653931562,0.583829602,0.562229032
2015-01-08 23:00:00+00:00,1.512332871,0.453569042,0.654201559,0.584220909,0.56250329
2015-01-09 00:00:00+00:00,1.5116797,0.45407009,0.654471555,0.584612215,0.562777548
2015-01-09 01:00:00+00:00,1.511026529,0.454571139,0.654741552,0.585003522,0.563051806
2015-01-09 02:00:00+00:00,1.510373358,0.455072187,0.655011548,0.585394829,0.563326065
2015-01-09 03:00:00+00:00,1.509720186,0.455573235,0.655281545,0.585786135,0.563600323
2015-01-09 04:00:00+00:00,1.509067015,0.456074284,0.655551541,0.586177442,0.563874581
2015-01-09 05:00:00+00:00,1.508413844,0.456575332,0.655821538,0.586568749,0.564148839
2015-01-09 06:00:00+00:00,1.507760673,0.457076381,0.656091534,0.586960055,0.564423097
2015-01-09 07:00:00+00:00,1.507107502,0.457577429,0.656361531,0.587351362,0.564697355
2015-01-09 08:00:00+00:00,1.50645433,0.458078477,0.656631527,0.587742669,0.564971613
2015-01-09 09:00:00+00:00,1.505801159,0.458579526,0.656901524,0.588133976,0.565245871
2015-01-09 10:00:00+00:00,1.505147988,0.459080574,0.65717152,0.588525282,0.565520129
2015-01-09 11:00:00+00:00,1.504494817,0.459581623,0.657441517,0.588916589,0.565794387
2015-01-09 12:00:00+00:00,1.503841646,0.460082671,0.657711513,0.589307896,0.566068645
2015-01-09 13:00:00+00:00,1.503188474,0.460583719,0.65798151,0.589699202,0.566342903
2015-01-09 14:00:00+00:00,1.502535303,0.461084768,0.658251506,0.590090509,0.566617161
2015-01-09 15:00:00+00:00,1.501882132,0.461585816,0.658521503,0.590481816,0.566891419
2015-01-09 16:00:00+00:00,1.501228961,0.462086865,0.658791499,0.590873122,0.567165677
2015-01-09 17:00:00+00:00,1.500575789,0.462587913,0.659061496,0.591264429,0.567439935
2015-01-09 18:00:00+00:00,1.499922618,0.463088961,0.659331492,0.591655736,0.567714194
2015-01-09 19:00:00+00:00,1.499269447,0.46359001,0.659601489,0.592047043,0.567988452
2015-01-09 20:00:00+00:00,1.498616276,0.464091058,0.659871485,0.592438349,0.56826271
2015-01-09 21:00:00+00:00,1.497963105,0.464592106,0.660141482,0.592829656,0.568536968
2015-01-09 22:00:00+00:00,1.497309933,0.465093155,0.660411478,0.593220963,0.568811226
2015-01-09 23:00:00+00:00,1.496656762,0.465594203,0.660681475,0.593612269,0.569085484
2015-01-10 00:00:00+00:00,1.495721242,0.466095252,0.660951471,0.594003576,0.569359742
2015-01-10 01:00:00+00:00,1.494785722,0.4665963,0.661221468,0.594394883,0.569634
2015-01-10 02:00:00+00:00,1.493850202,0.467097348,0.661491465,0.59478619,0.569908258
2015-01-10 03:00:00+00:00,1.492914682,0.467598397,0.661761461,0.595177496,0.570182516
2015-01-10 04:00:00+00:00,1.491979162,0.468099445,0.662031458,0.595568803,0.570456774
2015-01-10 05:00:00+00:00,1.491043642,0.468600494,0.662301454,0.59596011,0.570731032
2015-01-10 06:00:00+00:00,1.490108122,0.469101542,0.662571451,0.596351416,0.57100529
2015-01-10 07:00:00+00:00,1.489172602,0.46960259,0.662841447,0.596742723,0.571279548
2015-01-10 08:00:00+00:00,1.488237083,0.470103639,0.663111444,0.59713403,0.571553806
2015-01-10 09:00:00+00:00,1.487301563,0.470604687,0.66338144,0.597525336,0.571828065
2015-01-10 10:00:00+00:00,1.486366043,0.471105735,0.663651437,0.597916643,0.572102323
2015-01-10 11:00:00+00:00,1.485430523,0.471606784,0.663921433,0.59830795,0.572376581
2015-01-10 12:00:00+00:00,1.484495003,0.472107832,0.66419143,0.598699257,0.572650839
