,PHOT,WTOF,WTON,HE Raven,HE Vrben,HE Matka ,HE Dosnica,HE Kalimanci,HE Pesocani,HE Popova Sapka,HE Pena cascade,HE Sapuncica,HE Strezevo 1,HE Turija,HE Zrnovci,HROR
2010-01-03 08:00:00+00:00,0,0,0,1,1,0.967330399,1,0.746948523,1,1,1,1,1,0.657995941,0.740558495,0.938165
2010-01-03 09:00:00+00:00,0,0,0,1,1,0.967953271,1,0.745024758,1,1,1,1,1,0.657308989,0.738834392,0.9378612
2010-01-03 10:00:00+00:00,0,0,0,1,1,0.968576144,1,0.743100994,1,1,1,1,1,0.656622037,0.737110288,0.9375574
2010-01-03 11:00:00+00:00,0,0,0,1,1,0.969199016,1,0.741177229,1,1,1,1,1,0.655935086,0.735386185,0.9372536
2010-01-03 12:00:00+00:00,0,0,0,1,1,0.969821888,1,0.739253465,1,1,1,1,1,0.655248134,0.733662082,0.9369497
2010-01-03 13:00:00+00:00,0,0,0,1,1,0.97044476,1,0.7373297,1,1,1,1,1,0.654561182,0.731937978,0.9366459
2010-01-03 14:00:00+00:00,0,0,0,1,1,0.971067633,1,0.735405936,1,1,1,1,1,0.653874231,0.730213875,0.9363421
2010-01-03 15:00:00+00:00,0,0,0,1,1,0.971690505,1,0.733482171,1,1,1,1,1,0.653187279,0.728489771,0.9360383
2010-01-03 16:00:00+00:00,0,0,0,1,1,0.972313377,1,0.731558407,1,1,1,1,1,0.652500327,0.726765668,0.9357345
2010-01-03 17:00:00+00:00,0,0,0,1,1,0.972936249,1,0.729634642,1,1,1,1,1,0.651813376,0.725041565,0.9354307
2010-01-03 18:00:00+00:00,0,0,0,1,1,0.973559122,1,0.727710877,1,1,1,1,1,0.651126424,0.723317461,0.9351269
2010-01-03 19:00:00+00:00,0,0,0,1,1,0.974181994,1,0.725787113,1,1,1,1,1,0.650439472,0.721593358,0.9348231
2010-01-03 20:00:00+00:00,0,0,0,1,1,0.974804866,1,0.723863348,1,1,1,1,1,0.649752521,0.719869255,0.9345192
