,[AGRAS 1;AGRAS 2],EDESSAIOS 1,GHIONA 1,[GLAFKOS-II NO1;GLAFKOS-II NO2],[LOUROS 1;LOUROS 2;LOUROS 3],[MAKROHORI-I NO 1;MAKROHORI-I NO 2;MAKROHORI-I NO 3],[STRATOS-II NO 1;STRATOS-II NO 2],[SFIKIA 1;SFIKIA 2;SFIKIA 3],THISAVROS,[ILARIONAS 1;ILARIONAS 2;ILARIONAS A1],[ASSOMATA 1;ASSOMATA 2],[KASTRAKI 1;KASTRAKI 2;KASTRAKI 3;KASTRAKI 4],LADONAS,[PLASTIRA 1;PLASTIRA 2;PLASTIRA 3],[PIGAI AOOS 1;PIGAI AOOS 2],[PLATANOVRISI 1;PLATANOVRISI 2],[POLYPHYTON 1;POLYPHYTON 2;POLYPHYTON 3],[POURNARI-I NO 1;POURNARI-I NO 2;POURNARI-I NO 3;POURNARI-I NO A1],[POURNARI-II NO 1;POURNARI-II NO 2],[STRATOS-I NO 1;STRATOS-I NO 2],[KREMASTA 1;KREMASTA 2;KREMASTA 3;KREMASTA 4]
2015/01/02 06:00,0.000387349,9.85E-05,0.001105321,0.012358014,0.002298398,0.007625948,0.000388442,0.000760963,0.020106625,0.137968823,0.000106966,0.011017671,0.072180361,0.003064508,0.003253666,0.005978876,0.000631582,0.033033596,0.000530488,0.001238833,0.062153468
2015/01/02 07:00,0.000387214,9.85E-05,0.001104474,0.012292712,0.002289274,0.007621808,0.000387924,0.00076069,0.020090172,0.137872445,0.00010689,0.010978332,0.071869515,0.003066032,0.003252353,0.005975444,0.000628816,0.032963505,0.00052811,0.001232889,0.062041243
2015/01/02 08:00,0.000387078,9.85E-05,0.001103627,0.012227409,0.00228015,0.007617668,0.000387406,0.000760418,0.020073718,0.137776068,0.000106815,0.010938994,0.071558669,0.003067556,0.003251041,0.005972013,0.000626049,0.032893415,0.000525733,0.001226945,0.061929019
2015/01/02 09:00,0.000386942,9.85E-05,0.00110278,0.012162106,0.002271026,0.007613529,0.000386889,0.000760145,0.020057265,0.137679691,0.000106739,0.010899656,0.071247823,0.00306908,0.003249729,0.005968581,0.000623283,0.032823324,0.000523356,0.001221001,0.061816794
2015/01/02 10:00,0.000386806,9.85E-05,0.001101932,0.012096804,0.002261901,0.007609389,0.000386371,0.000759872,0.020040811,0.137583314,0.000106663,0.010860317,0.070936977,0.003070604,0.003248416,0.00596515,0.000620516,0.032753233,0.000520978,0.001215057,0.061704569
2015/01/02 11:00,0.000386671,9.85E-05,0.001101085,0.012031501,0.002252777,0.007605249,0.000385853,0.0007596,0.020024357,0.137486936,0.000106587,0.010820979,0.07062613,0.003072127,0.003247104,0.005961719,0.00061775,0.032683142,0.000518601,0.001209113,0.061592344
2015/01/02 12:00,0.000386535,9.84E-05,0.001100238,0.011966198,0.002243653,0.007601109,0.000385335,0.000759327,0.020007904,0.137390559,0.000106511,0.01078164,0.070315284,0.003073651,0.003245791,0.005958287,0.000614983,0.032613051,0.000516223,0.001203169,0.061480119
2015/01/02 13:00,0.000386399,9.84E-05,0.001099391,0.011900895,0.002234529,0.00759697,0.000384817,0.000759054,0.01999145,0.137294182,0.000106435,0.010742302,0.070004438,0.003075175,0.003244479,0.005954856,0.000612217,0.03254296,0.000513846,0.001197225,0.061367894
2015/01/02 14:00,0.000386264,9.84E-05,0.001098544,0.011835593,0.002225405,0.00759283,0.000384299,0.000758782,0.019974996,0.137197805,0.00010636,0.010702963,0.069693592,0.003076699,0.003243167,0.005951425,0.00060945,0.03247287,0.000511469,0.00119128,0.061255669
2015/01/02 15:00,0.000386128,9.84E-05,0.001097697,0.01177029,0.002216281,0.00758869,0.000383782,0.000758509,0.019958543,0.137101427,0.000106284,0.010663625,0.069382746,0.003078223,0.003241854,0.005947993,0.000606684,0.032402779,0.000509091,0.001185336,0.061143445
2015/01/02 16:00,0.000385992,9.84E-05,0.00109685,0.011704987,0.002207157,0.007584551,0.000383264,0.000758236,0.019942089,0.13700505,0.000106208,0.010624287,0.069071899,0.003079746,0.003240542,0.005944562,0.000603918,0.032332688,0.000506714,0.001179392,0.06103122
2015/01/02 17:00,0.000385856,9.83E-05,0.001096003,0.011639685,0.002198033,0.007580411,0.000382746,0.000757964,0.019925636,0.136908673,0.000106132,0.010584948,0.068761053,0.00308127,0.00323923,0.00594113,0.000601151,0.032262597,0.000504336,0.001173448,0.060918995
2015/01/02 18:00,0.000385721,9.83E-05,0.001095155,0.011574382,0.002188909,0.007576271,0.000382228,0.000757691,0.019909182,0.136812295,0.000106056,0.01054561,0.068450207,0.003082794,0.003237917,0.005937699,0.000598385,0.032192506,0.000501959,0.001167504,0.06080677
2015/01/02 19:00,0.000385585,9.83E-05,0.001094308,0.011509079,0.002179785,0.007572132,0.00038171,0.000757419,0.019892728,0.136715918,0.00010598,0.010506271,0.068139361,0.003084318,0.003236605,0.005934268,0.000595618,0.032122416,0.000499582,0.00116156,0.060694545
2015/01/02 20:00,0.000385449,9.83E-05,0.001093461,0.011443776,0.002170661,0.007567992,0.000381192,0.000757146,0.019876275,0.136619541,0.000105904,0.010466933,0.067828515,0.003085842,0.003235293,0.005930836,0.000592852,0.032052325,0.000497204,0.001155616,0.06058232
2015/01/02 21:00,0.000385313,9.83E-05,0.001092614,0.011378474,0.002161537,0.007563852,0.000380675,0.000756873,0.019859821,0.136523164,0.000105829,0.010427594,0.067517668,0.003087366,0.00323398,0.005927405,0.000590085,0.031982234,0.000494827,0.001149672,0.060470095
2015/01/02 22:00,0.000385178,9.83E-05,0.001091767,0.011313171,0.002152413,0.007559713,0.000380157,0.000756601,0.019843368,0.136426786,0.000105753,0.010388256,0.067206822,0.003088889,0.003232668,0.005923973,0.000587319,0.031912143,0.000492449,0.001143728,0.060357871
2015/01/02 23:00,0.000385042,9.82E-05,0.00109092,0.011247868,0.002143289,0.007555573,0.000379639,0.000756328,0.019826914,0.136330409,0.000105677,0.010348918,0.066895976,0.003090413,0.003231355,0.005920542,0.000584552,0.031842052,0.000490072,0.001137784,0.060245646
2015/01/03 00:00,0.000384931,9.82E-05,0.001090587,0.011190356,0.002138223,0.007553489,0.000379687,0.00075716,0.019893155,0.136326169,0.000106052,0.010331433,0.066649872,0.003100496,0.003230794,0.005997957,0.00059339,0.03180584,0.000489705,0.001135295,0.060212313
2015/01/03 01:00,0.00038482,9.82E-05,0.001090253,0.011132844,0.002133157,0.007551405,0.000379735,0.000757993,0.019959395,0.13632193,0.000106428,0.010313949,0.066403768,0.003110579,0.003230232,0.006075372,0.000602228,0.031769629,0.000489337,0.001132806,0.06017898
2015/01/03 02:00,0.000384709,9.82E-05,0.00108992,0.011075332,0.002128091,0.007549321,0.000379783,0.000758825,0.020025636,0.13631769,0.000106803,0.010296464,0.066157664,0.003120662,0.00322967,0.006152787,0.000611066,0.031733417,0.00048897,0.001130316,0.060145647
2015/01/03 03:00,0.000384598,9.82E-05,0.001089587,0.01101782,0.002123026,0.007547237,0.000379831,0.000759657,0.020091876,0.13631345,0.000107178,0.01027898,0.065911559,0.003130744,0.003229108,0.006230203,0.000619904,0.031697205,0.000488602,0.001127827,0.060112314
2015/01/03 04:00,0.000384487,9.82E-05,0.001089254,0.010960308,0.00211796,0.007545153,0.000379879,0.000760489,0.020158117,0.13630921,0.000107554,0.010261495,0.065665455,0.003140827,0.003228547,0.006307618,0.000628741,0.031660993,0.000488235,0.001125338,0.060078981
