,RO_P2HT_OTH,RO_STUR_BIO_CHP,RO_STUR_GAS_CHP
2016-08-16 12:00:00,679.732574638917,330.7598052077294,400.3356193550475
2016-08-16 13:00:00,732.4354979210598,356.40519765922335,431.3755580326755
2016-08-16 14:00:00,812.1655613478908,395.2020734191757,478.33341398088186
2016-08-16 15:00:00,831.0845594491728,404.40811173509655,489.4759560702867
2016-08-16 16:00:00,886.9406490815293,431.5878439059107,522.3729850961488
2016-08-16 17:00:00,928.8327163057966,451.97264303402125,547.0457568655454
2016-08-16 18:00:00,854.0576285721581,415.58687254728625,503.00618575027835
2016-08-16 19:00:00,629.2819130354983,306.210369698607,370.6221737833011
2016-08-16 20:00:00,390.54217509074954,190.03893380722423,230.01390455985828
2016-08-16 21:00:00,266.21733042518224,129.54211058831547,156.7914851151975
2016-08-16 22:00:00,295.04627991284997,143.57035945067113,173.7705968704812
2016-08-16 23:00:00,286.0372331979538,139.186531681185,168.46462444695504
2016-08-17 00:00:00,335.58699012988285,163.29758441335878,197.64747277634885
2016-08-17 01:00:00,551.8041112873914,268.5094508810262,324.9908109409763
2016-08-17 02:00:00,1106.3109365892515,538.3340500928982,651.5734136090103
2016-08-17 03:00:00,1405.4112875238047,683.8771320398381,827.7316980700783
2016-08-17 04:00:00,1328.834390447187,646.6145959992059,782.6309324701061
2016-08-17 05:00:00,1053.6080133071086,512.6886576414042,620.5334749313824
2016-08-17 06:00:00,1018.9231834547584,495.81092072888254,600.1054811008067
2016-08-17 07:00:00,932.8867873274997,453.94536553029,549.4334444561322
2016-08-17 08:00:00,904.0578378398319,439.9171166679343,532.4543327008485
2016-08-17 09:00:00,871.6252696662058,424.1353366977842,513.3528319761543
2016-08-17 10:00:00,745.949067993404,362.9809393134525,439.33451666796464
2016-08-17 11:00:00,726.5796175563772,353.5557096090573,427.92667595738345
2016-08-17 12:00:00,667.5703615738072,324.8416377189231,393.17255658328725
2016-08-17 13:00:00,715.7687614985018,348.29511628567394,421.5595090491521
2016-08-17 14:00:00,792.3456585751194,385.55765232630614,466.6602746491243
2016-08-17 15:00:00,805.8592286474635,392.1333939805354,474.6192332844135
2016-08-17 16:00:00,868.922555651737,422.8201883669384,511.76104024909654
2016-08-17 17:00:00,909.4632658687697,442.547413329626,535.6379161549642
2016-08-17 18:00:00,814.8682753623598,396.5172217500215,479.92520570793965
2016-08-17 19:00:00,608.1106532554925,295.9083744403146,358.1531385880147
2016-08-17 20:00:00,371.62317698946754,180.83289549130336,218.87136247045342
2016-08-17 21:00:00,243.24426130219692,118.3633497761258,143.26125543520584
2016-08-17 22:00:00,274.7759248043336,133.70674696932733,161.8321589175474
2016-08-17 23:00:00,266.667782760927,129.76130197678978,157.05678373637383
2016-08-18 00:00:00,308.5598499851943,150.14610110490037,181.72955550577043
2016-08-18 01:00:00,514.8670197563168,250.535757026133,303.23632400451913
2016-08-18 02:00:00,1052.2566562998743,512.0310834759813,619.7375790678535
2016-08-18 03:00:00,1361.717410956558,662.6155673578303,801.9977318159765
2016-08-18 04:00:00,1286.04141855143,625.7914140941467,757.427563458357
