,HE Ujmani,HDAM
2015-01-14 06:00:00+00:00,1.070761796,1.070761796
2015-01-14 07:00:00+00:00,1.065287731,1.065287731
2015-01-14 08:00:00+00:00,1.059813666,1.059813666
2015-01-14 09:00:00+00:00,1.054339601,1.054339601
2015-01-14 10:00:00+00:00,1.048865536,1.048865536
2015-01-14 11:00:00+00:00,1.043391471,1.043391471
2015-01-14 12:00:00+00:00,1.037917406,1.037917406
2015-01-14 13:00:00+00:00,1.032443341,1.032443341
2015-01-14 14:00:00+00:00,1.026969276,1.026969276
2015-01-14 15:00:00+00:00,1.021495211,1.021495211
2015-01-14 16:00:00+00:00,1.016021146,1.016021146
2015-01-14 17:00:00+00:00,1.010547081,1.010547081
2015-01-14 18:00:00+00:00,1.005073016,1.005073016
2015-01-14 19:00:00+00:00,0.999598951,0.999598951
2015-01-14 20:00:00+00:00,0.994124886,0.994124886
2015-01-14 21:00:00+00:00,0.988650821,0.988650821
2015-01-14 22:00:00+00:00,0.983176756,0.983176756
2015-01-14 23:00:00+00:00,0.977702691,0.977702691
2015-01-15 00:00:00+00:00,0.973512833,0.973512833
2015-01-15 01:00:00+00:00,0.969322975,0.969322975
2015-01-15 02:00:00+00:00,0.965133117,0.965133117
2015-01-15 03:00:00+00:00,0.960943259,0.960943259
2015-01-15 04:00:00+00:00,0.956753401,0.956753401
2015-01-15 05:00:00+00:00,0.952563543,0.952563543
2015-01-15 06:00:00+00:00,0.948373685,0.948373685
2015-01-15 07:00:00+00:00,0.944183827,0.944183827
2015-01-15 08:00:00+00:00,0.93999397,0.93999397
2015-01-15 09:00:00+00:00,0.935804112,0.935804112
2015-01-15 10:00:00+00:00,0.931614254,0.931614254
2015-01-15 11:00:00+00:00,0.927424396,0.927424396
2015-01-15 12:00:00+00:00,0.923234538,0.923234538
2015-01-15 13:00:00+00:00,0.91904468,0.91904468
2015-01-15 14:00:00+00:00,0.914854822,0.914854822
2015-01-15 15:00:00+00:00,0.910664964,0.910664964
2015-01-15 16:00:00+00:00,0.906475106,0.906475106
2015-01-15 17:00:00+00:00,0.902285248,0.902285248
2015-01-15 18:00:00+00:00,0.89809539,0.89809539
2015-01-15 19:00:00+00:00,0.893905532,0.893905532
2015-01-15 20:00:00+00:00,0.889715674,0.889715674
2015-01-15 21:00:00+00:00,0.885525816,0.885525816
2015-01-15 22:00:00+00:00,0.881335958,0.881335958
2015-01-15 23:00:00+00:00,0.8771461,0.8771461
2015-01-16 00:00:00+00:00,0.873827998,0.873827998
2015-01-16 01:00:00+00:00,0.870509895,0.870509895
2015-01-16 02:00:00+00:00,0.867191792,0.867191792
2015-01-16 03:00:00+00:00,0.863873689,0.863873689
2015-01-16 04:00:00+00:00,0.860555587,0.860555587
2015-01-16 05:00:00+00:00,0.857237484,0.857237484
2015-01-16 06:00:00+00:00,0.853919381,0.853919381
2015-01-16 07:00:00+00:00,0.850601278,0.850601278
2015-01-16 08:00:00+00:00,0.847283176,0.847283176
2015-01-16 09:00:00+00:00,0.843965073,0.843965073
2015-01-16 10:00:00+00:00,0.84064697,0.84064697
2015-01-16 11:00:00+00:00,0.837328867,0.837328867
2015-01-16 12:00:00+00:00,0.834010765,0.834010765
2015-01-16 13:00:00+00:00,0.830692662,0.830692662
2015-01-16 14:00:00+00:00,0.827374559,0.827374559
2015-01-16 15:00:00+00:00,0.824056456,0.824056456
2015-01-16 16:00:00+00:00,0.820738354,0.820738354
2015-01-16 17:00:00+00:00,0.817420251,0.817420251
2015-01-16 18:00:00+00:00,0.814102148,0.814102148
2015-01-16 19:00:00+00:00,0.810784046,0.810784046
2015-01-16 20:00:00+00:00,0.807465943,0.807465943
2015-01-16 21:00:00+00:00,0.80414784,0.80414784
2015-01-16 22:00:00+00:00,0.800829737,0.800829737
2015-01-16 23:00:00+00:00,0.797511635,0.797511635
2015-01-17 00:00:00+00:00,0.794771184,0.794771184
2015-01-17 01:00:00+00:00,0.792030733,0.792030733
2015-01-17 02:00:00+00:00,0.789290282,0.789290282
2015-01-17 03:00:00+00:00,0.78654983,0.78654983
2015-01-17 04:00:00+00:00,0.783809379,0.783809379
2015-01-17 05:00:00+00:00,0.781068928,0.781068928
2015-01-17 06:00:00+00:00,0.778328477,0.778328477
2015-01-17 07:00:00+00:00,0.775588026,0.775588026
2015-01-17 08:00:00+00:00,0.772847575,0.772847575
2015-01-17 09:00:00+00:00,0.770107124,0.770107124
2015-01-17 10:00:00+00:00,0.767366673,0.767366673
2015-01-17 11:00:00+00:00,0.764626222,0.764626222
2015-01-17 12:00:00+00:00,0.761885771,0.761885771
2015-01-17 13:00:00+00:00,0.75914532,0.75914532
2015-01-17 14:00:00+00:00,0.756404869,0.756404869
2015-01-17 15:00:00+00:00,0.753664418,0.753664418
2015-01-17 16:00:00+00:00,0.750923967,0.750923967
2015-01-17 17:00:00+00:00,0.748183516,0.748183516
2015-01-17 18:00:00+00:00,0.745443065,0.745443065
2015-01-17 19:00:00+00:00,0.742702614,0.742702614
2015-01-17 20:00:00+00:00,0.739962163,0.739962163
2015-01-17 21:00:00+00:00,0.737221712,0.737221712
2015-01-17 22:00:00+00:00,0.734481261,0.734481261
2015-01-17 23:00:00+00:00,0.73174081,0.73174081
2015-01-18 00:00:00+00:00,0.729360102,0.729360102
2015-01-18 01:00:00+00:00,0.726979393,0.726979393
2015-01-18 02:00:00+00:00,0.724598685,0.724598685
2015-01-18 03:00:00+00:00,0.722217976,0.722217976
2015-01-18 04:00:00+00:00,0.719837268,0.719837268
2015-01-18 05:00:00+00:00,0.71745656,0.71745656
2015-01-18 06:00:00+00:00,0.715075851,0.715075851
2015-01-18 07:00:00+00:00,0.712695143,0.712695143
2015-01-18 08:00:00+00:00,0.710314434,0.710314434
2015-01-18 09:00:00+00:00,0.707933726,0.707933726
2015-01-18 10:00:00+00:00,0.705553018,0.705553018
2015-01-18 11:00:00+00:00,0.703172309,0.703172309
2015-01-18 12:00:00+00:00,0.700791601,0.700791601
2015-01-18 13:00:00+00:00,0.698410892,0.698410892
2015-01-18 14:00:00+00:00,0.696030184,0.696030184
2015-01-18 15:00:00+00:00,0.693649476,0.693649476
2015-01-18 16:00:00+00:00,0.691268767,0.691268767
2015-01-18 17:00:00+00:00,0.688888059,0.688888059
2015-01-18 18:00:00+00:00,0.68650735,0.68650735
2015-01-18 19:00:00+00:00,0.684126642,0.684126642
2015-01-18 20:00:00+00:00,0.681745934,0.681745934
2015-01-18 21:00:00+00:00,0.679365225,0.679365225
2015-01-18 22:00:00+00:00,0.676984517,0.676984517
2015-01-18 23:00:00+00:00,0.674603808,0.674603808
2015-01-19 00:00:00+00:00,0.672479548,0.672479548
2015-01-19 01:00:00+00:00,0.670355288,0.670355288
2015-01-19 02:00:00+00:00,0.668231028,0.668231028
2015-01-19 03:00:00+00:00,0.666106767,0.666106767
2015-01-19 04:00:00+00:00,0.663982507,0.663982507
2015-01-19 05:00:00+00:00,0.661858247,0.661858247
2015-01-19 06:00:00+00:00,0.659733987,0.659733987
2015-01-19 07:00:00+00:00,0.657609726,0.657609726
2015-01-19 08:00:00+00:00,0.655485466,0.655485466
2015-01-19 09:00:00+00:00,0.653361206,0.653361206
2015-01-19 10:00:00+00:00,0.651236946,0.651236946
2015-01-19 11:00:00+00:00,0.649112685,0.649112685
2015-01-19 12:00:00+00:00,0.646988425,0.646988425
2015-01-19 13:00:00+00:00,0.644864165,0.644864165
2015-01-19 14:00:00+00:00,0.642739905,0.642739905
2015-01-19 15:00:00+00:00,0.640615644,0.640615644
2015-01-19 16:00:00+00:00,0.638491384,0.638491384
2015-01-19 17:00:00+00:00,0.636367124,0.636367124
2015-01-19 18:00:00+00:00,0.634242864,0.634242864
2015-01-19 19:00:00+00:00,0.632118603,0.632118603
2015-01-19 20:00:00+00:00,0.629994343,0.629994343
2015-01-19 21:00:00+00:00,0.627870083,0.627870083
2015-01-19 22:00:00+00:00,0.625745823,0.625745823
2015-01-19 23:00:00+00:00,0.623621562,0.623621562
2015-01-20 00:00:00+00:00,0.621718663,0.621718663
2015-01-20 01:00:00+00:00,0.619815764,0.619815764
2015-01-20 02:00:00+00:00,0.617912865,0.617912865
2015-01-20 03:00:00+00:00,0.616009966,0.616009966
2015-01-20 04:00:00+00:00,0.614107067,0.614107067
2015-01-20 05:00:00+00:00,0.612204168,0.612204168
2015-01-20 06:00:00+00:00,0.610301269,0.610301269
2015-01-20 07:00:00+00:00,0.60839837,0.60839837
2015-01-20 08:00:00+00:00,0.606495471,0.606495471
2015-01-20 09:00:00+00:00,0.604592572,0.604592572
2015-01-20 10:00:00+00:00,0.602689673,0.602689673
2015-01-20 11:00:00+00:00,0.600786774,0.600786774
