,HE Ujmani,HDAM
2010-06-17 01:00:00+00:00,0.142234429,0.142234429
2010-06-17 02:00:00+00:00,0.142196633,0.142196633
2010-06-17 03:00:00+00:00,0.142158837,0.142158837
2010-06-17 04:00:00+00:00,0.142121041,0.142121041
2010-06-17 05:00:00+00:00,0.142083244,0.142083244
2010-06-17 06:00:00+00:00,0.142045448,0.142045448
2010-06-17 07:00:00+00:00,0.142007652,0.142007652
2010-06-17 08:00:00+00:00,0.141969856,0.141969856
2010-06-17 09:00:00+00:00,0.14193206,0.14193206
2010-06-17 10:00:00+00:00,0.141894264,0.141894264
2010-06-17 11:00:00+00:00,0.141856467,0.141856467
2010-06-17 12:00:00+00:00,0.141818671,0.141818671
2010-06-17 13:00:00+00:00,0.141780875,0.141780875
2010-06-17 14:00:00+00:00,0.141743079,0.141743079
2010-06-17 15:00:00+00:00,0.141705283,0.141705283
2010-06-17 16:00:00+00:00,0.141667487,0.141667487
2010-06-17 17:00:00+00:00,0.14162969,0.14162969
2010-06-17 18:00:00+00:00,0.141591894,0.141591894
2010-06-17 19:00:00+00:00,0.141554098,0.141554098
2010-06-17 20:00:00+00:00,0.141516302,0.141516302
2010-06-17 21:00:00+00:00,0.141478506,0.141478506
2010-06-17 22:00:00+00:00,0.141440709,0.141440709
2010-06-17 23:00:00+00:00,0.141402913,0.141402913
2010-06-18 00:00:00+00:00,0.141565547,0.141565547
2010-06-18 01:00:00+00:00,0.14172818,0.14172818
2010-06-18 02:00:00+00:00,0.141890813,0.141890813
2010-06-18 03:00:00+00:00,0.142053447,0.142053447
2010-06-18 04:00:00+00:00,0.14221608,0.14221608
2010-06-18 05:00:00+00:00,0.142378714,0.142378714
2010-06-18 06:00:00+00:00,0.142541347,0.142541347
2010-06-18 07:00:00+00:00,0.14270398,0.14270398
2010-06-18 08:00:00+00:00,0.142866614,0.142866614
2010-06-18 09:00:00+00:00,0.143029247,0.143029247
2010-06-18 10:00:00+00:00,0.143191881,0.143191881
2010-06-18 11:00:00+00:00,0.143354514,0.143354514
2010-06-18 12:00:00+00:00,0.143517147,0.143517147
2010-06-18 13:00:00+00:00,0.143679781,0.143679781
2010-06-18 14:00:00+00:00,0.143842414,0.143842414
2010-06-18 15:00:00+00:00,0.144005047,0.144005047
2010-06-18 16:00:00+00:00,0.144167681,0.144167681
2010-06-18 17:00:00+00:00,0.144330314,0.144330314
2010-06-18 18:00:00+00:00,0.144492948,0.144492948
2010-06-18 19:00:00+00:00,0.144655581,0.144655581
2010-06-18 20:00:00+00:00,0.144818214,0.144818214
2010-06-18 21:00:00+00:00,0.144980848,0.144980848
2010-06-18 22:00:00+00:00,0.145143481,0.145143481
2010-06-18 23:00:00+00:00,0.145306115,0.145306115
2010-06-19 00:00:00+00:00,0.145420114,0.145420114
2010-06-19 01:00:00+00:00,0.145534113,0.145534113
2010-06-19 02:00:00+00:00,0.145648112,0.145648112
2010-06-19 03:00:00+00:00,0.145762111,0.145762111
2010-06-19 04:00:00+00:00,0.145876109,0.145876109
2010-06-19 05:00:00+00:00,0.145990108,0.145990108
2010-06-19 06:00:00+00:00,0.146104107,0.146104107
2010-06-19 07:00:00+00:00,0.146218106,0.146218106
2010-06-19 08:00:00+00:00,0.146332105,0.146332105
2010-06-19 09:00:00+00:00,0.146446104,0.146446104
2010-06-19 10:00:00+00:00,0.146560103,0.146560103
2010-06-19 11:00:00+00:00,0.146674102,0.146674102
2010-06-19 12:00:00+00:00,0.146788101,0.146788101
2010-06-19 13:00:00+00:00,0.1469021,0.1469021
2010-06-19 14:00:00+00:00,0.147016099,0.147016099
2010-06-19 15:00:00+00:00,0.147130098,0.147130098
2010-06-19 16:00:00+00:00,0.147244097,0.147244097
2010-06-19 17:00:00+00:00,0.147358096,0.147358096
2010-06-19 18:00:00+00:00,0.147472095,0.147472095
2010-06-19 19:00:00+00:00,0.147586094,0.147586094
2010-06-19 20:00:00+00:00,0.147700093,0.147700093
2010-06-19 21:00:00+00:00,0.147814092,0.147814092
2010-06-19 22:00:00+00:00,0.147928091,0.147928091
2010-06-19 23:00:00+00:00,0.14804209,0.14804209
2010-06-20 00:00:00+00:00,0.149403714,0.149403714
2010-06-20 01:00:00+00:00,0.150765338,0.150765338
2010-06-20 02:00:00+00:00,0.152126961,0.152126961
2010-06-20 03:00:00+00:00,0.153488585,0.153488585
2010-06-20 04:00:00+00:00,0.154850209,0.154850209
2010-06-20 05:00:00+00:00,0.156211832,0.156211832
2010-06-20 06:00:00+00:00,0.157573456,0.157573456
2010-06-20 07:00:00+00:00,0.15893508,0.15893508
2010-06-20 08:00:00+00:00,0.160296703,0.160296703
2010-06-20 09:00:00+00:00,0.161658327,0.161658327
2010-06-20 10:00:00+00:00,0.163019951,0.163019951
2010-06-20 11:00:00+00:00,0.164381574,0.164381574
2010-06-20 12:00:00+00:00,0.165743198,0.165743198
2010-06-20 13:00:00+00:00,0.167104822,0.167104822
2010-06-20 14:00:00+00:00,0.168466445,0.168466445
