,HE Jablanica,HE Dubrovnik,HE Trebinje 1,HE Trebinje 2,HE Rama,HE Visegrad,HE Salakovac,HE Bocac,RHE Capljina,HDAM,HROR
2010-01-03 22:00:00+00:00,0.726423936,0.858077304,0.801530731,0,0.739537701,0.703419696,0.779259751,0.881515889,0.1,0.739537701,0.8640405
2010-01-03 23:00:00+00:00,0.727847789,0.858200342,0.801764897,0,0.740377839,0.715310079,0.791976185,0.892445029,0.1,0.740377839,0.8635167
2010-01-04 00:00:00+00:00,0.729271977,0.858325461,0.801998422,0,0.741216422,0.727200071,0.804701531,0.903380055,0.1,0.741216422,0.8632077
2010-01-04 01:00:00+00:00,0.728533527,0.858306584,0.802020341,0,0.74205345,0.73207547,0.817435789,0.914320968,0.1,0.74205345,0.8628987
2010-01-04 02:00:00+00:00,0.727795413,0.858289788,0.802041618,0,0.742734737,0.72607631,0.801592203,0.900998386,0.1,0.742734737,0.8625896
2010-01-04 03:00:00+00:00,0.727057634,0.858275073,0.802062253,0,0.742978114,0.72007676,0.785757529,0.887681691,0.1,0.742978114,0.8622806
2010-01-04 04:00:00+00:00,0.726320192,0.858262439,0.802082246,0,0.743219936,0.71407682,0.769931766,0.874370882,0.1,0.743219936,0.8619716
2010-01-04 05:00:00+00:00,0.725583085,0.858397965,0.802195778,0,0.744050744,0.725964858,0.782701668,0.885335342,0.1,0.744050744,0.8616625
2010-01-04 06:00:00+00:00,0.724846315,0.858389493,0.802214487,0,0.744879997,0.734289554,0.795480482,0.896305688,0.1,0.744879997,0.8613535
2010-01-04 07:00:00+00:00,0.724109881,0.858383103,0.802232553,0,0.745117154,0.728288441,0.779681453,0.883012539,0.1,0.745117154,0.8610445
2010-01-04 08:00:00+00:00,0.723373782,0.858378794,0.802249977,0,0.745352756,0.722286937,0.763891335,0.869725277,0.1,0.745352756,0.8607354
2010-01-04 09:00:00+00:00,0.72263802,0.858376567,0.802266759,0,0.745586803,0.716285043,0.748110128,0.856443901,0.1,0.745586803,0.8604264
2010-01-04 10:00:00+00:00,0.721902594,0.858493921,0.802282899,0,0.746409837,0.728171128,0.760924587,0.867437794,0.1,0.746409837,0.8601174
2010-01-04 11:00:00+00:00,0.721167503,0.858495856,0.802298397,0,0.746640774,0.722168453,0.745161204,0.854168192,0.1,0.746640774,0.8598083
2010-01-04 12:00:00+00:00,0.720432749,0.858499872,0.802313253,0,0.746870156,0.716165386,0.729406731,0.840904476,0.1,0.746870156,0.8594993
2010-01-04 13:00:00+00:00,0.719698331,0.858505969,0.802327466,0,0.747097984,0.710161929,0.71366117,0.827646647,0.1,0.747097984,0.8591903
2010-01-04 14:00:00+00:00,0.718964249,0.858514148,0.802341038,0,0.747914797,0.721500015,0.726511274,0.838664087,0.1,0.747914797,0.8588812
2010-01-04 15:00:00+00:00,0.718230502,0.858524407,0.802353967,0,0.748139514,0.715495776,0.710783535,0.825418031,0.1,0.748139514,0.8585722
