PowerCapacity,Unit,Zone,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,Extendable,Investment,FixedCost,EconomicLifetime
54.0,Tarbert Unit 1,IE,STUR,OIL,0.28,2,2,0.018518519,0.018518519,10621.7833,363.3217582,0,0.333333333,0.26,0,0.905424557,,,,,,,,,,
54.0,Tarbert Unit 2,IE,STUR,OIL,0.28,2,2,0.018518519,0.018518519,10779.05342,367.18258239999994,0,0.333333333,0.26,0,0.905424557,,,,,,,,,,
243.0,Tarbert Unit 3,IE,STUR,OIL,0.35,4,4,0.008230453,0.009053498,69483.56252,2009.666703,0,0.143415638,0.24,0,0.739817532,,,,,,,,,,
243.0,Tarbert Unit 4,IE,STUR,OIL,0.33,4,4,0.008230453,0.009053498,69489.6693,2012.1092579999997,0,0.143415638,0.23,0,0.770557597,,,,,,,,,,
52.0,Tawnaghmore Unit 1,IE,GTUR,OIL,0.31,0,1,0.192307692,0.192307692,2250.7150269999997,1046.954808,0,0.096153846,0.21,0,0.823469184,,,,,,,,,,
52.0,Tawnaghmore Unit 3,IE,GTUR,OIL,0.31,0,1,0.192307692,0.192307692,2250.7150269999997,1046.954808,0,0.096153846,0.21,0,0.823469184,,,,,,,,,,
73.0,Turlough Hill Unit 1,IE,HPHS,WAT,0.85,0,0,1.0,1.0,0.0,0.0,0,0.0,0.85,0,0.0,,,452.6,0.0,73.0,0.7,,,,
73.0,Turlough Hill Unit 2,IE,HPHS,WAT,0.85,0,0,1.0,1.0,0.0,0.0,0,0.0,0.85,0,0.0,,,452.6,0.0,73.0,0.7,,,,
73.0,Turlough Hill Unit 3,IE,HPHS,WAT,0.85,0,0,1.0,1.0,0.0,0.0,0,0.0,0.85,0,0.0,,,452.6,0.0,73.0,0.7,,,,
73.0,Turlough Hill Unit 4,IE,HPHS,WAT,0.85,0,0,1.0,1.0,0.0,0.0,0,0.0,0.85,0,0.0,,,452.6,0.0,73.0,0.7,,,,
404.0,Tynagh Generator Unit,IE,COMC,GAS,0.50443962,4,4,0.030940594,0.025074257000000003,97995.99542,4176.769231,0,0.48019802,0.52,0,1.370290248,,,,,,,,,,
140.0,West Offaly,IE,STUR,BIO,0.38,4,4,0.005,0.005,6445.958846,668.9261263999998,0,0.978571429,0.38,0,1.105578947,,,,,,,,,,
445.0,Whitegate Unit 1,IE,COMC,GAS,0.52,4,4,0.046292135,0.060224719,103972.0394,4467.7565380000015,0,0.40449438200000004,0.48,0,0.390842917,,,,,,,,,,
3039.0,Windfarms,IE,WTON,WIN,1.0,0,0,1.0,1.0,0.0,0.0,0,0.0,1.0,0,0.0,,,,,,,,,,
