,HE Vrutok,HE Tikvesh,HE Shpilje,HE Kozjak,HE Globochica,HDAM
2010-01-07 11:00:00+00:00,1.076271786,0.5316414,1.474450481,0.672458654,0.742132558,0.899390976
2010-01-07 12:00:00+00:00,1.074873005,0.530991183,1.469984593,0.672659507,0.742741934,0.898250044
2010-01-07 13:00:00+00:00,1.073474224,0.530340896,1.465517524,0.672860357,0.74335131,0.897108862
2010-01-07 14:00:00+00:00,1.072075442,0.529690541,1.461049271,0.673061203,0.743960685,0.895967428
2010-01-07 15:00:00+00:00,1.070676661,0.529040116,1.45657983,0.673262046,0.744570061,0.894825743
2010-01-07 16:00:00+00:00,1.06927788,0.528389621,1.452109196,0.673462884,0.745179437,0.893683804
2010-01-07 17:00:00+00:00,1.067879098,0.527739057,1.447637365,0.673663719,0.745788813,0.89254161
2010-01-07 18:00:00+00:00,1.066480317,0.527088423,1.443164332,0.673864549,0.746398188,0.891399162
2010-01-07 19:00:00+00:00,1.065081536,0.526437719,1.438690093,0.674065376,0.747007564,0.890256458
2010-01-07 20:00:00+00:00,1.063682754,0.525786945,1.434214644,0.674266199,0.74761694,0.889113496
2010-01-07 21:00:00+00:00,1.062283973,0.525136101,1.429737981,0.674467019,0.748226315,0.887970278
2010-01-07 22:00:00+00:00,1.060885192,0.524485187,1.425260098,0.674667834,0.748835691,0.8868268
2010-01-07 23:00:00+00:00,1.05948641,0.523834202,1.420780991,0.674868646,0.749445067,0.885683063
2010-01-08 00:00:00+00:00,1.054588509,0.522129486,1.420348437,0.673965077,0.750054442,0.88421719
2010-01-08 01:00:00+00:00,1.049690607,0.520424286,1.419915871,0.673061431,0.750663818,0.882751203
2010-01-08 02:00:00+00:00,1.044792705,0.5187186,1.419483295,0.672157707,0.751273194,0.8812851
2010-01-08 03:00:00+00:00,1.039894803,0.517012426,1.419050706,0.671253906,0.75188257,0.879818882
2010-01-08 04:00:00+00:00,1.034996901,0.515305762,1.418618106,0.670350027,0.752491945,0.878352548
2010-01-08 05:00:00+00:00,1.030099,0.513598607,1.418185495,0.66944607,0.753101321,0.876886099
2010-01-08 06:00:00+00:00,1.025201098,0.511890958,1.417752872,0.668542035,0.753710697,0.875419532
2010-01-08 07:00:00+00:00,1.020303196,0.510182813,1.417320238,0.667637922,0.754320072,0.873952848
2010-01-08 08:00:00+00:00,1.015405294,0.508474171,1.416887592,0.666733731,0.754929448,0.872486047
2010-01-08 09:00:00+00:00,1.010507392,0.50676503,1.416454935,0.665829462,0.755538824,0.871019129
2010-01-08 10:00:00+00:00,1.00560949,0.505055387,1.416022266,0.664925115,0.7561482,0.869552092
2010-01-08 11:00:00+00:00,1.000711589,0.503345241,1.415589586,0.664020688,0.756757575,0.868084936
2010-01-08 12:00:00+00:00,0.995813687,0.501634589,1.415156894,0.663116184,0.757366951,0.866617661
2010-01-08 13:00:00+00:00,0.990915785,0.49992343,1.414724191,0.6622116,0.757976327,0.865150267
2010-01-08 14:00:00+00:00,0.986017883,0.498211762,1.414291476,0.661306938,0.758585702,0.863682752
2010-01-08 15:00:00+00:00,0.981119981,0.496499582,1.41385875,0.660402196,0.759195078,0.862215117
2010-01-08 16:00:00+00:00,0.97622208,0.494786888,1.413426012,0.659497376,0.759804454,0.860747362
2010-01-08 17:00:00+00:00,0.971324178,0.493073679,1.412993263,0.658592476,0.760413829,0.859279485
2010-01-08 18:00:00+00:00,0.966426276,0.491359952,1.412560502,0.657687497,0.761023205,0.857811486
2010-01-08 19:00:00+00:00,0.961528374,0.489645705,1.412127729,0.656782438,0.761632581,0.856343365
2010-01-08 20:00:00+00:00,0.956630472,0.487930936,1.411694945,0.6558773,0.762241957,0.854875122
2010-01-08 21:00:00+00:00,0.951732571,0.486215643,1.41126215,0.654972082,0.762851332,0.853406756
2010-01-08 22:00:00+00:00,0.946834669,0.484499824,1.410829343,0.654066784,0.763460708,0.851938266
2010-01-08 23:00:00+00:00,0.941936767,0.482783476,1.410396524,0.653161407,0.764070084,0.850469652
2010-01-09 00:00:00+00:00,0.939748356,0.481574229,1.410736952,0.651890362,0.764679459,0.849725872
2010-01-09 01:00:00+00:00,0.937559944,0.480364718,1.411077372,0.65061916,0.765288835,0.848982006
2010-01-09 02:00:00+00:00,0.935371533,0.479154943,1.411417785,0.649347799,0.765898211,0.848238054
2010-01-09 03:00:00+00:00,0.933183121,0.477944902,1.411758191,0.648076279,0.766507587,0.847494016
2010-01-09 04:00:00+00:00,0.93099471,0.476734594,1.41209859,0.6468046,0.767116962,0.846749891
2010-01-09 05:00:00+00:00,0.928806299,0.475524019,1.412438981,0.645532761,0.767726338,0.84600568
2010-01-09 06:00:00+00:00,0.926617887,0.474313176,1.412779366,0.644260762,0.768335714,0.845261381
2010-01-09 07:00:00+00:00,0.924429476,0.473102064,1.413119743,0.642988603,0.768945089,0.844516995
2010-01-09 08:00:00+00:00,0.922241065,0.471890683,1.413460113,0.641716283,0.769554465,0.843772522
2010-01-09 09:00:00+00:00,0.920052653,0.470679031,1.413800477,0.640443802,0.770163841,0.843027961
2010-01-09 10:00:00+00:00,0.917864242,0.469467108,1.414140832,0.63917116,0.770773217,0.842283312
2010-01-09 11:00:00+00:00,0.915675831,0.468254912,1.414481181,0.637898356,0.771382592,0.841538574
2010-01-09 12:00:00+00:00,0.913487419,0.467042444,1.414821523,0.63662539,0.771991968,0.840793749
2010-01-09 13:00:00+00:00,0.911299008,0.465829702,1.415161858,0.635352262,0.772601344,0.840048835
2010-01-09 14:00:00+00:00,0.909110597,0.464616685,1.415502185,0.63407897,0.773210719,0.839303831
2010-01-09 15:00:00+00:00,0.906922185,0.463403393,1.415842506,0.632805515,0.773820095,0.838558739
2010-01-09 16:00:00+00:00,0.904733774,0.462189825,1.416182819,0.631531897,0.774429471,0.837813557
2010-01-09 17:00:00+00:00,0.902545362,0.460975979,1.416523125,0.630258115,0.775038846,0.837068285
2010-01-09 18:00:00+00:00,0.900356951,0.459761856,1.416863424,0.628984168,0.775648222,0.836322924
2010-01-09 19:00:00+00:00,0.89816854,0.458547453,1.417203716,0.627710057,0.776257598,0.835577473
2010-01-09 20:00:00+00:00,0.895980128,0.457332771,1.417544001,0.626435781,0.776866974,0.834831931
2010-01-09 21:00:00+00:00,0.893791717,0.456117809,1.417884279,0.625161339,0.777476349,0.834086299
