Total,Coal,Fuel,Gas,Nuclear,Water,Wind,Other
6677085,492000,0,2529210,2835000,9072,255368,556435
6729796,544200,0,2520425,2833600,9074,260015,562482
6790002,611400,0,2503451,2832000,9702,270239,563210
6818795,612000,0,2573970,2831200,11002,283600,507023
6844699,606600,0,2590919,2833800,10981,300247,502152
6923699,605400,0,2674517,2833800,11256,301265,497461
6962029,612800,0,2691567,2834200,10956,308210,504296
7063397,613600,0,2787464,2835400,11146,307130,508657
7013209,613000,0,2743041,2837800,11186,302228,505954
7110233,611200,0,2821933,2838400,16206,299859,522635
7191495,613200,0,2846890,2837400,74770,302627,516608
7252211,610400,0,2877430,2839800,115164,305687,503730
7720130,604000,0,2937372,2839400,495940,308302,535116
7912081,609000,0,2995869,2839800,612790,302122,552500
7975181,610600,0,3027554,2839400,639834,290747,567046
8049475,608400,0,3063881,2839600,671387,299640,566567
7504423,610400,0,3007848,2839000,183230,310377,553568
7452751,612800,0,3007303,2838000,105973,319441,569234
7335569,611600,0,2877438,2840000,122063,300448,584020
7056911,606400,0,2625141,2840000,126963,298272,560135
7001418,613000,0,2647839,2837200,13560,330364,559455
6953896,597400,0,2605381,2840600,10298,336243,563974
6829339,593600,0,2491302,2839000,10305,343971,551161
6800208,593800,0,2446382,2839200,10354,356082,554390
6683813,555400,0,2363384,2840200,10573,360687,553569
6616378,535400,0,2328308,2838800,10552,349684,553634
6745333,566400,0,2413038,2837800,10557,355232,562306
6691443,592000,0,2302818,2839200,10554,359780,587091
6743202,594600,0,2234604,2837400,111921,376600,588077
6542530,595800,0,2123312,2838800,68998,364399,551221
6440563,592800,0,2129885,2839800,10453,330357,537268
6325728,584200,0,2040444,2842000,10203,307641,541240
6265836,496600,0,2030790,2846000,10340,340841,541265
6268496,483600,0,2025749,2844400,10475,365919,538353
6157580,480000,0,1943316,2844600,9773,341358,538533
6077389,461400,0,1866962,2844600,9399,349647,545381
6001801,346200,0,1895815,2843000,9413,367226,540147
5983792,321400,0,1904375,2844600,9347,367020,537050
5948782,318600,0,1892596,2844000,9334,368609,515643
5875395,315400,0,1800450,2846000,9226,370183,534136
5959521,284600,0,1924026,2844000,9188,366687,531020
5950144,278000,0,1914006,2843200,9213,359712,546013
5923378,276000,0,1874423,2845600,9632,361775,555948
5850003,274400,0,1835463,2843600,10186,365044,521310
5989256,275200,0,1961899,2844200,10251,369570,528136
6045903,274200,0,2018786,2842600,10218,359995,540104
6002198,284800,0,1972465,2842200,10066,363708,528959
5950602,286200,0,1917654,2841800,9922,378796,516230
5930298,295200,0,1894787,2843200,9984,380721,506406
5956374,295800,0,1924702,2844000,9884,375016,506972
5990049,297600,0,1924865,2842400,9872,370530,544782
6000181,301200,0,1915739,2845000,9886,369577,558779
6081686,357000,0,1931940,2843400,10742,373772,564832
6122081,392400,0,1950574,2843400,10966,373554,551187
6081214,399200,0,1938403,2843800,10897,373653,515261
6142331,421600,0,1954731,2845200,10996,374593,535211
6150982,464800,0,1937772,2843600,11053,354469,539288
6264638,506000,0,1983670,2845400,13469,378748,537351
6404546,517200,0,2102957,2843800,14168,378614,547807
6851915,546000,0,2233012,2845400,284745,381191,561567
6542942,579200,0,2038888,2843000,135392,379601,566861
