Day,Month,Year,Power exchange
9,10,2012,-305691
9,10,2012,-227004
9,10,2012,215496
9,10,2012,260432
9,10,2012,324010
9,10,2012,399273
9,10,2012,387223
9,10,2012,253304
9,10,2012,343386
9,10,2012,287967
9,10,2012,331732
9,10,2012,309193
9,10,2012,320862
9,10,2012,264621
9,10,2012,142950
9,10,2012,146951
9,10,2012,-4165
9,10,2012,76094
9,10,2012,-121116
9,10,2012,-150904
9,10,2012,-122263
9,10,2012,-169077
9,10,2012,-150997
9,10,2012,-286839
9,10,2012,-379438
9,10,2012,-394613
9,10,2012,-477150
9,10,2012,-531422
9,10,2012,-606584
9,10,2012,-611590
9,10,2012,-379666
9,10,2012,-437520
9,10,2012,-422243
9,10,2012,-732173
9,10,2012,-754759
9,10,2012,-730193
9,10,2012,-649218
9,10,2012,-665863
9,10,2012,-756636
9,10,2012,-734707
9,10,2012,-770740
9,10,2012,-843700
9,10,2012,-854895
9,10,2012,-916671
9,10,2012,-835691
9,10,2012,-874306
9,10,2012,-1106542
9,10,2012,-1123934
9,10,2012,-1106029
9,10,2012,-1081111
9,10,2012,-1181304
9,10,2012,-1082156
9,10,2012,-1014323
9,10,2012,-1086392
10,10,2012,-1050207
10,10,2012,-913197
10,10,2012,-769131
10,10,2012,-889800
10,10,2012,-1277929
10,10,2012,-1408669
10,10,2012,-1357878
10,10,2012,-1479134
10,10,2012,-1705252
10,10,2012,-1696267
10,10,2012,-1734010
10,10,2012,-1859073
10,10,2012,-1961872
10,10,2012,-2045019
10,10,2012,-2033952
10,10,2012,-1980392
10,10,2012,-1959838
10,10,2012,-1976693
10,10,2012,-2037761
10,10,2012,-1957282
10,10,2012,-1479895
10,10,2012,-1427251
10,10,2012,-1221263
10,10,2012,-1075776
10,10,2012,-651911
10,10,2012,-443196
10,10,2012,-569520
10,10,2012,-505098
10,10,2012,-504143
10,10,2012,-484426
10,10,2012,-478232
10,10,2012,-341376
10,10,2012,-251650
10,10,2012,-169495
10,10,2012,-159162
10,10,2012,-80464
10,10,2012,-206288
10,10,2012,-151696
10,10,2012,-84899
10,10,2012,-66280
10,10,2012,-159709
10,10,2012,-201760
10,10,2012,-146570
10,10,2012,-95220
10,10,2012,19138
10,10,2012,-13839
10,10,2012,58471
10,10,2012,138392
10,10,2012,169915
10,10,2012,192082
10,10,2012,211134
10,10,2012,197000
10,10,2012,147345
10,10,2012,49583
10,10,2012,32926
10,10,2012,9541
10,10,2012,114901
10,10,2012,69097
10,10,2012,54207
10,10,2012,14594
10,10,2012,-187455
10,10,2012,-180775
10,10,2012,-230321
10,10,2012,-290450
10,10,2012,-459771
10,10,2012,-570437
10,10,2012,-633030
10,10,2012,-648989
10,10,2012,-599179
10,10,2012,-777865
10,10,2012,-835319
10,10,2012,-804983
10,10,2012,-803843
10,10,2012,-871474
10,10,2012,-986392
10,10,2012,-782511
10,10,2012,-710068
10,10,2012,-870065
10,10,2012,-747468
10,10,2012,-629595
10,10,2012,-965960
10,10,2012,-957924
10,10,2012,-997048
10,10,2012,-1000809
10,10,2012,-1149699
10,10,2012,-1202481
10,10,2012,-1074547
10,10,2012,-1108456
10,10,2012,-1185062
10,10,2012,-1237704
10,10,2012,-1069692
10,10,2012,-1124852
10,10,2012,-1043256
10,10,2012,-1016851
10,10,2012,-1033007
10,10,2012,-1137916
11,10,2012,-1147410
11,10,2012,-1113331
11,10,2012,-1100065
11,10,2012,-1159280
11,10,2012,-1273025
11,10,2012,-1251026
11,10,2012,-1314968
11,10,2012,-1418118
11,10,2012,-1819477
11,10,2012,-2004971
11,10,2012,-2020476
11,10,2012,-2004338
11,10,2012,-2351504
11,10,2012,-2430739
11,10,2012,-2319750
11,10,2012,-2384054
11,10,2012,-2566369
11,10,2012,-2572489
11,10,2012,-2518378
11,10,2012,-2545084
11,10,2012,-2214025
11,10,2012,-2186170
11,10,2012,-1985363
11,10,2012,-1997356
11,10,2012,-1470932
11,10,2012,-1481486
11,10,2012,-1458396
11,10,2012,-1305842
11,10,2012,-1097477
11,10,2012,-1158707
11,10,2012,-1182325
11,10,2012,-1066368
11,10,2012,-697087
11,10,2012,-567064
11,10,2012,-594329
11,10,2012,-554052
11,10,2012,-646501
11,10,2012,-588065
11,10,2012,-591722
11,10,2012,-585117
11,10,2012,-679708
11,10,2012,-562019
11,10,2012,-528332
11,10,2012,-476910
11,10,2012,-356627
11,10,2012,-180000
11,10,2012,-158480
11,10,2012,-191964
11,10,2012,-29132
11,10,2012,29717
11,10,2012,-57670
11,10,2012,-70035
11,10,2012,-55758
11,10,2012,-27972
11,10,2012,-214918
11,10,2012,-245813
11,10,2012,-243789
11,10,2012,-201838
11,10,2012,-284462
11,10,2012,-242075
11,10,2012,-354290
11,10,2012,-356837
11,10,2012,-446803
11,10,2012,-380755
11,10,2012,-497510
11,10,2012,-596581
11,10,2012,-654298
11,10,2012,-841808
11,10,2012,-618963
11,10,2012,-705675
11,10,2012,-665761
11,10,2012,-723167
11,10,2012,-704517
11,10,2012,-820106
11,10,2012,-811207
11,10,2012,-774380
11,10,2012,-608781
11,10,2012,-511414
11,10,2012,-409088
11,10,2012,-292489
11,10,2012,-621565
11,10,2012,-543624
11,10,2012,-612476
11,10,2012,-605814
11,10,2012,-925186
11,10,2012,-1061126
11,10,2012,-1086076
11,10,2012,-1161084
11,10,2012,-1148494
11,10,2012,-1074291
11,10,2012,-829501
11,10,2012,-873140
11,10,2012,-909457
11,10,2012,-848902
11,10,2012,-733465
11,10,2012,-922208
12,10,2012,-1129895
12,10,2012,-798585
12,10,2012,-890463
12,10,2012,-982459
12,10,2012,-1422941
12,10,2012,-1506744
12,10,2012,-1477102
12,10,2012,-1610391
12,10,2012,-1832244
12,10,2012,-1871232
12,10,2012,-1869596
12,10,2012,-1869043
12,10,2012,-2309364
12,10,2012,-2438921
12,10,2012,-2311690
12,10,2012,-2310030
12,10,2012,-2274110
12,10,2012,-2356059
12,10,2012,-2353636
12,10,2012,-2250660
12,10,2012,-1929960
12,10,2012,-1927712
12,10,2012,-1946151
12,10,2012,-1873545
12,10,2012,-1126330
12,10,2012,-1351925
12,10,2012,-1335126
12,10,2012,-1305783
12,10,2012,-1318034
12,10,2012,-1173228
12,10,2012,-1228832
12,10,2012,-1102824
12,10,2012,-1060692
12,10,2012,-1121974
12,10,2012,-1161670
12,10,2012,-1120532
12,10,2012,-1167367
12,10,2012,-1096871
12,10,2012,-1117902
12,10,2012,-1092603
12,10,2012,-1105240
12,10,2012,-1112012
12,10,2012,-1097959
12,10,2012,-1002205
12,10,2012,-1065668
12,10,2012,-1015038
12,10,2012,-1004882
12,10,2012,-979920
12,10,2012,-989832
12,10,2012,-850855
12,10,2012,-976298
12,10,2012,-1085817
12,10,2012,-1118227
12,10,2012,-1008487
12,10,2012,-879230
12,10,2012,-1041682
12,10,2012,-1255972
12,10,2012,-1215042
12,10,2012,-1155427
12,10,2012,-1255775
12,10,2012,-1369564
12,10,2012,-1332930
12,10,2012,-1315402
12,10,2012,-1277344
12,10,2012,-1154207
12,10,2012,-1203104
12,10,2012,-1213002
12,10,2012,-1228045
12,10,2012,-1393444
12,10,2012,-1453358
12,10,2012,-1456860
12,10,2012,-1470210
12,10,2012,-1211174
12,10,2012,-1071594
12,10,2012,-1070740
12,10,2012,-970235
12,10,2012,-782395
12,10,2012,-702201
12,10,2012,-630382
12,10,2012,-584980
12,10,2012,-505516
12,10,2012,-392756
12,10,2012,-406201
12,10,2012,-400228
12,10,2012,-379716
12,10,2012,-569693
12,10,2012,-580675
12,10,2012,-600649
12,10,2012,-884812
12,10,2012,-948627
12,10,2012,-767419
12,10,2012,-763043
12,10,2012,-903902
12,10,2012,-682214
12,10,2012,-713681
12,10,2012,-697097
13,10,2012,-772149
13,10,2012,-677189
13,10,2012,-721552
13,10,2012,-667338
13,10,2012,-727178
13,10,2012,-656087
13,10,2012,-652661
13,10,2012,-727964
13,10,2012,-1108842
13,10,2012,-1214316
13,10,2012,-1243067
13,10,2012,-1155273
13,10,2012,-1449256
13,10,2012,-1579567
13,10,2012,-1545311
13,10,2012,-1553118
13,10,2012,-1422159
13,10,2012,-1352703
13,10,2012,-1314432
13,10,2012,-1398556
13,10,2012,-1436377
13,10,2012,-1575966
13,10,2012,-1664021
13,10,2012,-1611219
13,10,2012,-1423882
13,10,2012,-1470827
13,10,2012,-1467116
13,10,2012,-1367490
13,10,2012,-851217
13,10,2012,-848553
13,10,2012,-856683
13,10,2012,-788575
13,10,2012,-777737
13,10,2012,-864101
13,10,2012,-929548
13,10,2012,-887852
13,10,2012,-1097359
13,10,2012,-1248438
13,10,2012,-1305399
13,10,2012,-1266330
13,10,2012,-1266737
13,10,2012,-1282544
13,10,2012,-1278302
13,10,2012,-1289108
13,10,2012,-1332229
13,10,2012,-1389440
13,10,2012,-1420414
13,10,2012,-1331451
13,10,2012,-1067734
13,10,2012,-1014388
13,10,2012,-962164
13,10,2012,-1001727
13,10,2012,-1366602
13,10,2012,-1405877
13,10,2012,-1493709
13,10,2012,-1447948
13,10,2012,-1491508
13,10,2012,-1483147
13,10,2012,-1589790
13,10,2012,-1441105
13,10,2012,-1429689
13,10,2012,-1451808
13,10,2012,-1511941
13,10,2012,-1525051
13,10,2012,-1710859
13,10,2012,-1769536
13,10,2012,-1789989
13,10,2012,-1803121
13,10,2012,-1595304
13,10,2012,-1526410
