,IT_P2HT_OTH,IT_STUR_BIO_CHP,IT_COMC_GAS_CHP,IT_ICEN_GAS_CHP
2016-03-14 18:00:00,39494.76055822864,11862.255220357874,999.2621908436213,805.9004285368721
2016-03-14 19:00:00,38169.611697260174,11464.24662955761,965.7344232286487,778.8604358939207
2016-03-14 20:00:00,34705.42590901297,10423.778087145767,878.0865977620372,708.1728618506822
2016-03-14 21:00:00,26383.447596813712,7924.271082107775,667.5311174182337,538.3608211323187
2016-03-14 22:00:00,19779.435950617866,5940.755534269638,500.442140230865,403.6043182315088
2016-03-14 23:00:00,15300.878320046704,4595.6203091910875,387.129557840451,312.21823403476856
2016-03-15 00:00:00,16054.458258613027,4821.958117899561,406.1959841143203,327.5952204208997
2016-03-15 01:00:00,16640.696725601534,4998.034899151503,421.0284815544824,339.55756238963465
2016-03-15 02:00:00,18710.189145211574,5619.607151040887,473.3889845661392,381.78607078528955
2016-03-15 03:00:00,23597.320758336355,7087.457611987334,597.0389516414483,481.5092088842436
2016-03-15 04:00:00,32904.33182368683,9882.819301371728,832.5168767109365,671.4210883322794
2016-03-15 05:00:00,39643.62926995696,11906.9679525757,1003.0287379229583,808.9381316874129
2016-03-15 06:00:00,38777.58282289516,11646.85081697274,981.1167815563053,791.2662381766033
2016-03-15 07:00:00,37041.14339704226,11125.31106453418,937.1828966455007,755.8337590921946
2016-03-15 08:00:00,34185.4720508962,10267.609894691543,864.931176028733,697.5630738394872
2016-03-15 09:00:00,31672.09007843202,9512.715371919085,801.3397643900026,646.2768885314537
2016-03-15 10:00:00,29510.777176040647,8863.564828990238,746.6560991286818,602.1747603093703
2016-03-15 11:00:00,28446.420218829815,8543.885112148206,719.7266621636423,580.4562914337894
2016-03-15 12:00:00,28580.0760695056,8584.0286600518,723.1083066217332,583.1835723645669
2016-03-15 13:00:00,28558.886727325294,8577.664439042694,722.572192256426,582.751198558468
2016-03-15 14:00:00,29537.39968288257,8871.56090154014,747.3296787158624,602.7179991939561
2016-03-15 15:00:00,30761.49168114496,9239.217053681592,778.3005932039862,627.6959013770517
2016-03-15 16:00:00,31972.000767753296,9602.793576971051,808.9278446374258,652.3966408639299
2016-03-15 17:00:00,33259.11747609044,9989.379206985739,841.493355699283,678.660577957473
2016-03-15 18:00:00,34221.87425412903,10278.543300014877,865.852193015286,698.3058698653492
2016-03-15 19:00:00,33153.71408165506,9957.72128709429,838.8265303949352,676.5097954348275
2016-03-15 20:00:00,30233.931392501916,9080.76426907025,764.9527201600588,616.9309022559748
2016-03-15 21:00:00,22890.466035859943,6875.15372652971,579.1547262756922,467.0856621730997
2016-03-15 22:00:00,17004.718757929895,5107.368952384867,430.238651420014,346.985522648256
2016-03-15 23:00:00,13982.79257313834,4199.733125393856,353.780495013914,285.3223659938499
2016-03-16 00:00:00,14672.26116869758,4406.815085920934,371.2248316696748,299.3911444538359
2016-03-16 01:00:00,15196.018242077489,4564.125574453715,384.4764790582904,310.07853801997163
2016-03-16 02:00:00,17131.31149454558,5145.391093285425,433.44159108966903,349.56867897700045
2016-03-16 03:00:00,21629.428517898566,6496.400983910844,547.249048278828,441.35387745629345
2016-03-16 04:00:00,30213.28536678777,9074.563233215225,764.4303523169392,616.5096149577247
2016-03-16 05:00:00,36370.14756133252,10923.777399245811,920.2059417441102,742.1419218990641
2016-03-16 06:00:00,35540.50331750355,10674.593668966187,899.2150023640105,725.2128244141165
2016-03-16 07:00:00,33939.89300819109,10193.85020504754,858.7177480000458,692.5519722918799
2016-03-16 08:00:00,31354.79326219357,9417.41524193657,793.311795432584,639.8023679478196
2016-03-16 09:00:00,29018.532457698115,8715.719079394075,734.2017500269329,592.1303841984584
2016-03-16 10:00:00,27018.584545756785,8115.034527226887,683.6008018552585,551.3209488074358
2016-03-16 11:00:00,26059.08766651516,7826.849545122226,659.3244436723796,531.7421759466517
2016-03-16 12:00:00,26158.51457982276,7856.712428318801,661.8400572326666,533.7710068829617
2016-03-16 13:00:00,26140.58513643942,7851.327318234172,661.3864220004835,533.4051521239548
2016-03-16 14:00:00,27003.91500117042,8110.628528066735,683.2296457561997,551.021613095521
2016-03-16 15:00:00,28127.49345319288,8448.09542670345,711.6574536396615,573.9485113266092
2016-03-16 16:00:00,29213.03975258402,8774.13936455459,739.1230049700081,596.099354008289
2016-03-16 17:00:00,30408.879294605988,9133.309888683898,769.379100304389,620.5007577832527
2016-03-16 18:00:00,31316.76110956225,9405.992281150993,792.3495388794687,639.0263123984113
2016-03-16 19:00:00,30352.37438212517,9116.338632659616,767.9494619969034,619.347760966989
2016-03-16 20:00:00,27683.603900338745,8314.773155820378,700.4265450125879,564.8908344142305
2016-03-16 21:00:00,20982.8819231661,6302.210650556061,530.8906868758688,428.16093311635404
2016-03-16 22:00:00,15574.709818992214,4677.8656268472305,394.0578050228808,317.8058339905076
2016-03-16 23:00:00,14417.445746067728,4330.281248657578,364.7777127638026,294.1915722728009
2016-03-17 00:00:00,15131.906899070405,4544.869726272316,382.8543894401818,308.7703300938264
2016-03-17 01:00:00,15684.459745156886,4710.82902797132,396.8346025047277,320.0453085759427
2016-03-17 02:00:00,17674.08464424115,5308.413062210996,447.1743667548424,360.6441003178404
2016-03-17 03:00:00,22362.9057472169,6716.7009419183705,565.8068532317649,456.32066305202306
2016-03-17 04:00:00,31212.987664525353,9374.823916721782,789.7239531416828,636.9087893993118
2016-03-17 05:00:00,37605.649205384296,11294.860439622935,951.4655331981684,767.3526407469819
2016-03-17 06:00:00,36783.6113920816,11047.961301500425,930.6670451286916,750.578754371916
2016-03-17 07:00:00,35113.456575100434,10546.330137859582,888.4102359247449,716.4988292450473
2016-03-17 08:00:00,32386.5512314347,9727.303849533822,819.4164410663818,660.8556463524792
2016-03-17 09:00:00,29963.903108819533,8999.661247492668,758.1206986329407,611.4209078551768
2016-03-17 10:00:00,27893.324056277168,8377.76262529512,705.732702576909,569.1702264438243
2016-03-17 11:00:00,26880.582163351704,8073.585498090655,680.1091852196688,548.5049758138688
2016-03-17 12:00:00,27005.5449505689,8111.118083528974,683.2708853227617,551.0548726190672
2016-03-17 13:00:00,26976.205861396167,8102.306085208673,682.5285731246443,550.4562011952379
2016-03-17 14:00:00,27896.583955074137,8378.741736219601,705.8151817100334,569.2367454909165
2016-03-17 15:00:00,29059.82450912641,8728.12115110413,735.2464857131724,592.9729587949588
2016-03-17 16:00:00,30207.852202126152,9072.931381674429,764.2928870950657,616.3987498792379
2016-03-17 17:00:00,31460.19665662894,9449.07316182802,795.9786207369318,641.9531504704651
2016-03-17 18:00:00,32411.00047241198,9734.647181467408,820.0350345648131,661.3545392056702
2016-03-17 19:00:00,31410.211541742065,9434.060127652692,794.7139406956946,640.9331917483858
2016-03-17 20:00:00,28647.99062777582,8604.426804311755,724.8266218951532,584.5693858456528
2016-03-17 21:00:00,21680.500265717765,6511.740388394331,548.5412213644399,442.39600919407013
2016-03-17 22:00:00,16059.891423274643,4823.589969440358,406.3334493361939,327.7060854993866
2016-03-17 23:00:00,13777.96226539537,4138.21232230583,348.5980561492791,281.1427525348944
2016-03-18 00:00:00,14583.157268247054,4380.05272065187,368.9704020309476,297.5729571666509
2016-03-18 01:00:00,14994.991149597648,4503.747067444245,379.390265848967,305.97653011595685
2016-03-18 02:00:00,16935.174250261196,5086.481252662673,428.4790965800319,345.56644964362386
2016-03-18 03:00:00,21816.329382258198,6552.536676914243,551.9778519112801,445.1676361562423
