,HE Piva,HE Perucica,HE Pljevlja,HDAM
2010-01-11 13:00:00+00:00,1.217599419,1.863964478,9.199625992,4.093729963
2010-01-11 14:00:00+00:00,1.212943789,1.842139445,9.187672713,4.080918649
2010-01-11 15:00:00+00:00,1.208288159,1.820314413,9.175719434,4.068107335
2010-01-11 16:00:00+00:00,1.203632529,1.79848938,9.163766155,4.055296021
2010-01-11 17:00:00+00:00,1.198976899,1.776664347,9.151812876,4.042484707
2010-01-11 18:00:00+00:00,1.194321269,1.754839315,9.139859598,4.029673394
2010-01-11 19:00:00+00:00,1.189665639,1.733014282,9.127906319,4.01686208
2010-01-11 20:00:00+00:00,1.185010009,1.711189249,9.11595304,4.004050766
2010-01-11 21:00:00+00:00,1.180354379,1.689364217,9.103999761,3.991239452
2010-01-11 22:00:00+00:00,1.175698749,1.667539184,9.092046482,3.978428138
2010-01-11 23:00:00+00:00,1.171043118,1.645714151,9.080093204,3.965616824
2010-01-12 00:00:00+00:00,1.166387488,1.633370526,9.068139925,3.95596598
2010-01-12 01:00:00+00:00,1.160564538,1.6210269,9.034197623,3.938596354
2010-01-12 02:00:00+00:00,1.154741587,1.608683274,9.00025532,3.921226727
2010-01-12 03:00:00+00:00,1.148918637,1.596339648,8.966313018,3.903857101
2010-01-12 04:00:00+00:00,1.143095686,1.583996023,8.932370716,3.886487475
2010-01-12 05:00:00+00:00,1.137272736,1.571652397,8.898428414,3.869117849
2010-01-12 06:00:00+00:00,1.131449785,1.559308771,8.864486111,3.851748222
2010-01-12 07:00:00+00:00,1.125626835,1.546965146,8.830543809,3.834378597
2010-01-12 08:00:00+00:00,1.119803884,1.53462152,8.796601507,3.81700897
2010-01-12 09:00:00+00:00,1.113980934,1.522277894,8.762659204,3.799639344
2010-01-12 10:00:00+00:00,1.108157983,1.509934268,8.728716902,3.782269718
2010-01-12 11:00:00+00:00,1.102335032,1.497590643,8.6947746,3.764900092
