Total,Coal,Fuel,Gas,Nuclear,Water,Wind,Other,,
6709525,495200,0,2559620,2834600,7243,260007,552855,-1467308,-1604169
6677085,492000,0,2529210,2835000,9072,255368,556435,-1564903,-1410160
6729796,544200,0,2520425,2833600,9074,260015,562482,-1640566,-1378478
6790002,611400,0,2503451,2832000,9702,270239,563210,-1558899,-1348934
6818795,612000,0,2573970,2831200,11002,283600,507023,-1636501,-1375610
6844699,606600,0,2590919,2833800,10981,300247,502152,-1461429,-1405547
6923699,605400,0,2674517,2833800,11256,301265,497461,-1446787,-1467277
6962029,612800,0,2691567,2834200,10956,308210,504296,-1513637,-1453071
7063397,613600,0,2787464,2835400,11146,307130,508657,-1506627,-1434135
7013209,613000,0,2743041,2837800,11186,302228,505954,-1448127,-1356660
7110233,611200,0,2821933,2838400,16206,299859,522635,-1509473,-1274316
7191495,613200,0,2846890,2837400,74770,302627,516608,-1444945,-1315368
7252211,610400,0,2877430,2839800,115164,305687,503730,-1475686,-1174793
7720130,604000,0,2937372,2839400,495940,308302,535116,-1211499,-1124244
7912081,609000,0,2995869,2839800,612790,302122,552500,-1225306,-1024286
7975181,610600,0,3027554,2839400,639834,290747,567046,-1246642,-1161326
8049475,608400,0,3063881,2839600,671387,299640,566567,-1095605,-1264400
7504423,610400,0,3007848,2839000,183230,310377,553568,-1492845,-1334900
7452751,612800,0,3007303,2838000,105973,319441,569234,-1408534,-1358447
7335569,611600,0,2877438,2840000,122063,300448,584020,-1225554,-1462678
7056911,606400,0,2625141,2840000,126963,298272,560135,-1210058,-1465201
7001418,613000,0,2647839,2837200,13560,330364,559455,-1135562,-1565550
6953896,597400,0,2605381,2840600,10298,336243,563974,-983082,-1580702
6829339,593600,0,2491302,2839000,10305,343971,551161,-970074,-1607563
6800208,593800,0,2446382,2839200,10354,356082,554390,-850564,-1483331
6683813,555400,0,2363384,2840200,10573,360687,553569,-1026187,-1545232
6616378,535400,0,2328308,2838800,10552,349684,553634,-1012141,-1652573
6745333,566400,0,2413038,2837800,10557,355232,562306,-972546,-1667643
6691443,592000,0,2302818,2839200,10554,359780,587091,-941523,-1532992
6743202,594600,0,2234604,2837400,111921,376600,588077,-795860,-1647440
6542530,595800,0,2123312,2838800,68998,364399,551221,-902345,-1601297
6440563,592800,0,2129885,2839800,10453,330357,537268,-697742,-1586987
6325728,584200,0,2040444,2842000,10203,307641,541240,-715285,-1459017
6265836,496600,0,2030790,2846000,10340,340841,541265,-1058165,-1289643
6268496,483600,0,2025749,2844400,10475,365919,538353,-990388,-1173942
6157580,480000,0,1943316,2844600,9773,341358,538533,-834077,-1298837
6077389,461400,0,1866962,2844600,9399,349647,545381,-857459,-1205527
6001801,346200,0,1895815,2843000,9413,367226,540147,-866685,-1041990
5983792,321400,0,1904375,2844600,9347,367020,537050,-969777,-1038900
5948782,318600,0,1892596,2844000,9334,368609,515643,-936940,-937703
5875395,315400,0,1800450,2846000,9226,370183,534136,-955129,-940972
5959521,284600,0,1924026,2844000,9188,366687,531020,-1504144,-885998
5950144,278000,0,1914006,2843200,9213,359712,546013,-1520150,-752620
5923378,276000,0,1874423,2845600,9632,361775,555948,-1517439,-736071
5850003,274400,0,1835463,2843600,10186,365044,521310,-1566025,-799716
5989256,275200,0,1961899,2844200,10251,369570,528136,-1912625,-401810
6045903,274200,0,2018786,2842600,10218,359995,540104,-1999081,-257853
6002198,284800,0,1972465,2842200,10066,363708,528959,-2030305,-243069
5950602,286200,0,1917654,2841800,9922,378796,516230,-1933058,-211472
5930298,295200,0,1894787,2843200,9984,380721,506406,-1989014,-224754
5956374,295800,0,1924702,2844000,9884,375016,506972,-2003240,-141229
5990049,297600,0,1924865,2842400,9872,370530,544782,-2008516,-165896
6000181,301200,0,1915739,2845000,9886,369577,558779,-1905366,-239176
6081686,357000,0,1931940,2843400,10742,373772,564832,-1600200,-735445
6122081,392400,0,1950574,2843400,10966,373554,551187,-1364023,-927780
6081214,399200,0,1938403,2843800,10897,373653,515261,-1350720,-897735
6142331,421600,0,1954731,2845200,10996,374593,535211,-1308282,-960199
6150982,464800,0,1937772,2843600,11053,354469,539288,-788135,-1342238
6264638,506000,0,1983670,2845400,13469,378748,537351,-707293,-1447936
6404546,517200,0,2102957,2843800,14168,378614,547807,-929086,-1451458
6851915,546000,0,2233012,2845400,284745,381191,561567,-555535,-1409929
6542942,579200,0,2038888,2843000,135392,379601,566861,-659961,-1821920
6445090,551400,0,2088645,2845400,16030,377127,566488,-814729,-2085578
6586708,550000,0,2234319,2843000,41258,376075,542056,-822199,-2136705
6813989,590600,0,2321559,2844000,171820,364397,521613,-691019,-2074276
7132973,602600,0,2503753,2844600,308553,356198,517269,-550685,-1721051
7162753,599600,0,2528597,2845600,287347,377097,524512,-483814,-1710540
7285815,603600,0,2628543,2842200,332455,374866,504151,-550070,-1675889
7353514,614600,0,2673420,2844600,375372,346344,499178,-625988,-1688759
7209751,620800,0,2581746,2844200,314251,353073,495681,-699064,-1774543
7221382,607800,0,2575686,2844800,319678,367560,505858,-803334,-1796310
7171750,567400,0,2574437,2845200,325876,338215,520622,-753357,-1823062
7149165,561800,0,2616248,2844200,297792,296089,533036,-780436,-1812660
7242875,602400,0,2633770,2845000,335877,296345,529483,-1058399,-1492360
7305136,614400,0,2642068,2849800,338145,334869,525854,-1071840,-1495607
7337429,614400,0,2639726,2849200,371612,341047,521444,-1123599,-1438734
7430141,620000,0,2670849,2851800,430582,345059,511851,-1065442,-1489943
7374036,618800,0,2590843,2847800,462814,341959,511820,-977159,-1466347
7355483,613800,0,2570285,2848000,436705,358401,528292,-1085547,-1465238
7480138,611800,0,2597154,2841600,519767,369436,540381,-1102549,-1406936
7398482,617400,0,2543248,2840000,508177,361327,528330,-1077937,-1408220
7366672,619600,0,2602666,2841200,446553,353142,503511,-974591,-1280647
7298521,619200,0,2574061,2843000,407899,341206,513155,-898216,-1255644
7242559,619000,0,2540678,2840600,380959,338752,522570,-929736,-1355459
7214196,623600,0,2518258,2842600,354234,349767,525737,-1047843,-1345989
6955318,619800,0,2556363,2840800,57747,306821,573787,-1363088,-1268687
6964645,618000,0,2616044,2841400,48667,254973,585561,-1495134,-1221460
6961247,619200,0,2659303,2840800,42942,212788,586214,-1509165,-1139024
6880779,618600,0,2601850,2841400,14226,218660,586043,-1523201,-1109772
6955942,615000,0,2667260,2839000,13578,234158,586946,-1610680,-999117
6924456,615800,0,2657612,2839400,13968,230135,567541,-1704698,-862626
6902582,611000,0,2646413,2840000,14329,264962,525878,-1639294,-932542
6920337,609200,0,2619079,2840800,15844,294253,541161,-1560996,-921975
6908313,613600,0,2659866,2839400,13994,240237,541216,-1308092,-1251245
6947259,619400,0,2656673,2841400,15453,253466,560867,-1236020,-1211321
6984067,619400,0,2694535,2842400,15053,273779,538900,-1350760,-1227028
7014547,617800,0,2717787,2841800,14790,284762,537608,-1378069,-1257367
6770739,612800,0,2450640,2842800,14978,306141,543380,-1503955,-1333285
6753110,616400,0,2406778,2843600,15571,321939,548822,-1540412,-1391404
6969348,617600,0,2616397,2842600,15134,332307,545310,-1417085,-1297936
6963895,618400,0,2577151,2844600,23787,351761,548196,-1400611,-1288376
7239747,617400,0,2713409,2842800,153323,359779,553036,-1210363,-1322336
7362813,620000,0,2772594,2843600,179303,362053,585263,-1143760,-1311825
7515786,620800,0,2815690,2844400,335606,342532,556758,-1159271,-1284291
7582152,620600,0,2790235,2843600,412780,341745,573192,-1147458,-1258826
7613932,621200,0,2759931,2848400,513972,334792,535637,-756625,-1647305
7641754,620600,0,2796548,2846000,508223,329936,540447,-725561,-1673395
7669646,624000,0,2821955,2850000,494591,318999,560101,-770342,-1691947
7763861,622400,0,2838956,2852600,534790,318486,596629,-738673,-1633634
8158754,622600,0,2837449,2851600,934954,306813,605338,-521403,-1483707
8323328,621400,0,2863574,2852200,1104547,286550,595057,-505579,-1517030
8303098,619200,0,2866931,2851600,1090770,275544,599053,-499476,-1653861
8316671,619600,0,2864036,2851200,1074016,304559,603260,-383612,-1715156
8045331,617600,0,2889275,2851200,761277,324198,601781,-555925,-1645268
7910192,616400,0,2889641,2852200,626520,328790,596641,-551549,-1640969
7817404,618800,0,2857167,2851200,581132,316904,592201,-569686,-1575145
7575899,622000,0,2799906,2849800,407205,304845,592143,-657139,-1525195
7254173,620000,0,2584599,2850800,301882,300108,596784,-970646,-1261033
7074487,619400,0,2492167,2849800,192117,325965,595038,-1120516,-1195862
6910171,619200,0,2412211,2848800,86787,343803,599370,-1126803,-1139118
6808098,616000,0,2390832,2849800,36898,315135,599433,-1081737,-1158305
6890021,620000,0,2495003,2849400,12683,315966,596969,-870261,-1478879
7021390,616400,0,2614620,2850000,12712,326284,601374,-856889,-1579550
7058518,614800,0,2689142,2849400,13093,294662,597421,-711461,-1734728
6950876,612000,0,2589629,2849600,13286,281757,604604,-689041,-1686826
6865677,612800,0,2492651,2849200,13703,302068,595255,-888598,-1562379
6818527,612200,0,2395487,2850800,14052,350603,595385,-726388,-1572139
6645362,613200,0,2234192,2849200,14129,345891,588750,-726075,-1516608
6589095,612000,0,2247225,2850800,14717,315659,548694,-924579,-1514915
6316940,586800,0,2043105,2847800,15151,277865,546219,-849833,-1389080
6247090,581000,0,2002023,2849800,15610,256512,542145,-752752,-1466559
6147596,581600,0,1920133,2850200,15762,235023,544878,-741669,-1431487
6151310,572800,0,1917431,2849800,16015,252173,543091,-744886,-1321650
6102260,500400,0,1926877,2849200,16023,245191,564569,-1024376,-1067816
6062264,467000,0,1958673,2849800,15923,227713,543155,-1099629,-1086992
6157331,464600,0,2084673,2848200,15997,201939,541922,-1021160,-1016144
6029497,463600,0,1939465,2850800,15968,216021,543643,-1083368,-924776
5969134,428600,0,1922472,2848200,15893,215697,538272,-1560030,-914183
5967732,410200,0,1936908,2850200,16014,211592,542818,-1833381,-881673
5951227,417600,0,1893364,2848400,15830,211121,564912,-1754521,-916385
5905454,412400,0,1888637,2849000,15956,196521,542940,-1858363,-884074
5925828,419200,0,1932511,2848400,16021,173607,536089,-2139326,-555187
5951296,418600,0,1944852,2849800,15949,165945,556150,-2256426,-442852
5931927,420200,0,1933109,2849800,15908,160591,552319,-2294876,-405114
5934379,420600,0,1961495,2849800,15768,160511,526205,-2313664,-411698
5930806,443000,0,1936343,2849800,15773,155281,530609,-2293560,-472987
5976147,447800,0,1953434,2849200,16516,146117,563080,-2362040,-404958
5928648,445000,0,1933856,2848800,16697,144194,540101,-2321449,-420180
6020798,462800,0,2017308,2850200,16788,143838,529864,-2303684,-486404
5988604,516800,0,1924928,2850600,16669,152652,526955,-1893140,-1117937
6008647,534200,0,1926993,2849600,16675,147710,533469,-1928643,-1176414
6125465,534400,0,2042616,2851200,17033,143870,536346,-1878434,-1247590
6313970,569600,0,2177109,2851000,17262,161274,537725,-1832406,-1199444
6400324,615600,0,2224995,2853000,20797,166670,519262,-1588238,-1337199
6423680,614600,0,2255235,2852000,23183,157512,521150,-1539707,-1469433
6558392,608800,0,2408040,2852400,24170,127759,537223,-1634462,-1418373
6697995,613600,0,2547473,2853000,24955,100707,558260,-1493558,-1638079
6911934,607200,0,2753846,2851400,25028,100884,573576,-1347976,-1645878
7052886,612600,0,2887557,2849000,25073,110995,567661,-1320100,-1683985
7172217,610800,0,2992973,2847600,50943,108450,561451,-1416588,-1766018
7373332,607200,0,2979274,2849600,275008,106342,555908,-1270462,-1763041
7378566,602600,0,2885454,2849600,367203,141771,531938,-1140912,-1708918
7303152,605800,0,2905032,2851200,314808,94247,532065,-1209262,-1789135
7366181,606600,0,2951249,2851200,305788,87872,563472,-1233309,-1816652
7493801,606800,0,3012525,2849400,311355,155834,557887,-1204693,-1810737
7529999,604600,0,2930447,2849200,428507,170810,546435,-1108442,-1862953
7555802,607400,0,2950596,2849400,444996,144181,559229,-1169298,-1820696
7651662,611400,0,3033040,2849800,481173,143938,532311,-1202389,-1833407
7695153,607400,0,3048032,2850400,485551,153410,550360,-1222034,-1771962
7624661,602400,0,3009671,2853400,437255,160712,561223,-1299893,-1654365
7536546,604400,0,2930128,2860000,434035,165367,542616,-1202771,-1670903
7594759,609200,0,2942135,2862000,441304,193398,546722,-1289423,-1654249
7578616,611800,0,2920017,2863000,438366,193872,551561,-1298369,-1649637
7627847,615400,0,2914435,2862000,489775,199373,546864,-1215708,-1611270
7545434,618400,0,2797810,2863600,499468,215064,551092,-1183406,-1564761
7510666,614200,2197,2819543,2861600,444197,210527,558402,-1248598,-1575802
7384048,617400,21437,2746435,2863200,378924,213673,542979,-1125110,-1625433
7017382,619400,21371,2739820,2863600,57892,211880,503419,-1062735,-1833874
7005908,622200,20647,2706307,2864200,46707,211487,534360,-770505,-1776640
6701845,572600,21452,2433673,2862600,44472,221810,545238,-975927,-1778966
6488187,513800,7435,2285026,2863600,40704,229534,548088,-1044945,-1806905
6491545,510400,0,2234554,2861800,110359,223147,551285,-1052824,-1774187
6468239,516200,0,2168882,2863600,129746,242868,546943,-973946,-1755092
6460531,522800,0,2129812,2861600,166998,257622,521699,-907718,-1783973
6393845,508800,0,2084651,2863600,155742,250046,531006,-878641,-1896479
6337160,511200,0,2136064,2862000,41641,231546,554709,-781880,-1955235
6367633,512600,0,2167141,2861000,30665,240529,555698,-834646,-2036670
6381588,501000,0,2205601,2862600,26698,258210,527479,-740283,-2104812
6382989,485000,0,2203701,2859800,26201,269521,538766,-688792,-2137690
6409118,479800,0,2221048,2860600,23787,281394,542489,-642350,-2067644
6421498,479000,0,2219580,2862600,21069,286194,553055,-635268,-2069325
6406158,479400,0,2219439,2860000,17115,278454,551750,-546034,-2170511
6372289,477600,0,2189237,2862000,17320,278911,547221,-555994,-2166959
6323541,476800,0,2182897,2861400,17493,234554,550397,-790235,-2047704
6422748,479600,0,2290036,2861400,17859,219560,554293,-915381,-2080786
6473852,481000,0,2322945,2861800,21170,219604,567333,-794447,-2038175
6590952,481200,0,2435903,2860800,28081,219223,565745,-869078,-2042688
6495156,480800,0,2342062,2861800,29013,207301,574180,-869690,-2030085
6432535,485200,0,2294957,2862400,30606,189625,569747,-916851,-2063534
6643993,507600,0,2474837,2860400,96570,162147,542439,-978333,-2092702
6821158,518400,0,2534639,2862200,203271,162666,539982,-1011895,-2045727
6949137,534000,0,2674740,2862000,133200,169306,575891,-746536,-2263677
7020431,578000,0,2658473,2864000,154497,181488,583973,-749452,-2239524
7064477,612600,0,2647794,2863400,159811,192930,587942,-731343,-2186160
7146445,616000,0,2707584,2864400,171057,202198,585206,-752279,-2124923
7212807,613800,0,2534111,2863400,420484,219524,561488,-741346,-2048701
7455307,612000,0,2654991,2864400,528369,246313,549234,-838706,-2042579
7627302,611200,0,2646441,2863400,671120,272893,562248,-819274,-2130372
7735987,613600,0,2656945,2866000,730271,293551,575620,-684674,-2224941
7348033,612600,0,2583904,2867000,412495,303507,568527,-836614,-2299307
7114030,609400,0,2505667,2867000,291600,313494,526869,-780071,-2363552
7016682,611400,0,2393981,2865600,282403,328020,535278,-812430,-2369321
6849185,611400,0,2326901,2867400,178072,330395,535017,-837285,-2253597
6847691,600200,0,2309126,2865200,185798,343476,543891,-816989,-2082370
6749814,601400,0,2266424,2866600,102948,347771,564671,-826193,-2145821
6639537,602000,0,2208550,2865200,41444,358762,563581,-624925,-2119338
6490393,585000,0,2078455,2866200,38940,364525,557273,-613162,-2127361
6439479,534000,0,2083919,2865200,37612,352839,565909,-1000281,-2102493
6438414,492400,0,2171312,2863800,35726,338155,537021,-976960,-2186175
6479564,525000,0,2210870,2866600,35924,308592,532578,-828234,-2334909
6440148,570800,0,2134691,2867400,34024,291422,541811,-798095,-2172566
6605305,569600,0,2078742,2872600,221716,302038,560609,-1005149,-1979183
6565110,568400,0,2056267,2867000,222305,301012,550126,-934979,-1893352
6348166,572400,0,1939632,2867400,131195,302568,534971,-936811,-1916444
6247130,569200,0,1919548,2867200,60466,309031,521685,-885713,-1794762
6234961,564600,0,1858771,2867000,122338,307166,515086,-897285,-1655075
6060452,561600,0,1748492,2868000,83142,284018,515200,-809284,-1551325
6046153,523600,0,1851704,2866600,54376,230797,519076,-1024195,-1569056
6050930,499000,0,1877537,2866200,55824,224167,528202,-929058,-1604982
6090416,504400,0,1932418,2865600,56157,214063,517778,-1136438,-1368057
6118572,530200,0,1920194,2869600,56463,226597,515518,-1028715,-1349273
6036796,531200,0,1812073,2866400,56483,232576,538064,-989369,-1287347
