year,month,day,hour,min,Vertical load [kW]
2012,10,9,9,0,10450000
2012,10,9,9,15,10433000
2012,10,9,9,30,10433000
2012,10,9,9,45,10495000
2012,10,9,10,0,10495000
2012,10,9,10,15,10375000
2012,10,9,10,30,10375000
2012,10,9,10,45,10338000
2012,10,9,11,0,10338000
2012,10,9,11,15,10279000
2012,10,9,11,30,10279000
2012,10,9,11,45,10267000
2012,10,9,12,0,10267000
2012,10,9,12,15,9972000
2012,10,9,12,30,9972000
2012,10,9,12,45,9758000
2012,10,9,13,0,9758000
2012,10,9,13,15,9792000
2012,10,9,13,30,9792000
2012,10,9,13,45,9719000
2012,10,9,14,0,9719000
2012,10,9,14,15,9685000
2012,10,9,14,30,9685000
2012,10,9,14,45,9629000
2012,10,9,15,0,9629000
2012,10,9,15,15,9633000
2012,10,9,15,30,9633000
2012,10,9,15,45,9622000
2012,10,9,16,0,9622000
2012,10,9,16,15,9684000
2012,10,9,16,30,9684000
2012,10,9,16,45,9806000
2012,10,9,17,0,9806000
2012,10,9,17,15,9944000
2012,10,9,17,30,9944000
2012,10,9,17,45,10183000
2012,10,9,18,0,10183000
2012,10,9,18,15,10353000
2012,10,9,18,30,10353000
2012,10,9,18,45,10335000
2012,10,9,19,0,10335000
2012,10,9,19,15,10483000
2012,10,9,19,30,10483000
2012,10,9,19,45,10619000
2012,10,9,20,0,10619000
2012,10,9,20,15,10614000
2012,10,9,20,30,10614000
2012,10,9,20,45,10285000
2012,10,9,21,0,10285000
2012,10,9,21,15,9918000
2012,10,9,21,30,9918000
2012,10,9,21,45,9737000
2012,10,9,22,0,9737000
2012,10,9,22,15,9721000
2012,10,9,22,30,9721000
2012,10,9,22,45,9968000
2012,10,9,23,0,9968000
2012,10,9,23,15,9931000
2012,10,9,23,30,9931000
2012,10,9,23,45,9554000
2012,10,10,0,0,9554000
2012,10,10,0,15,9129000
2012,10,10,0,30,9129000
2012,10,10,0,45,8770000
2012,10,10,1,0,8770000
2012,10,10,1,15,8547000
2012,10,10,1,30,8547000
2012,10,10,1,45,8230000
2012,10,10,2,0,8230000
2012,10,10,2,15,8098000
2012,10,10,2,30,8098000
2012,10,10,2,45,7977000
2012,10,10,3,0,7977000
2012,10,10,3,15,7871000
2012,10,10,3,30,7871000
2012,10,10,3,45,7860000
2012,10,10,4,0,7860000
2012,10,10,4,15,7922000
2012,10,10,4,30,7922000
2012,10,10,4,45,8007000
2012,10,10,5,0,8007000
2012,10,10,5,15,8213000
2012,10,10,5,30,8213000
2012,10,10,5,45,8409000
2012,10,10,6,0,8409000
2012,10,10,6,15,8924000
2012,10,10,6,30,8924000
2012,10,10,6,45,9548000
2012,10,10,7,0,9548000
2012,10,10,7,15,9957000
2012,10,10,7,30,9957000
2012,10,10,7,45,10426000
2012,10,10,8,0,10426000
2012,10,10,8,15,10269000
2012,10,10,8,30,10269000
2012,10,10,8,45,10392000
2012,10,10,9,0,10392000
2012,10,10,9,15,10338000
2012,10,10,9,30,10338000
2012,10,10,9,45,10302000
2012,10,10,10,0,10302000
2012,10,10,10,15,10198000
2012,10,10,10,30,10198000
2012,10,10,10,45,10114000
2012,10,10,11,0,10114000
2012,10,10,11,15,10045000
2012,10,10,11,30,10045000
2012,10,10,11,45,10038000
2012,10,10,12,0,10038000
2012,10,10,12,15,9810000
2012,10,10,12,30,9810000
2012,10,10,12,45,9658000
2012,10,10,13,0,9658000
2012,10,10,13,15,9681000
2012,10,10,13,30,9681000
2012,10,10,13,45,9615000
2012,10,10,14,0,9615000
2012,10,10,14,15,9572000
2012,10,10,14,30,9572000
2012,10,10,14,45,9574000
2012,10,10,15,0,9574000
2012,10,10,15,15,9602000
2012,10,10,15,30,9602000
2012,10,10,15,45,9557000
2012,10,10,16,0,9557000
