year,month,day,hour,min,Vertical load [kW],index
2012,10,3,18,45,10428378,268
2012,10,3,19,0,10433310,269
2012,10,3,19,15,10465626,270
2012,10,3,19,30,10650995,271
2012,10,3,19,45,10764281,272
2012,10,3,20,0,10729009,273
2012,10,3,20,15,10555683,274
2012,10,3,20,30,10416554,275
2012,10,3,20,45,10284735,276
2012,10,3,21,0,10066588,277
2012,10,3,21,15,9813272,278
2012,10,3,21,30,9713554,279
2012,10,3,21,45,9502632,280
2012,10,3,22,0,9371449,281
2012,10,3,22,15,9493592,282
2012,10,3,22,30,9619621,283
2012,10,3,22,45,9675230,284
2012,10,3,23,0,9513279,285
2012,10,3,23,15,9650528,286
2012,10,3,23,30,9426207,287
2012,10,3,23,45,9054231,288
2012,10,4,0,0,9065365,289
2012,10,4,0,15,8897560,290
2012,10,4,0,30,8814758,291
2012,10,4,0,45,8554490,292
2012,10,4,1,0,8356790,293
2012,10,4,1,15,8333545,294
2012,10,4,1,30,8258938,295
2012,10,4,1,45,8145334,296
2012,10,4,2,0,7924173,297
2012,10,4,2,15,7862649,298
2012,10,4,2,30,7856500,299
2012,10,4,2,45,7785743,300
2012,10,4,3,0,7817771,301
2012,10,4,3,15,7799618,302
2012,10,4,3,30,7836167,303
2012,10,4,3,45,7832819,304
2012,10,4,4,0,7865509,305
2012,10,4,4,15,7913786,306
2012,10,4,4,30,7968500,307
2012,10,4,4,45,7910975,308
2012,10,4,5,0,8055205,309
2012,10,4,5,15,8230621,310
2012,10,4,5,30,8365450,311
2012,10,4,5,45,8511051,312
2012,10,4,6,0,8606512,313
2012,10,4,6,15,8964356,314
2012,10,4,6,30,9245187,315
2012,10,4,6,45,9563537,316
2012,10,4,7,0,9800503,317
2012,10,4,7,15,10009593,318
2012,10,4,7,30,10277234,319
2012,10,4,7,45,10660954,320
2012,10,4,8,0,10705247,321
2012,10,4,8,15,10539195,322
2012,10,4,8,30,10606445,323
2012,10,4,8,45,10727095,324
2012,10,4,9,0,10811197,325
2012,10,4,9,15,10801259,326
2012,10,4,9,30,10847024,327
2012,10,4,9,45,10970379,328
2012,10,4,10,0,10975167,329
2012,10,4,10,15,10842509,330
2012,10,4,10,30,10655390,331
2012,10,4,10,45,10787289,332
2012,10,4,11,0,10766755,333
2012,10,4,11,15,10688602,334
2012,10,4,11,30,10513837,335
2012,10,4,11,45,10554099,336
2012,10,4,12,0,10354989,337
2012,10,4,12,15,10137410,338
2012,10,4,12,30,9793620,339
2012,10,4,12,45,9713725,340
