Total Forecast,Total Measured & Upscaled,Monitored Capacity,Total Forecast,Total Measured & Upscaled,Monitored Capacity ,Total Forecast ,Total Measured & Upscaled ,Monitored Capacity
510400,542888.6,930650,173550,204793.6,338450,336850,338095,592200
513180,531907.8,930650,172250,197993.8,338450,340930,333914,592200
516800,512457.5,930650,171540,176473.3,338450,345260,335984.2,592200
520420,475628.7,930650,170820,149482.6,338450,349600,326146.1,592200
524010,445851.9,930650,170080,135763.2,338450,353930,310088.7,592200
527650,437937.9,930650,169340,136179,338450,358310,301758.9,592200
518890,434738.2,930650,167570,141594,338450,351320,293144.2,592200
510070,433674.3,930650,165800,144193.7,338450,344270,289480.6,592200
501320,426226.8,930650,164010,138231.8,338450,337310,287995,592200
492520,408096.9,930650,162220,123955.6,338450,330300,284141.3,592200
484430,419777,930650,161990,128656.4,338450,322440,291120.6,592200
476370,420877.1,930650,161730,130012.4,338450,314640,290864.7,592200
468240,423979.4,930650,161480,134105.4,338450,306760,289874,592200
460160,430407.4,930650,161230,133002.3,338450,298930,297405.1,592200
450590,439806.2,930650,159850,132346.4,338450,290740,307459.8,592200
441000,450413.9,930650,158460,133108.2,338450,282540,317305.7,592200
431410,454993.8,930650,157070,133981.6,338450,274340,321012.2,592200
421810,470733,930650,155680,148771.7,338450,266130,321961.3,592200
406180,488617.5,930650,150130,153099.5,338450,256050,335518,592200
390580,481584.1,930650,144590,144415.3,338450,245990,337168.8,592200
374900,485022.6,930650,139040,148075.4,338450,235860,336947.2,592200
359280,491355.3,930650,133470,155669.7,338450,225810,335685.6,592200
343190,491775.4,930650,126930,158341.6,338450,216260,333433.8,592200
327210,463719.5,930650,120390,143464.3,338450,206820,320255.2,592200
311120,423228.5,930650,113870,116568.5,338450,197250,306660,592200
295120,406527.8,930650,107330,111398.5,338450,187790,295129.3,592200
278590,414637.1,930650,100520,123559.6,338450,178070,291077.5,592200
262020,393784,930650,93700,115866.1,338450,168320,277917.9,592200
245410,384968,930650,86890,108649.1,338450,158520,276318.9,592200
228880,434792.4,930650,80090,141339.1,338450,148790,293453.3,592200
224360,364384.5,930650,78940,92175.9,338450,145420,272208.6,592200
219880,335095.6,930650,77810,73159.6,338450,142070,261936,592200
215340,375879.8,930650,76660,107707.4,338450,138680,268172.4,592200
210840,400824.1,930650,75530,119290.9,338450,135310,281533.2,592200
207730,392909.3,930650,75050,114430.4,338450,132680,278478.9,592200
204650,341236.1,930650,74620,103464,338450,130030,237772.1,592200
201500,328715.9,930650,74160,105853,338450,127340,222862.9,592200
198410,326313,930650,73700,120118.2,338450,124710,206194.8,592200
196060,300652.1,930650,73330,115818.2,338450,122730,184833.9,592200
193780,314759.3,930650,72950,128239.4,338450,120830,186519.9,592200
191410,317727.7,930650,72560,132307.6,338450,118850,185420.1,592200
189040,297622.1,930650,72190,130479.3,338450,116850,167142.8,592200
199710,291652.2,930650,77220,136287.1,338450,122490,155365.1,592200
210410,275072,930650,82280,128677.1,338450,128130,146394.9,592200
221120,301472.7,930650,87290,139431.1,338450,133830,162041.6,592200
231820,314808.6,930650,92320,137695.2,338450,139500,177113.4,592200
237540,356898.9,930650,94850,144437.2,338450,142690,212461.7,592200
243210,346078.8,930650,97390,140831.3,338450,145820,205247.5,592200
248900,352224.5,930650,99890,144491.3,338450,149010,207733.2,592200
254590,367537.4,930650,102440,145074.7,338450,152150,222462.7,592200
261440,381060.9,930650,105660,156133.5,338450,155780,224927.4,592200
268370,386005.3,930650,108880,166837.4,338450,159490,219167.9,592200
275220,361275.8,930650,112100,153599.7,338450,163120,207676.1,592200
282030,355360.7,930650,115340,147265.9,338450,166690,208094.8,592200
291690,361316.5,930650,121020,154472,338450,170670,206844.5,592200
301310,367016.5,930650,126700,161730.8,338450,174610,205285.7,592200
310990,372657.1,930650,132370,163566,338450,178620,209091.1,592200
320610,380617.5,930650,138060,175426.3,338450,182550,205191.2,592200
329180,413037.9,930650,142310,184734.4,338450,186870,228303.5,592200
337650,418157,930650,146510,184361.2,338450,191140,233795.8,592200
346120,444786,930650,150740,201535.5,338450,195380,243250.5,592200
354630,418593.3,930650,154960,178415.8,338450,199670,240177.5,592200
360500,397441.6,930650,158620,176973,338450,201880,220468.6,592200
366330,401555.2,930650,162280,179331.7,338450,204050,222223.5,592200
372190,392302.4,930650,165940,180339.1,338450,206250,211963.3,592200
378060,366860,930650,169590,161754.4,338450,208470,205105.6,592200
366950,346769.7,930650,166000,140620.2,338450,200950,206149.5,592200
355970,307225.4,930650,162370,111157.3,338450,193600,196068.1,592200
344940,251415.4,930650,158780,92924.2,338450,186160,158491.2,592200
333850,252358.7,930650,155170,91054.6,338450,178680,161304.1,592200
323010,257224.9,930650,151190,110678,338450,171820,146546.9,592200
312170,253892,930650,147220,122703.5,338450,164950,131188.5,592200
301320,261559.1,930650,143250,128184.9,338450,158070,133374.2,592200
290460,290152.3,930650,139270,136042.8,338450,151190,154109.5,592200
282250,310919,930650,135840,149742.3,338450,146410,161176.7,592200
274100,341825.3,930650,132410,167802.2,338450,141690,174023.1,592200
265910,355648.6,930650,128980,184799.9,338450,136930,170848.7,592200
257710,373092.3,930650,125540,190027.2,338450,132170,183065.1,592200
268040,390139.5,930650,131570,198177.6,338450,136470,191961.9,592200
278290,418454.2,930650,137600,211469.7,338450,140690,206984.5,592200
288510,442192.5,930650,143610,219105,338450,144900,223087.5,592200
298740,468462,930650,149620,227879.9,338450,149120,240582.1,592200
307850,480757.7,930650,154790,230501.6,338450,153060,250256.1,592200
316890,490887.9,930650,159950,238416,338450,156940,252471.9,592200
325950,498251.8,930650,165150,248986.1,338450,160800,249265.7,592200
335040,486385.9,930650,170310,244678.7,338450,164730,241707.2,592200
342320,480642.6,930650,174060,241772.1,338450,168260,238870.5,592200
349550,469825.1,930650,177770,234833.1,338450,171780,234992,592200
356800,456017.8,930650,181510,224769.2,338450,175290,231248.6,592200
364080,464244.7,930650,185260,233852.2,338450,178820,230392.5,592200
364320,474014.4,930650,185810,235717,338450,178510,238297.4,592200
364590,485526.7,930650,186360,239464.9,338450,178230,246061.8,592200
364810,487071.3,930650,186890,235281.1,338450,177920,251790.2,592200
352720,481652.3,930650,184220,231673.3,338450,168500,249979,592200
355220,468341.8,930650,182240,219317.7,338450,172980,249024.1,592200
357680,411325.3,930650,180220,175090.3,338450,177460,236235,592200
360180,394108.1,930650,178220,168364.2,338450,181960,225743.9,592200
362730,403686.8,930650,176250,171985.9,338450,186480,231700.9,592200
363680,416206.6,930650,173730,174712.5,338450,189950,241494.1,592200
364560,440170.4,930650,171170,178471.4,338450,193390,261699,592200
365530,442669.8,930650,168640,176629.2,338450,196890,266040.6,592200
366430,445313.3,930650,166120,177559.7,338450,200310,267753.6,592200
379410,473712.1,930650,170810,193331.3,338450,208600,280380.8,592200
392350,474954.9,930650,175510,189240,338450,216840,285714.9,592200
405280,482743.4,930650,180210,191273.4,338450,225070,291470,592200
418220,488410.2,930650,184900,196626.5,338450,233320,291783.7,592200
429360,481136.7,930650,188730,187504.7,338450,240630,293632,592200
440480,494176.8,930650,192580,188952,338450,247900,305224.8,592200
451670,491071.6,930650,196430,188696.3,338450,255240,302375.3,592200
462780,484262,930650,200260,189626.1,338450,262520,294635.9,592200
472910,529369,930650,203600,216292.8,338450,269310,313076.2,592200
482990,559006.8,930650,206930,229545.6,338450,276060,329461.2,592200
493000,581276.6,930650,210250,237021.8,338450,282750,344254.8,592200
503170,614905.6,930650,213580,252992,338450,289590,361913.6,592200
518130,671285.7,930650,214280,279184.1,338450,303850,392101.6,592200
533080,694574.8,930650,214990,286392.3,338450,318090,408182.5,592200
548040,695148.9,930650,215700,288203.2,338450,332340,406945.7,592200
563040,701210.7,930650,216390,287424.5,338450,346650,413786.2,592200
584780,745179.8,930650,222180,301644.3,338450,362600,443535.5,592200
606630,759361.6,930650,227980,299899.3,338450,378650,459462.3,592200
628430,790071,930650,233770,309306.9,338450,394660,480764.1,592200
650190,804440.6,930650,239570,313065.7,338450,410620,491374.9,592200
675530,806258.9,930650,246840,308620.7,338450,428690,497638.2,592200
700830,726639.8,930650,254140,265228.8,338450,446690,461411,592200
726180,627051.1,930650,261410,186276.6,338450,464770,440774.5,592200
751530,614292.5,930650,268700,173861.3,338450,482830,440431.2,592200
758370,583147.4,930650,271430,150575.2,338450,486940,432572.2,592200
765250,579082.6,930650,274140,148799.2,338450,491110,430283.4,592200
