,HE Jablanica,HE Dubrovnik,HE Trebinje 1,HE Trebinje 2,HE Rama,HE Salakovac,HE Bocac,HE Visegrad,RHE Capljina
2010-01-06 00:00:00+00:00,0.33623878,1.688045451,1.569496534,0,0.694191545,0.710955263,0.48747852,0.542727174,1.755965629
2010-01-06 01:00:00+00:00,0.336317223,1.675211918,1.575280296,0,0.691352806,0.710931864,0.48780879,0.543011981,1.752793263
2010-01-06 02:00:00+00:00,0.336395666,1.662378385,1.581064057,0,0.688514067,0.710908465,0.48813906,0.543296787,1.749620896
2010-01-06 03:00:00+00:00,0.336474109,1.649544852,1.586847819,0,0.685675328,0.710885066,0.48846933,0.543581594,1.74644853
2010-01-06 04:00:00+00:00,0.336552552,1.63671132,1.592631581,0,0.68283659,0.710861667,0.4887996,0.5438664,1.743276164
2010-01-06 05:00:00+00:00,0.336630996,1.623877787,1.598415342,0,0.679997851,0.710838268,0.48912987,0.544151206,1.740103797
2010-01-06 06:00:00+00:00,0.336709439,1.611044254,1.604199104,0,0.677159112,0.710814869,0.48946014,0.544436013,1.736931431
2010-01-06 07:00:00+00:00,0.336787882,1.598210722,1.609982866,0,0.674320373,0.71079147,0.48979041,0.544720819,1.733759065
2010-01-06 08:00:00+00:00,0.336866325,1.585377189,1.615766627,0,0.671481634,0.710768071,0.49012068,0.545005626,1.730586699
2010-01-06 09:00:00+00:00,0.336944768,1.572543656,1.621550389,0,0.668642895,0.710744672,0.49045095,0.545290432,1.727414332
2010-01-06 10:00:00+00:00,0.337023211,1.559710123,1.627334151,0,0.665804156,0.710721273,0.49078122,0.545575239,1.724241966
2010-01-06 11:00:00+00:00,0.337101655,1.546876591,1.633117912,0,0.662965418,0.710697874,0.49111149,0.545860045,1.7210696
2010-01-06 12:00:00+00:00,0.337180098,1.534043058,1.638901674,0,0.660126679,0.710674475,0.49144176,0.546144852,1.717897234
2010-01-06 13:00:00+00:00,0.337258541,1.521209525,1.644685436,0,0.65728794,0.710651076,0.49177203,0.546429658,1.714724867
2010-01-06 14:00:00+00:00,0.337336984,1.508375992,1.650469197,0,0.654449201,0.710627677,0.4921023,0.546714465,1.711552501
2010-01-06 15:00:00+00:00,0.337415427,1.49554246,1.656252959,0,0.651610462,0.710604278,0.49243257,0.546999271,1.708380135
2010-01-06 16:00:00+00:00,0.33749387,1.482708927,1.662036721,0,0.648771723,0.710580879,0.49276284,0.547284077,1.705207768
2010-01-06 17:00:00+00:00,0.337572314,1.469875394,1.667820483,0,0.645932985,0.71055748,0.49309311,0.547568884,1.702035402
2010-01-06 18:00:00+00:00,0.337650757,1.457041861,1.673604244,0,0.643094246,0.710534081,0.49342338,0.54785369,1.698863036
2010-01-06 19:00:00+00:00,0.3377292,1.444208329,1.679388006,0,0.640255507,0.710510682,0.49375365,0.548138497,1.69569067
2010-01-06 20:00:00+00:00,0.337807643,1.431374796,1.685171768,0,0.637416768,0.710487283,0.49408392,0.548423303,1.692518303
2010-01-06 21:00:00+00:00,0.337886086,1.418541263,1.690955529,0,0.634578029,0.710463884,0.49441419,0.54870811,1.689345937
2010-01-06 22:00:00+00:00,0.337964529,1.40570773,1.696739291,0,0.63173929,0.710440485,0.49474446,0.548992916,1.686173571
2010-01-06 23:00:00+00:00,0.338042973,1.392874198,1.702523053,0,0.628900552,0.710417086,0.49507473,0.549277723,1.683001205
2010-01-07 00:00:00+00:00,0.338121416,1.393408372,1.699408134,0,0.630516523,0.710393687,0.495405,0.549562529,1.682680139
2010-01-07 01:00:00+00:00,0.338199859,1.393942546,1.696293215,0,0.632132494,0.710370288,0.49573527,0.549847335,1.682359074
2010-01-07 02:00:00+00:00,0.338278302,1.39447672,1.693178296,0,0.633748465,0.710346889,0.49606554,0.550132142,1.682038008
2010-01-07 03:00:00+00:00,0.338356745,1.395010894,1.690063377,0,0.635364437,0.71032349,0.49639581,0.550416948,1.681716943
2010-01-07 04:00:00+00:00,0.338435188,1.395545069,1.686948458,0,0.636980408,0.710300091,0.49672608,0.550701755,1.681395877
2010-01-07 05:00:00+00:00,0.338513631,1.396079243,1.683833539,0,0.638596379,0.710276692,0.49705635,0.550986561,1.681074812
2010-01-07 06:00:00+00:00,0.338592075,1.396613417,1.68071862,0,0.640212351,0.710253293,0.49738662,0.551271368,1.680753746
2010-01-07 07:00:00+00:00,0.338670518,1.397147591,1.677603701,0,0.641828322,0.710229894,0.49771689,0.551556174,1.680432681
2010-01-07 08:00:00+00:00,0.338748961,1.397681765,1.674488782,0,0.643444293,0.710206495,0.49804716,0.551840981,1.680111615
2010-01-07 09:00:00+00:00,0.338827404,1.39821594,1.671373863,0,0.645060265,0.710183096,0.49837743,0.552125787,1.67979055
2010-01-07 10:00:00+00:00,0.338905847,1.398750114,1.668258944,0,0.646676236,0.710159697,0.4987077,0.552410594,1.679469485
