,LT_P2HT_OTH,LT_STUR_BIO_CHP,LT_COMC_GAS_CHP
2016-02-03 07:00:00,1189.7116896713087,904.2270671118345,1802.168543886248
2016-02-03 08:00:00,1146.996267217457,871.761687893311,1737.4634633583667
2016-02-03 09:00:00,1102.5373581328358,837.9711911556639,1670.1173591354693
2016-02-03 10:00:00,1064.8344597424464,809.3155248046203,1613.0052217307577
2016-02-03 11:00:00,1052.8479891559064,800.205341860647,1594.8481838275259
2016-02-03 12:00:00,1045.2202351462897,794.4079527144821,1583.2937051618328
2016-02-03 13:00:00,1086.6280426270646,825.8794937936631,1646.0180179184526
2016-02-03 14:00:00,1136.317411603994,863.6453430886801,1721.2871932263963
2016-02-03 15:00:00,1164.867005182844,885.3441424643258,1764.533956232276
2016-02-03 16:00:00,1140.0223206943792,866.4612178168172,1726.8993685783041
2016-02-03 17:00:00,1139.1505773789945,865.7986590572556,1725.5788567307966
2016-02-03 18:00:00,1115.1776362059145,847.5782931693086,1689.2647809243322
2016-02-03 19:00:00,1040.64358274052,790.9295192267831,1576.361017962417
2016-02-03 20:00:00,909.010342117426,690.883146532966,1376.9637289887417
2016-02-03 21:00:00,771.4928341154852,586.3645022121073,1168.6529850443887
2016-02-03 22:00:00,687.1516683520125,522.2619422245125,1040.8934637980105
2016-02-03 23:00:00,685.6261175500892,521.1024643952795,1038.5825680648718
2016-02-04 00:00:00,695.8691015058598,528.8875298201295,1054.0985822730884
2016-02-04 01:00:00,725.2904384000944,551.248887955337,1098.665857126476
2016-02-04 02:00:00,775.8515506924086,589.6772960099157,1175.2555442819275
2016-02-04 03:00:00,1002.7227485212843,762.1082131858489,1518.918752595828
2016-02-04 04:00:00,1323.3063527540185,1005.7641970146653,2004.5369845168157
2016-02-04 05:00:00,1211.0694008982346,920.459756721096,1834.5210841501885
2016-02-04 06:00:00,1171.1871442193833,890.147693471148,1774.1076671267074
2016-02-04 07:00:00,1113.4341495751448,846.2531756501853,1686.6237572293169
