,HU_P2HT_OTH,HU_STUR_BIO_CHP,HU_STUR_OIL_CHP,HU_COMC_GAS_CHP
2016-03-29 03:00:00,1710.6205097026236,686.2001555624765,18.282419775199198,409.9110960123609
2016-03-29 04:00:00,1884.028776283801,755.761334578452,20.1357371557314,451.4644225442935
2016-03-29 05:00:00,1831.6358412129878,734.7443761168603,19.575782667411907,438.9096534903932
2016-03-29 06:00:00,1656.2870955551132,664.4047912319367,17.70172623175675,396.89133551201974
2016-03-29 07:00:00,1529.0975124370777,613.3838247309009,16.34237543688013,366.4132597953123
2016-03-29 08:00:00,1417.0789475550353,568.448576841639,15.145166345691983,339.5705717507781
2016-03-29 09:00:00,1347.5745151715314,540.5674938993253,14.402331098561067,322.91542357826387
2016-03-29 10:00:00,1292.7118794576495,518.5598370590727,13.815981449176004,309.7688472288935
2016-03-29 11:00:00,1241.730201897161,498.10899195671567,13.27110991003683,297.5522537724047
2016-03-29 12:00:00,1249.492118203948,501.2226154325069,13.354066130528606,299.41221955816764
2016-03-29 13:00:00,1259.5473279650132,505.25617311705497,13.461532143438411,301.8217206897243
2016-03-29 14:00:00,1332.579904124329,534.5525394574556,14.242074763520133,319.3223078557671
2016-03-29 15:00:00,1412.492360646479,566.6087084241259,15.09614676085593,338.4715010591908
2016-03-29 16:00:00,1480.7619427084483,593.9944421771091,15.825784427454062,354.83074558397
2016-03-29 17:00:00,1549.9135607143708,621.7339967796141,16.5648489372899,371.4013498571313
2016-03-29 18:00:00,1540.3875725196772,617.9127316047792,16.463039030322715,369.118664574604
2016-03-29 19:00:00,1404.730444339692,563.4950849483345,15.013190540364153,336.6115352734278
2016-03-29 20:00:00,1082.9637319856045,434.4212390428011,11.574278127250475,259.50749906361585
2016-03-29 21:00:00,764.7251634073294,306.76267653535484,8.173073087087607,183.24890184733263
2016-03-29 22:00:00,608.4283941388418,244.06562200010117,6.502636465366817,145.79595443401388
2016-03-29 23:00:00,644.0626462745468,258.35998432077974,6.883480932169976,154.33488826865312
2016-03-30 00:00:00,669.2888742716052,268.4792606171018,7.153088648768255,160.37977707238292
2016-03-30 01:00:00,767.5476784279793,307.8949032538244,8.203238985448253,183.92525304215553
2016-03-30 02:00:00,1005.3445689177324,403.2850042848874,10.744715922332702,240.90784120598582
2016-03-30 03:00:00,1472.8236192128707,590.8100545314135,15.740942838314746,352.92850784853056
2016-03-30 04:00:00,1832.5178771569408,735.0981969663819,19.58520951064961,439.1210132387754
2016-03-30 05:00:00,1794.5903315669577,719.8839004369466,19.17985525142842,430.0325440583424
2016-03-30 06:00:00,1648.8779936259075,661.4326960959542,17.62254074856006,395.11591362560966
2016-03-30 07:00:00,1531.0379915137746,614.1622305998487,16.363114492003074,366.8782512417531
2016-03-30 08:00:00,1404.9068515284825,563.5658491182389,15.015075909011696,336.65380722310425
2016-03-30 09:00:00,1307.3536761272708,524.4332631611337,13.972467046921858,313.2774190520374
2016-03-30 10:00:00,1254.078705112504,503.0624838500201,13.403085715364657,300.5112902497549
2016-03-30 11:00:00,1219.502896109543,489.1927065487677,13.033553460446742,292.22598811317425
2016-03-30 12:00:00,1202.7442131744342,482.47011040785446,12.854443438930405,288.21015289391323
2016-03-30 13:00:00,1224.2658902068897,491.1033391361851,13.084458413930331,293.36733075443794
2016-03-30 14:00:00,1275.6003821449594,511.6957125783508,13.633100690364587,305.6684681102796
2016-03-30 15:00:00,1350.0442158146004,541.5581922779862,14.428726259626632,323.50723087373393
