,AT_P2HT_OTH,AT_STUR_BIO_CHP,AT_COMC_GAS_CHP,AT_COMC_CCS_GAS_CHP
2016-09-25 09:00:00,1656.5467305828406,812.2663988273398,31.716650817528755,13.237190427990782
2016-09-25 10:00:00,1581.2697644517834,775.355305970691,30.275379523877024,12.635664665317236
2016-09-25 11:00:00,1504.1788955223876,737.5547891897854,28.799378801462602,12.01964430595276
2016-09-25 12:00:00,1495.109381530694,733.1076695685025,28.62573165764914,11.947171322498116
2016-09-25 13:00:00,1503.725419822803,737.3324332087213,28.790696444271926,12.016020656780027
2016-09-25 14:00:00,1585.3510457480456,777.3565098002683,30.353520738593083,12.668277507871826
2016-09-25 15:00:00,1683.3017968583367,825.3854017101246,32.228909891778464,13.450985729181983
2016-09-25 16:00:00,1788.9616348615673,877.1943452980715,34.25189911720529,14.29529598642859
2016-09-25 17:00:00,1908.2257438523384,935.6739683179431,36.53535905835231,15.248315718857164
2016-09-25 18:00:00,1900.9701326589839,932.1162726209166,36.39644134330154,15.190337332093446
2016-09-25 19:00:00,1743.1605892035145,854.7363912105924,33.37498104094731,13.929307419982635
2016-09-25 20:00:00,1315.5330044951602,645.054701067099,25.1875182101426,10.512206250096158
2016-09-25 21:00:00,880.649808593451,431.81531522657923,16.861137664287117,7.037126693445963
2016-09-25 22:00:00,689.2830633687154,337.9810912175079,13.197182929823079,5.507946742552967
2016-09-25 23:00:00,727.8284978334134,356.8813496079607,13.93518329103029,5.815956922235206
2016-09-26 00:00:00,751.4092342118167,368.4438606232964,14.38666586494529,6.00438667921728
2016-09-26 01:00:00,882.0102356922049,432.48238316977165,16.887184735859137,7.047997640964159
2016-09-26 02:00:00,1237.5351841665952,606.8094723240652,23.69415277334683,9.888938592386216
2016-09-26 03:00:00,1973.9797202921172,967.9155855722446,37.7943008509999,15.77374484890333
2016-09-26 04:00:00,2492.302444917408,1222.0684719285682,47.71823511993924,19.915575853336257
2016-09-26 05:00:00,2418.83938158469,1186.046802996176,46.3116932550502,19.328544687353638
2016-09-26 06:00:00,2128.614933850494,1043.73897511512,40.75498465301943,17.009409216805018
2016-09-26 07:00:00,1991.66527257592,976.5874688337467,38.13291278143616,15.915067166639892
2016-09-26 08:00:00,1803.0193815486925,884.0873807110603,34.52105219011616,14.407629110783288
2016-09-26 09:00:00,1673.3253314674735,820.4935701267133,32.03789803358366,13.371265447381875
2016-09-26 10:00:00,1593.060132640985,781.1365614783588,30.501120810834525,12.729879543808273
2016-09-26 11:00:00,1511.4345067157424,741.1124848868119,28.938296516513372,12.077622692716474
2016-09-26 12:00:00,1472.8890722510446,722.2122264963591,28.20029615530616,11.769612513034236
2016-09-26 13:00:00,1466.540412456859,719.099242761461,28.078743154636737,11.718881424615986
2016-09-26 14:00:00,1528.6665832999604,749.5620121672496,29.268226089758947,12.2153213612803
2016-09-26 15:00:00,1630.6986157065135,799.5921079066833,31.221756457660387,13.030642425145047
2016-09-26 16:00:00,1727.7424154176356,847.1762878544114,33.07978089646443,13.80610334810974
2016-09-26 17:00:00,1853.355184202592,908.7688946091808,35.484793838280865,14.809854168956564
2016-09-26 18:00:00,1851.5412814042534,907.8794706849243,35.45006440951818,14.795359572265637
2016-09-26 19:00:00,1709.1499117346634,838.0596926307811,32.723804251646825,13.65753373202772
2016-09-26 20:00:00,1282.882754125063,629.0450704304802,24.562388492414136,10.251303509659436
2016-09-26 21:00:00,844.8252283262611,414.2491927225114,16.175231446223947,6.750858408800117
2016-09-26 22:00:00,650.2841532044329,318.858476845991,12.450500211425192,5.196312913697996
2016-09-26 23:00:00,686.1087334716228,336.42459935005894,13.136406429488368,5.482581198343842
2016-09-27 00:00:00,709.2359941504413,347.7647543843305,13.579206646212693,5.667387306153184
2016-09-27 01:00:00,827.5931517420431,405.7996654420736,15.845301872978364,6.613159740236292
