,PT_P2HT_OTH,PT_STUR_BIO_CHP,PT_COMC_GAS_CHP
2016-04-10 08:00:00,1187.0232079929458,12954.135520902748,1379.6236986954705
2016-04-10 09:00:00,1067.2725650670272,11647.281495866026,1240.4429111572385
2016-04-10 10:00:00,994.2932170212651,10850.848571517045,1155.6222965295617
2016-04-10 11:00:00,939.4579057824604,10252.423832779688,1091.8896800137384
2016-04-10 12:00:00,911.637049345126,9948.81128150853,1059.5547495755632
2016-04-10 13:00:00,889.8642051767771,9711.20145877458,1034.2491518413394
2016-04-10 14:00:00,883.4129920898589,9640.798548334891,1026.7511969571249
2016-04-10 15:00:00,927.7650820624215,10124.818557607752,1078.2996367860997
2016-04-10 16:00:00,972.117172034984,10608.838566880613,1129.8480766150744
2016-04-10 17:00:00,1009.6148481026959,11018.055483811306,1173.4299393795714
2016-04-10 18:00:00,1064.853360159433,11620.88040445114,1237.631178075658
2016-04-10 19:00:00,1050.7413315317995,11466.874037864323,1221.229401766439
2016-04-10 20:00:00,986.63240148055,10767.245115369913,1146.718475104557
2016-04-10 21:00:00,741.8895049955912,8096.334700564217,862.264811684669
2016-04-10 22:00:00,512.4682395920634,5592.6311980527835,595.6187911147904
2016-04-10 23:00:00,406.0232236579132,4430.983175797916,471.90253552525087
2016-04-11 00:00:00,422.9576580110735,4615.7908157021,491.58466709631404
2016-04-11 01:00:00,443.92410054355764,4844.600274631089,515.9530204700111
2016-04-11 02:00:00,509.6458338665366,5561.829924735419,592.3384358529464
2016-04-11 03:00:00,675.7645708546797,7374.704868557407,785.4107741214702
2016-04-11 04:00:00,999.9380284723186,10912.451118151772,1162.1830070532494
2016-04-11 05:00:00,1298.7098345602171,14172.98590788986,1509.432042628434
2016-04-11 06:00:00,1282.1786010249891,13992.578449888159,1490.2185332376343
2016-04-11 07:00:00,1174.9271834549745,12822.130063828332,1365.5650332875682
2016-04-11 08:00:00,1090.6582125071056,11902.492046209894,1267.622997612516
2016-04-11 09:00:00,977.7619834860375,10670.44111351534,1136.4087871387621
2016-04-11 10:00:00,910.830647709261,9940.010917703568,1058.6175052150363
2016-04-11 11:00:00,860.4305454677129,9389.9881798935,1000.0397326821106
2016-04-11 12:00:00,831.4000865765812,9073.1750829149,966.2989357031454
2016-04-11 13:00:00,809.6272424082323,8835.56526018095,940.9933379689214
2016-04-11 14:00:00,800.3536235957873,8734.361076423898,930.215027822863
2016-04-11 15:00:00,843.0929102966202,9200.780358086837,979.8889789307841
2016-04-11 16:00:00,884.2193937257238,9649.598912139852,1027.6884413176515
2016-04-11 17:00:00,919.2978648858414,10032.414737655663,1068.458571000568
2016-04-11 18:00:00,972.117172034984,10608.838566880613,1129.8480766150744
2016-04-11 19:00:00,963.2467540404716,10512.034565026042,1119.5383886492796
2016-04-11 20:00:00,904.7826354402754,9874.008189166361,1051.5881725110855
2016-04-11 21:00:00,678.990177398139,7409.906323777252,789.1597515635775
2016-04-11 22:00:00,464.08414144017695,5064.609369755117,539.3841294831815
2016-04-11 23:00:00,414.08724001656094,4518.986813847528,481.274979130519
2016-04-12 00:00:00,444.32730136148996,4849.000456533569,516.4216426502746
2016-04-12 01:00:00,447.9561087228814,4888.602093655894,520.6392422726452
2016-04-12 02:00:00,514.0810428637928,5610.231925662705,597.493279835844
2016-04-12 03:00:00,682.6189847595305,7449.507960899577,793.3773511859481
2016-04-12 04:00:00,1002.7604341978453,10943.252391469134,1165.4633623150933
2016-04-12 05:00:00,1339.433117171388,14617.404280040399,1556.7628828350385
2016-04-12 06:00:00,1316.8538713671746,14370.994093501486,1530.5200407402874
2016-04-12 07:00:00,1210.8120562509569,13213.7462531491,1407.2724073310114
2016-04-12 08:00:00,1119.2854705803052,12214.904961286014,1300.895172411218
2016-04-12 09:00:00,1014.8564587358169,11075.257848543552,1179.5220277229955
2016-04-12 10:00:00,938.6515041465959,10243.623468974729,1090.9524356532118
2016-04-12 11:00:00,911.2338485271936,9944.41109960605,1059.0861273953
2016-04-12 12:00:00,857.2049389242538,9354.786724673657,996.2907552400035
2016-04-12 13:00:00,841.8833078428231,9187.579812379396,978.483112389994
2016-04-12 14:00:00,830.9968857586487,9068.774901012419,965.8303135228819
2016-04-12 15:00:00,876.5585781850084,9565.995455992723,1018.784619892647
2016-04-12 16:00:00,913.653053434788,9970.812191020934,1061.8978604768804
2016-04-12 17:00:00,948.3283237769731,10349.22783463426,1102.1993679795332
2016-04-12 18:00:00,1002.3572333799129,10938.852209566656,1164.99474013483
2016-04-12 19:00:00,989.0516063881441,10793.646206784795,1149.5302081861373
2016-04-12 20:00:00,928.5714836982862,10133.618921412712,1079.2368811466263
2016-04-12 21:00:00,703.1822264740821,7673.917237926085,817.277082379382
2016-04-12 22:00:00,481.01857579333716,5249.417009659299,559.0662610542445
2016-04-12 23:00:00,366.10634268260696,3995.365167452342,425.5089396791736
2016-04-13 00:00:00,360.0583304136212,3929.3624389151337,418.47960697522245
2016-04-13 01:00:00,401.9912154785894,4386.981356773112,467.2163137226168
2016-04-13 02:00:00,433.0376784593832,4725.795363264114,503.30022160289917
2016-04-13 03:00:00,603.5916244447827,6587.072308013388,701.5274038543204
2016-04-13 04:00:00,940.6675082362576,10265.62437848713,1093.2955465545285
2016-04-13 05:00:00,1144.2839212921128,12487.716239239811,1329.9497475875494
2016-04-13 06:00:00,1130.575093482412,12338.110054555473,1314.0165934585937
2016-04-13 07:00:00,1053.1605364393938,11493.275129279205,1224.0411348480193
2016-04-13 08:00:00,977.7619834860375,10670.44111351534,1136.4087871387621
2016-04-13 09:00:00,870.9137667339548,9504.392909357994,1012.2239093689592
2016-04-13 10:00:00,848.7377217476736,9262.382904721564,986.4496894544719
2016-04-13 11:00:00,807.2080375006378,8809.164168766067,938.1816048873409
2016-04-13 12:00:00,735.0350910907407,8021.531608222048,854.298234620191
2016-04-13 13:00:00,678.1837757622742,7401.10595997229,788.2225072030507
2016-04-13 14:00:00,675.7645708546797,7374.704868557407,785.4107741214702
2016-04-13 15:00:00,714.8750501941213,7801.522513098021,830.8671256070207
2016-04-13 16:00:00,791.8864064192071,8641.957256471806,920.3739620373314
2016-04-13 17:00:00,839.4641029352288,9161.178720964512,975.6713793084135
2016-04-13 18:00:00,886.6385986333181,9676.000003554738,1030.5001743992323
2016-04-13 19:00:00,878.5745822746703,9587.996365505123,1021.1277307939638
2016-04-13 20:00:00,822.1264677641361,8971.970899157848,955.5206255570871
2016-04-13 21:00:00,626.5740710669286,6837.882676454779,728.2388681293346
2016-04-13 22:00:00,446.7465062690843,4875.401547948452,519.233375731855
2016-04-13 23:00:00,313.6902363513967,3423.34152012987,364.58805624493067
2016-04-14 00:00:00,331.0278715224893,3612.549341936534,384.73880999625715
2016-04-14 01:00:00,342.7206952425286,3740.15461710847,398.328853223896
2016-04-14 02:00:00,393.1207974840769,4290.177354918539,456.9066257568219
2016-04-14 03:00:00,600.3660179013236,6551.870852793543,697.7784264122131
2016-04-14 04:00:00,986.2292006626175,10762.844933467431,1146.2498529242935
2016-04-14 05:00:00,1077.7557863332695,11761.686225330519,1252.627087844087
2016-04-14 06:00:00,1044.6933192628137,11400.871309327114,1214.2000690624877
2016-04-14 07:00:00,912.8466517989232,9962.011827215973,1060.9606161163535
2016-04-14 08:00:00,856.8017381063213,9350.386542771175,995.8221330597399
2016-04-14 09:00:00,782.2095867888299,8536.352890812273,909.1270297110098
2016-04-14 10:00:00,750.3567221721714,8188.738520516308,872.1058774702004
2016-04-14 11:00:00,712.8590461044595,7779.521603585617,828.5240147057036
2016-04-14 12:00:00,662.8621446808435,7233.899047678029,770.4148643530411
2016-04-14 13:00:00,660.4429397732491,7207.497956263146,767.6031312714608
2016-04-14 14:00:00,640.2828988766298,6987.488861139118,744.1720222582903
2016-04-14 15:00:00,681.4093823057333,7436.3074151921355,791.971484645158
2016-04-14 16:00:00,730.196681275552,7968.729425392281,848.67476845703
2016-04-14 17:00:00,756.8079352590895,8259.141430955999,879.6038323544151
2016-04-14 18:00:00,797.5312178702607,8703.559803106535,926.9346725610192
2016-04-14 19:00:00,820.5136644924066,8954.370171547926,953.6461368360333
2016-04-14 20:00:00,754.3887303514952,8232.740339541115,876.7920992728345
2016-04-14 21:00:00,578.996374550907,6318.661211962074,672.9414508582526
2016-04-14 22:00:00,393.52399830200926,4294.57753682102,457.3752479370853
2016-04-14 23:00:00,313.2870355334643,3418.9413382273897,364.1194340646673
2016-04-15 00:00:00,329.4150682507598,3594.948614326612,382.86432127520357
2016-04-15 01:00:00,337.47908460940755,3682.9522523762225,392.2367648804717
2016-04-15 02:00:00,401.1848138427246,4378.18099296815,466.27906936209007
2016-04-15 03:00:00,547.546710752181,5975.44702356859,636.3889207977068
2016-04-15 04:00:00,835.0288939379725,9112.776720037225,970.5165353255161
2016-04-15 05:00:00,1091.4646141429707,11911.292410014858,1268.560241973043
2016-04-15 06:00:00,1071.304573246351,11691.28331489083,1245.1291329598725
2016-04-15 07:00:00,952.7635327742294,10397.629835561545,1107.3542119624308
2016-04-15 08:00:00,897.12181989956,9790.404733019232,1042.6843510860808
2016-04-15 09:00:00,804.7888325930435,8782.763077351183,935.3698718057605
2016-04-15 10:00:00,750.3567221721714,8188.738520516308,872.1058774702004
2016-04-15 11:00:00,715.681451829986,7810.322876902981,831.8043699675475
2016-04-15 12:00:00,674.5549684008827,7361.504322849966,784.0049075806801
2016-04-15 13:00:00,660.0397389553167,7203.097774360665,767.1345090911973
2016-04-15 14:00:00,639.8796980586975,6983.088679236638,743.703400078027
2016-04-15 15:00:00,668.9101569498293,7299.901776215238,777.4441970569923
2016-04-15 16:00:00,716.8910542837832,7823.523422610424,833.2102365083379
2016-04-15 17:00:00,748.3407180825094,8166.737611003908,869.7627665688836
2016-04-15 18:00:00,794.3056113268013,8668.35834788669,923.1856951189119
2016-04-15 19:00:00,798.3376195061254,8712.360166911496,927.871916921546
2016-04-15 20:00:00,743.9055090852531,8118.3356100766205,864.6079225859861
2016-04-15 21:00:00,560.4491369260173,6116.252844447969,651.3848305661359
