,PHOT,WTOF,WTON,HE Glava Zete,HE Slap Zete,HE Muskovica Rijeka,HE Savnik,HE Lijeva Rijeka,HE Podgor,HE Rijeka Crnojevica,HROR
2015-01-07 05:00:00+00:00,0,0,0,0.576916541,0.575763673,1,1,1,1,1,0.6773026
2015-01-07 06:00:00+00:00,0,0,0,0.582727709,0.581563228,1,1,1,1,1,0.6817311
2015-01-07 07:00:00+00:00,0,0,0,0.588538876,0.587362782,1,1,1,1,1,0.6861596
2015-01-07 08:00:00+00:00,0,0,0,0.594350043,0.593162337,1,1,1,1,1,0.6905882
2015-01-07 09:00:00+00:00,0,0,0,0.60016121,0.598961891,1,1,1,1,1,0.6950167
2015-01-07 10:00:00+00:00,0,0,0,0.605972377,0.604761446,1,1,1,1,1,0.6994452
2015-01-07 11:00:00+00:00,0,0,0,0.611783544,0.610561,1,1,1,1,1,0.7038737
2015-01-07 12:00:00+00:00,0,0,0,0.617594711,0.616360555,1,1,1,1,1,0.7083022
2015-01-07 13:00:00+00:00,0,0,0,0.623405878,0.622160109,1,1,1,1,1,0.7127307
2015-01-07 14:00:00+00:00,0,0,0,0.629217046,0.627959664,1,1,1,1,1,0.7171592
2015-01-07 15:00:00+00:00,0,0,0,0.635028213,0.633759218,1,1,1,1,1,0.7215877
2015-01-07 16:00:00+00:00,0,0,0,0.64083938,0.639558773,1,1,1,1,1,0.7260162
2015-01-07 17:00:00+00:00,0,0,0,0.646650547,0.645358327,1,1,1,1,1,0.7304447
2015-01-07 18:00:00+00:00,0,0,0,0.652461714,0.651157882,1,1,1,1,1,0.7348732
2015-01-07 19:00:00+00:00,0,0,0,0.658272881,0.656957436,1,1,1,1,1,0.7393018
2015-01-07 20:00:00+00:00,0,0,0,0.664084048,0.662756991,1,1,1,1,1,0.7437303
2015-01-07 21:00:00+00:00,0,0,0,0.669895215,0.668556545,1,1,1,1,1,0.7481588
2015-01-07 22:00:00+00:00,0,0,0,0.675706382,0.6743561,1,1,1,1,1,0.7525873
2015-01-07 23:00:00+00:00,0,0,0,0.68151755,0.680155654,1,1,1,1,1,0.7570158
2015-01-08 00:00:00+00:00,0,0,0,0.687328717,0.685955209,1,1,1,1,1,0.7614443
2015-01-08 01:00:00+00:00,0,0,0,0.69992712,0.698528436,1,1,1,1,1,0.7710451
2015-01-08 02:00:00+00:00,0,0,0,0.712525523,0.711101664,1,1,1,1,1,0.780646
2015-01-08 03:00:00+00:00,0,0,0,0.725123927,0.723674892,1,1,1,1,1,0.7902468
2015-01-08 04:00:00+00:00,0,0,0,0.73772233,0.736248119,1,1,1,1,1,0.7998477
2015-01-08 05:00:00+00:00,0,0,0,0.750320734,0.748821347,1,1,1,1,1,0.8094485
2015-01-08 06:00:00+00:00,0,0,0,0.762919137,0.761394575,1,1,1,1,1,0.8190494
2015-01-08 07:00:00+00:00,0,0,0,0.77551754,0.773967802,1,1,1,1,1,0.8286502
2015-01-08 08:00:00+00:00,0,0,0,0.788115944,0.78654103,1,1,1,1,1,0.8382511
2015-01-08 09:00:00+00:00,0,0,0,0.800714347,0.799114258,1,1,1,1,1,0.8478519
2015-01-08 10:00:00+00:00,0,0,0,0.813312751,0.811687485,1,1,1,1,1,0.8574528
2015-01-08 11:00:00+00:00,0,0,0,0.825911154,0.824260713,1,1,1,1,1,0.8670536
2015-01-08 12:00:00+00:00,0,0,0,0.838509557,0.83683394,1,1,1,1,1,0.8766545
2015-01-08 13:00:00+00:00,0,0,0,0.851107961,0.849407168,1,1,1,1,1,0.8862553
2015-01-08 14:00:00+00:00,0,0,0,0.863706364,0.861980396,1,1,1,1,1,0.8958562
2015-01-08 15:00:00+00:00,0,0,0,0.876304767,0.874553623,1,1,1,1,1,0.905457
2015-01-08 16:00:00+00:00,0,0,0,0.888903171,0.887126851,1,1,1,1,1,0.9150579
2015-01-08 17:00:00+00:00,0,0,0,0.901501574,0.899700079,1,1,1,1,1,0.9246587
2015-01-08 18:00:00+00:00,0,0,0,0.914099978,0.912273306,1,1,1,1,1,0.9342596
2015-01-08 19:00:00+00:00,0,0,0,0.926698381,0.924846534,1,1,1,1,1,0.9438604
2015-01-08 20:00:00+00:00,0,0,0,0.939296784,0.937419762,1,1,1,1,1,0.9534613
2015-01-08 21:00:00+00:00,0,0,0,0.951895188,0.949992989,1,1,1,1,1,0.9630621
2015-01-08 22:00:00+00:00,0,0,0,0.964493591,0.962566217,1,1,1,1,1,0.972663
2015-01-08 23:00:00+00:00,0,0,0,0.977091994,0.975139445,1,1,1,1,1,0.9822638
2015-01-09 00:00:00+00:00,0,0,0,0.989690398,0.987712672,1,1,1,1,1,0.9918647
2015-01-09 01:00:00+00:00,0,0,0,0.987047318,0.985074874,1,1,1,1,1,0.9898505
2015-01-09 02:00:00+00:00,0,0,0,0.984404237,0.982437075,1,1,1,1,1,0.9878363
2015-01-09 03:00:00+00:00,0,0,0,0.981761157,0.979799277,1,1,1,1,1,0.9858221
2015-01-09 04:00:00+00:00,0,0,0,0.979118077,0.977161478,1,1,1,1,1,0.9838079
2015-01-09 05:00:00+00:00,0,0,0,0.976474996,0.974523679,1,1,1,1,1,0.9817937
2015-01-09 06:00:00+00:00,0,0,0,0.973831916,0.971885881,1,1,1,1,1,0.9797794
2015-01-09 07:00:00+00:00,0,0,0,0.971188836,0.969248082,1,1,1,1,1,0.9777652
2015-01-09 08:00:00+00:00,0,0,0,0.968545756,0.966610284,1,1,1,1,1,0.975751
2015-01-09 09:00:00+00:00,0,0,0,0.965902675,0.963972485,1,1,1,1,1,0.9737368
2015-01-09 10:00:00+00:00,0,0,0,0.963259595,0.961334687,1,1,1,1,1,0.9717226
2015-01-09 11:00:00+00:00,0,0,0,0.960616515,0.958696888,1,1,1,1,1,0.9697084
2015-01-09 12:00:00+00:00,0,0,0,0.957973434,0.95605909,1,1,1,1,1,0.9676942
2015-01-09 13:00:00+00:00,0,0,0,0.955330354,0.953421291,1,1,1,1,1,0.96568
2015-01-09 14:00:00+00:00,0,0,0,0.952687274,0.950783493,1,1,1,1,1,0.9636658
2015-01-09 15:00:00+00:00,0,0,0,0.950044194,0.948145694,1,1,1,1,1,0.9616516
2015-01-09 16:00:00+00:00,0,0,0,0.947401113,0.945507896,1,1,1,1,1,0.9596374
2015-01-09 17:00:00+00:00,0,0,0,0.944758033,0.942870097,1,1,1,1,1,0.9576231
2015-01-09 18:00:00+00:00,0,0,0,0.942114953,0.940232298,1,1,1,1,1,0.9556089
2015-01-09 19:00:00+00:00,0,0,0,0.939471872,0.9375945,1,1,1,1,1,0.9535947
2015-01-09 20:00:00+00:00,0,0,0,0.936828792,0.934956701,1,1,1,1,1,0.9515805
2015-01-09 21:00:00+00:00,0,0,0,0.934185712,0.932318903,1,1,1,1,1,0.9495663
2015-01-09 22:00:00+00:00,0,0,0,0.931542632,0.929681104,1,1,1,1,1,0.9475521
2015-01-09 23:00:00+00:00,0,0,0,0.928899551,0.927043306,1,1,1,1,1,0.9455379
2015-01-10 00:00:00+00:00,0,0,0,0.926256471,0.924405507,1,1,1,1,1,0.9435237
2015-01-10 01:00:00+00:00,0,0,0,0.919325135,0.917488022,1,1,1,1,1,0.9382415
2015-01-10 02:00:00+00:00,0,0,0,0.912393798,0.910570537,1,1,1,1,1,0.9329594
2015-01-10 03:00:00+00:00,0,0,0,0.905462462,0.903653051,1,1,1,1,1,0.9276772
