,SE_P2HT_OTH,SE_STUR_BIO_CHP,SE_COMC_GAS_CHP,SE_GTUR_GAS_CHP
2016-08-01 01:00:00,464.31305357076184,385.9636664847016,34.669889395341734,36.805923609017306
2016-08-01 02:00:00,700.6525808387621,582.4226498755633,52.31717543891658,55.540470310904496
2016-08-01 03:00:00,1237.1223927347098,1028.3671564220767,92.37495305110197,98.06623339970153
2016-08-01 04:00:00,1540.9128027849488,1280.895185957675,115.05874329737847,122.14758657181756
2016-08-01 05:00:00,1475.0305451836925,1226.1300711186295,110.1393670993908,116.92512443810564
2016-08-01 06:00:00,1256.4687699668252,1044.448975858939,93.81953177590786,99.59981355007723
2016-08-01 07:00:00,1206.7956392357187,1003.157817845373,90.1104782932981,95.66224289370713
2016-08-01 08:00:00,1069.2794983696033,888.8465067130796,79.84225654670477,84.76138939238783
2016-08-01 09:00:00,991.3711143808157,824.0845851970655,74.02489897924316,78.58562067871262
2016-08-01 10:00:00,956.861360399205,795.3980964718513,71.44808287553533,75.85004527533972
2016-08-01 11:00:00,866.4039749625589,720.2047245103047,64.69370127036177,68.67952186952891
2016-08-01 12:00:00,838.6915967652048,697.1686047764206,62.624439853747916,66.48277192439613
2016-08-01 13:00:00,783.2668403704967,651.096365308652,58.48591702052018,62.08927203413055
2016-08-01 14:00:00,837.6458466445499,696.2993172392927,62.54635451727191,66.3998757000515
2016-08-01 15:00:00,885.2274771343465,735.8519001786034,66.09923732692968,70.17165390773232
2016-08-01 16:00:00,934.3777328051254,776.7084144236055,69.76924814130145,74.0677764519301
2016-08-01 17:00:00,1014.3776170352227,843.2089110138751,75.74277638171505,80.40933761429457
2016-08-01 18:00:00,1044.1814954738866,867.9836058220147,77.96820847128092,82.77188000811663
2016-08-01 19:00:00,955.2927352182227,794.0941651661597,71.33095487082133,75.72570093882277
2016-08-01 20:00:00,728.3649590361161,605.4587696094474,54.38643685553044,57.737220256037276
2016-08-01 21:00:00,462.74442838977944,384.65973517901,34.552761390627744,36.68157927250036
2016-08-01 22:00:00,304.3132851105668,252.96267330416254,22.722832914514516,24.12280128428837
2016-08-01 23:00:00,330.979913187266,275.12950550091904,24.71400899465239,26.23665500507653
2016-08-02 00:00:00,324.7054124633368,269.91378027815284,24.24549697579642,25.739277659008728
2016-08-02 01:00:00,409.9340472967085,340.7607145540609,30.609451898590002,32.49531994309636
2016-08-02 02:00:00,632.1559479358682,525.4843161936984,47.202585899738914,50.110767616330996
2016-08-02 03:00:00,1130.4558804279134,939.6998276350505,84.41024873055049,89.6108185165489
2016-08-02 04:00:00,1396.07641107425,1160.498862065488,104.2439241954532,110.66645950008584
2016-08-02 05:00:00,1354.7692813083827,1126.1620043489436,101.15955340465139,107.3920586384728
2016-08-02 06:00:00,1154.5081332029754,959.6934409889877,86.20621146949836,91.51743167647545
2016-08-02 07:00:00,1102.743502230559,916.6637079011662,82.34098731393661,87.4140685714161
2016-08-02 08:00:00,981.4364882345944,815.8263535943523,73.28308828272121,77.7981065474386
2016-08-02 09:00:00,904.5738543664617,751.9337196154659,67.54381605173558,71.70523405810803
2016-08-02 10:00:00,870.0641003848508,723.2472308902517,64.96699994802776,68.96965865473514
2016-08-02 11:00:00,788.4955909737711,655.4428029942906,58.87634370290015,62.503753155853715
2016-08-02 12:00:00,758.6917125351074,630.6681081861509,56.650911613334294,60.141210762031655
2016-08-02 13:00:00,717.9074578295674,596.7658942381704,53.6055834907705,56.90825801259095
2016-08-02 14:00:00,760.7832127764171,632.4066832604063,56.80708228628629,60.30700321072092
2016-08-02 15:00:00,804.7047178439216,668.9167598197699,60.08666641827807,63.78864463319553
2016-08-02 16:00:00,859.0837241179748,714.1197117504107,64.14710391502982,68.09924829911648
2016-08-02 17:00:00,927.0574819605412,770.6234016637117,69.22265078596948,73.48750288151766
2016-08-02 18:00:00,949.0182344942936,788.8784399433935,70.86244285196537,75.22832359275496
2016-08-02 19:00:00,869.5412253245235,722.8125871216878,64.92795727978977,68.92821054256282
2016-08-02 20:00:00,661.4369513142047,549.8243672332743,49.38897532106677,52.43186189798074
2016-08-02 21:00:00,415.16279789998293,345.1071522396994,30.999878580969973,32.909801064819526
2016-08-02 22:00:00,272.41790643059335,226.44940342176747,20.34123015199667,21.594466441777044
2016-08-02 23:00:00,280.7839073958323,233.40370371878913,20.96591284380463,22.257636236534115
2016-08-03 00:00:00,292.2871587230359,242.9658666271939,21.824851545040573,23.169494704325082
2016-08-03 01:00:00,337.2544139111952,280.3452307236853,25.182521013508353,26.734032351144325
2016-08-03 02:00:00,540.1299373182397,448.98701292646024,40.33107628985136,42.815899874003236
2016-08-03 03:00:00,987.7109889585236,821.0420788171186,73.75160030157718,78.29548389350641
2016-08-03 04:00:00,1262.2203956304268,1049.2300573131415,94.24900112652584,100.05574278397272
2016-08-03 05:00:00,1193.7237627275329,992.2917236312767,89.13441158734817,94.62604008939923
2016-08-03 06:00:00,1030.5867439053732,856.6828678393546,76.95309909709297,81.69422909163639
2016-08-03 07:00:00,991.3711143808157,824.0845851970655,74.02489897924316,78.58562067871262
2016-08-03 08:00:00,871.6327255658332,724.5511621959431,65.08412795274174,69.09400299125208
