year,month,day,hour,min,Vertical load [kW],index
2014,1,5,15,15,10178580,446
2014,1,5,15,30,10205100,447
2014,1,5,15,45,10182660,448
2014,1,5,16,0,10203060,449
2014,1,5,16,15,10189800,450
2014,1,5,16,30,10330560,451
2014,1,5,16,45,10565160,452
2014,1,5,17,0,10806900,453
2014,1,5,17,15,11088420,454
2014,1,5,17,30,11240400,455
2014,1,5,17,45,11294460,456
2014,1,5,18,0,11363820,457
2014,1,5,18,15,11348520,458
2014,1,5,18,30,11394420,459
2014,1,5,18,45,11315880,460
2014,1,5,19,0,11222040,461
2014,1,5,19,15,11068020,462
2014,1,5,19,30,11191440,463
2014,1,5,19,45,11083320,464
2014,1,5,20,0,11028240,465
2014,1,5,20,15,10733460,466
2014,1,5,20,30,10594740,467
2014,1,5,20,45,10459080,468
2014,1,5,21,0,10281600,469
2014,1,5,21,15,10158180,470
2014,1,5,21,30,10036800,471
2014,1,5,21,45,9903180,472
2014,1,5,22,0,9997020,473
2014,1,5,22,15,10169400,474
2014,1,5,22,30,10231620,475
2014,1,5,22,45,10093920,476
2014,1,5,23,0,10251000,477
2014,1,5,23,15,10064340,478
2014,1,5,23,30,9861360,479
2014,1,5,23,45,9565560,480
2014,1,6,0,0,9389100,481
2014,1,6,0,15,9264660,482
2014,1,6,0,30,9219780,483
2014,1,6,0,45,9068820,484
2014,1,6,1,0,8958660,485
2014,1,6,1,15,8863800,486
2014,1,6,1,30,8719980,487
2014,1,6,1,45,8511900,488
2014,1,6,2,0,8458860,489
2014,1,6,2,15,8479260,490
2014,1,6,2,30,8415000,491
2014,1,6,2,45,8341560,492
2014,1,6,3,0,8234460,493
2014,1,6,3,15,8129400,494
2014,1,6,3,30,8126340,495
2014,1,6,3,45,8161020,496
2014,1,6,4,0,8182440,497
2014,1,6,4,15,8257920,498
2014,1,6,4,30,8255880,499
2014,1,6,4,45,8338500,500
2014,1,6,5,0,8595540,501
2014,1,6,5,15,8689380,502
2014,1,6,5,30,8918880,503
2014,1,6,5,45,9186120,504
2014,1,6,6,0,9606360,505
2014,1,6,6,15,9885840,506
2014,1,6,6,30,10239780,507
2014,1,6,6,45,10618200,508
2014,1,6,7,0,10945620,509
2014,1,6,7,15,11163900,510
2014,1,6,7,30,11422980,511
2014,1,6,7,45,11515800,512
2014,1,6,8,0,11758560,513
2014,1,6,8,15,11886060,514
2014,1,6,8,30,11822820,515
2014,1,6,8,45,11860560,516
2014,1,6,9,0,11878920,517
2014,1,6,9,15,11889120,518
2014,1,6,9,30,11901360,519
2014,1,6,9,45,11912580,520
2014,1,6,10,0,11870760,521
2014,1,6,10,15,11921760,522
2014,1,6,10,30,11949300,523
2014,1,6,10,45,11946240,524
2014,1,6,11,0,11938080,525
2014,1,6,11,15,11948280,526
2014,1,6,11,30,11991120,527
2014,1,6,11,45,11968680,528
2014,1,6,12,0,11775900,529
2014,1,6,12,15,11617800,530
2014,1,6,12,30,11704500,531
2014,1,6,12,45,11639220,532
2014,1,6,13,0,11702460,533
2014,1,6,13,15,11723880,534
2014,1,6,13,30,11832000,535
2014,1,6,13,45,11803440,536
2014,1,6,14,0,11728980,537
2014,1,6,14,15,11689200,538
2014,1,6,14,30,11817720,539
2014,1,6,14,45,11733060,540
2014,1,6,15,0,11800380,541
2014,1,6,15,15,11682060,542
2014,1,6,15,30,11638200,543
2014,1,6,15,45,11734080,544
2014,1,6,16,0,11722860,545
2014,1,6,16,15,11797320,546
2014,1,6,16,30,11803440,547
2014,1,6,16,45,12018660,548
2014,1,6,17,0,12291000,549
2014,1,6,17,15,12485820,550
2014,1,6,17,30,12747960,551
2014,1,6,17,45,12764280,552
2014,1,6,18,0,12857100,553
2014,1,6,18,15,12756120,554
2014,1,6,18,30,12614340,555
2014,1,6,18,45,12448080,556
2014,1,6,19,0,12241020,557
2014,1,6,19,15,12052320,558
2014,1,6,19,30,12163500,559
2014,1,6,19,45,12120660,560
2014,1,6,20,0,11976840,561
2014,1,6,20,15,11778960,562
2014,1,6,20,30,11751420,563
2014,1,6,20,45,11628000,564
2014,1,6,21,0,11413800,565
2014,1,6,21,15,11325060,566
2014,1,6,21,30,11182260,567
2014,1,6,21,45,10886460,568
2014,1,6,22,0,11140440,569
2014,1,6,22,15,11291400,570
2014,1,6,22,30,11405640,571
2014,1,6,22,45,11186340,572
2014,1,6,23,0,11296500,573
2014,1,6,23,15,11100660,574
2014,1,6,23,30,10880340,575
2014,1,6,23,45,10716120,576
2014,1,7,0,0,10561080,577
2014,1,7,0,15,10329540,578
2014,1,7,0,30,10106160,579
2014,1,7,0,45,10055160,580
2014,1,7,1,0,10007220,581
2014,1,7,1,15,9782820,582
2014,1,7,1,30,9586980,583
2014,1,7,1,45,9392160,584
2014,1,7,2,0,9347280,585
2014,1,7,2,15,9265680,586
2014,1,7,2,30,9312600,587
2014,1,7,2,45,9213660,588
2014,1,7,3,0,9141240,589
2014,1,7,3,15,8969880,590
2014,1,7,3,30,9140220,591
2014,1,7,3,45,9152460,592
2014,1,7,4,0,9158580,593
2014,1,7,4,15,9256500,594
2014,1,7,4,30,9244260,595
2014,1,7,4,45,9358500,596
2014,1,7,5,0,9496200,597
2014,1,7,5,15,9692040,598
2014,1,7,5,30,9845040,599
2014,1,7,5,45,9991920,600
