Total Forecast,Total Measured & Upscaled,Monitored Capacity,Total Forecast,Total Measured & Upscaled,Monitored Capacity,Total Forecast,Total Measured & Upscaled,Monitored Capacity
998250.0,1190190.0,1487200.0,445290.0,568950.0,665950.0,552960.0,621240.0,821250.0
976810.0,1177920.0,1487200.0,433080.0,560760.0,665950.0,543730.0,617150.0,821250.0
955240.0,1166390.0,1487200.0,420870.0,559490.0,665950.0,534370.0,606900.0,821250.0
934440.0,1171840.0,1487200.0,412800.0,561780.0,665950.0,521640.0,610070.0,821250.0
913720.0,1166750.0,1487200.0,404770.0,567060.0,665950.0,508950.0,599690.0,821250.0
892830.0,1123740.0,1487200.0,396700.0,553620.0,665950.0,496130.0,570120.0,821250.0
872110.0,1105620.0,1487200.0,388670.0,544000.0,665950.0,483440.0,561620.0,821250.0
851260.0,1081980.0,1487200.0,380590.0,536000.0,665950.0,470670.0,545980.0,821250.0
830420.0,1071440.0,1487200.0,372550.0,539180.0,665950.0,457870.0,532270.0,821250.0
809630.0,1070440.0,1487200.0,364480.0,539170.0,665950.0,445150.0,531270.0,821250.0
788850.0,1038000.0,1487200.0,356440.0,514530.0,665950.0,432410.0,523470.0,821250.0
768000.0,1049980.0,1487200.0,348380.0,517490.0,665950.0,419620.0,532490.0,821250.0
747250.0,1041870.0,1487200.0,340340.0,517280.0,665950.0,406910.0,524590.0,821250.0
726410.0,993170.0,1487200.0,332280.0,494970.0,665950.0,394130.0,498200.0,821250.0
705660.0,980310.0,1487200.0,324230.0,491740.0,665950.0,381430.0,488570.0,821250.0
711450.0,906510.0,1487200.0,331720.0,443390.0,665950.0,379730.0,463130.0,821250.0
717270.0,813890.0,1487200.0,339210.0,384920.0,665950.0,378060.0,428970.0,821250.0
723120.0,809000.0,1487200.0,346690.0,391130.0,665950.0,376430.0,417870.0,821250.0
728910.0,779130.0,1487200.0,354200.0,381060.0,665950.0,374710.0,398070.0,821250.0
734740.0,769860.0,1487200.0,361690.0,385420.0,665950.0,373050.0,384440.0,821250.0
740570.0,783070.0,1487200.0,369180.0,403140.0,665950.0,371390.0,379930.0,821250.0
746440.0,781720.0,1487200.0,376650.0,402260.0,665950.0,369790.0,379460.0,821250.0
752300.0,779740.0,1487200.0,384180.0,393870.0,665950.0,368120.0,385870.0,821250.0
758090.0,761850.0,1487200.0,391660.0,368180.0,665950.0,366430.0,393670.0,821250.0
763930.0,755170.0,1487200.0,399160.0,390610.0,665950.0,364770.0,364560.0,821250.0
769730.0,822710.0,1487200.0,406630.0,461640.0,665950.0,363100.0,361060.0,821250.0
775550.0,837560.0,1487200.0,414120.0,479020.0,665950.0,361430.0,358530.0,821250.0
773800.0,857460.0,1487200.0,413290.0,498820.0,665950.0,360510.0,358650.0,821250.0
772110.0,869950.0,1487200.0,412480.0,519620.0,665950.0,359630.0,350340.0,821250.0
770390.0,814700.0,1487200.0,411670.0,492390.0,665950.0,358720.0,322310.0,821250.0
768670.0,777720.0,1487200.0,410840.0,488910.0,665950.0,357830.0,288810.0,821250.0
766980.0,769090.0,1487200.0,410050.0,487770.0,665950.0,356930.0,281310.0,821250.0
765170.0,765890.0,1487200.0,409210.0,475480.0,665950.0,355960.0,290420.0,821250.0
763470.0,756530.0,1487200.0,408400.0,466840.0,665950.0,355070.0,289690.0,821250.0
761770.0,777460.0,1487200.0,407580.0,467950.0,665950.0,354190.0,309520.0,821250.0
760040.0,837830.0,1487200.0,406780.0,483150.0,665950.0,353260.0,354670.0,821250.0
758290.0,867940.0,1487200.0,405950.0,487680.0,665950.0,352340.0,380260.0,821250.0
756560.0,826710.0,1487200.0,405120.0,446490.0,665950.0,351440.0,380230.0,821250.0
754840.0,776070.0,1487200.0,404300.0,379450.0,665950.0,350540.0,396610.0,821250.0
769180.0,792290.0,1487200.0,411090.0,371570.0,665950.0,358090.0,420720.0,821250.0
783640.0,839600.0,1487200.0,417900.0,406690.0,665950.0,365740.0,432920.0,821250.0
798040.0,867810.0,1487200.0,424700.0,433670.0,665950.0,373340.0,434130.0,821250.0
812450.0,915770.0,1487200.0,431490.0,476870.0,665950.0,380960.0,438900.0,821250.0
826840.0,951270.0,1487200.0,438290.0,503070.0,665950.0,388550.0,448210.0,821250.0
841180.0,958360.0,1487200.0,445070.0,501630.0,665950.0,396110.0,456720.0,821250.0
855560.0,943500.0,1487200.0,451860.0,483690.0,665950.0,403700.0,459810.0,821250.0
870010.0,957120.0,1487200.0,458660.0,491640.0,665950.0,411350.0,465480.0,821250.0
884330.0,997860.0,1487200.0,465450.0,520730.0,665950.0,418880.0,477140.0,821250.0
898720.0,1011530.0,1487200.0,472240.0,524640.0,665950.0,426480.0,486890.0,821250.0
913140.0,995590.0,1487200.0,479030.0,516630.0,665950.0,434110.0,478960.0,821250.0
927580.0,992550.0,1487200.0,485840.0,517510.0,665950.0,441740.0,475050.0,821250.0
939100.0,1003690.0,1487200.0,491720.0,526010.0,665950.0,447380.0,477680.0,821250.0
950590.0,1010050.0,1487200.0,497610.0,520980.0,665950.0,452980.0,489080.0,821250.0
962090.0,1030090.0,1487200.0,503480.0,528080.0,665950.0,458610.0,502010.0,821250.0
973660.0,1051570.0,1487200.0,509350.0,548550.0,665950.0,464310.0,503020.0,821250.0
985190.0,1064250.0,1487200.0,515240.0,549460.0,665950.0,469950.0,514790.0,821250.0
996680.0,1069250.0,1487200.0,521110.0,548290.0,665950.0,475570.0,520950.0,821250.0
1008210.0,1054720.0,1487200.0,526980.0,544120.0,665950.0,481230.0,510600.0,821250.0
1038210.0,1065680.0,1487200.0,543590.0,554700.0,665950.0,494620.0,510980.0,821250.0
1055190.0,1095400.0,1487200.0,551430.0,568150.0,665950.0,503760.0,527250.0,821250.0
1072000.0,1140880.0,1487200.0,559220.0,577340.0,665950.0,512780.0,563530.0,821250.0
1088940.0,1148570.0,1487200.0,567050.0,583600.0,665950.0,521890.0,564970.0,821250.0
1105860.0,1147870.0,1487200.0,574860.0,584330.0,665950.0,531000.0,563550.0,821250.0
1114910.0,1161790.0,1487200.0,577360.0,584570.0,665950.0,537550.0,577220.0,821250.0
1123990.0,1169570.0,1487200.0,579850.0,581930.0,665950.0,544140.0,587640.0,821250.0
1133070.0,1192730.0,1487200.0,582330.0,586920.0,665950.0,550740.0,605820.0,821250.0
1142100.0,1189220.0,1487200.0,584830.0,577610.0,665950.0,557270.0,611610.0,821250.0
1151180.0,1213780.0,1487200.0,587330.0,578570.0,665950.0,563850.0,635220.0,821250.0
1160280.0,1216520.0,1487200.0,589810.0,576740.0,665950.0,570470.0,639780.0,821250.0
1169340.0,1211020.0,1487200.0,592310.0,579970.0,665950.0,577030.0,631050.0,821250.0
1178370.0,1226870.0,1487200.0,594810.0,583700.0,665950.0,583560.0,643170.0,821250.0
1187450.0,1226080.0,1487200.0,597300.0,583170.0,665950.0,590150.0,642910.0,821250.0
1196510.0,1234910.0,1487200.0,599790.0,587920.0,665950.0,596720.0,646990.0,821250.0
1205600.0,1240160.0,1487200.0,602260.0,590380.0,665950.0,603340.0,649780.0,821250.0
1214620.0,1246880.0,1487200.0,604770.0,588700.0,665950.0,609850.0,658180.0,821250.0
1218930.0,1229810.0,1487200.0,605190.0,587580.0,665950.0,613740.0,642230.0,821250.0
1223180.0,1246280.0,1487200.0,605600.0,587190.0,665950.0,617580.0,659090.0,821250.0
1227470.0,1248630.0,1487200.0,606010.0,591190.0,665950.0,621460.0,657430.0,821250.0
1231800.0,1258680.0,1487200.0,606460.0,590630.0,665950.0,625340.0,668050.0,821250.0
1236030.0,1281320.0,1487200.0,606860.0,593460.0,665950.0,629170.0,687860.0,821250.0
1240250.0,1278220.0,1487200.0,607270.0,594740.0,665950.0,632980.0,683480.0,821250.0
1244530.0,1289030.0,1487200.0,607710.0,596530.0,665950.0,636820.0,692500.0,821250.0
1248780.0,1283180.0,1487200.0,608130.0,596330.0,665950.0,640650.0,686850.0,821250.0
1253130.0,1282800.0,1487200.0,608550.0,594060.0,665950.0,644580.0,688730.0,821250.0
1257420.0,1282190.0,1487200.0,608980.0,592460.0,665950.0,648440.0,689730.0,821250.0
1261610.0,1266320.0,1487200.0,609400.0,585810.0,665950.0,652210.0,680510.0,821250.0
1265940.0,1274580.0,1487200.0,609840.0,584080.0,665950.0,656100.0,690490.0,821250.0
1265360.0,1244670.0,1487200.0,609000.0,582890.0,665950.0,656360.0,661780.0,821250.0
1264730.0,1229430.0,1487200.0,608170.0,572590.0,665950.0,656560.0,656830.0,821250.0
1264120.0,1238620.0,1487200.0,607360.0,582330.0,665950.0,656760.0,656290.0,821250.0
1263540.0,1245870.0,1487200.0,606560.0,588000.0,665950.0,656980.0,657870.0,821250.0
1262860.0,1212740.0,1487200.0,605710.0,582880.0,665950.0,657150.0,629860.0,821250.0
1262230.0,1229780.0,1487200.0,604890.0,570830.0,665950.0,657340.0,658950.0,821250.0
1261750.0,1223460.0,1487200.0,604100.0,558400.0,665950.0,657650.0,665050.0,821250.0
1261070.0,1222540.0,1487200.0,603270.0,558950.0,665950.0,657800.0,663590.0,821250.0
1260360.0,1210580.0,1487200.0,602440.0,551760.0,665950.0,657920.0,658820.0,821250.0
1259790.0,1209300.0,1487200.0,601630.0,552660.0,665950.0,658160.0,656640.0,821250.0
1259200.0,1199390.0,1487200.0,600820.0,547890.0,665950.0,658380.0,651510.0,821250.0
1258630.0,1189080.0,1487200.0,600000.0,545430.0,665950.0,658630.0,643640.0,821250.0
1259800.0,1189130.0,1487200.0,597440.0,548830.0,665950.0,662360.0,640300.0,821250.0
1261110.0,1219260.0,1487200.0,594900.0,554190.0,665950.0,666210.0,665070.0,821250.0
1262310.0,1232520.0,1487200.0,592350.0,552610.0,665950.0,669960.0,679920.0,821250.0
1263620.0,1242790.0,1487200.0,589780.0,560890.0,665950.0,673840.0,681900.0,821250.0
1264860.0,1245380.0,1487200.0,587260.0,558490.0,665950.0,677600.0,686900.0,821250.0
1266020.0,1226000.0,1487200.0,584690.0,556890.0,665950.0,681330.0,669110.0,821250.0
1267320.0,1257660.0,1487200.0,582120.0,578110.0,665950.0,685200.0,679550.0,821250.0
1268550.0,1290620.0,1487200.0,579580.0,589220.0,665950.0,688970.0,701400.0,821250.0
1269780.0,1288270.0,1487200.0,577040.0,581510.0,665950.0,692740.0,706760.0,821250.0
1271070.0,1286340.0,1487200.0,574490.0,583670.0,665950.0,696580.0,702670.0,821250.0
1272250.0,1289970.0,1487200.0,571930.0,584920.0,665950.0,700320.0,705050.0,821250.0
1273530.0,1280810.0,1487200.0,569410.0,589150.0,665950.0,704120.0,691670.0,821250.0
1277990.0,1268810.0,1487200.0,574170.0,587110.0,665950.0,703820.0,681690.0,821250.0
1282550.0,1261650.0,1487200.0,578980.0,588440.0,665950.0,703570.0,673210.0,821250.0
1287140.0,1244210.0,1487200.0,583800.0,587180.0,665950.0,703340.0,657030.0,821250.0
1291610.0,1232490.0,1487200.0,588580.0,578420.0,665950.0,703030.0,654060.0,821250.0
1296070.0,1239940.0,1487200.0,593370.0,582160.0,665950.0,702700.0,657770.0,821250.0
1300610.0,1244620.0,1487200.0,598160.0,584480.0,665950.0,702450.0,660140.0,821250.0
1305160.0,1255140.0,1487200.0,602960.0,585670.0,665950.0,702200.0,669470.0,821250.0
1309610.0,1256830.0,1487200.0,607750.0,586360.0,665950.0,701860.0,670470.0,821250.0
1314080.0,1270620.0,1487200.0,612530.0,587840.0,665950.0,701550.0,682780.0,821250.0
1318610.0,1171460.0,1487200.0,617350.0,481120.0,665950.0,701260.0,690340.0,821250.0
1323100.0,1288280.0,1487200.0,622140.0,592390.0,665950.0,700960.0,695880.0,821250.0
1327640.0,1296420.0,1487200.0,626940.0,583670.0,665950.0,700700.0,712750.0,821250.0
1328580.0,1297510.0,1487200.0,627130.0,583900.0,665950.0,701450.0,713620.0,821250.0
1329500.0,1286240.0,1487200.0,627280.0,584030.0,665950.0,702220.0,702200.0,821250.0
1330390.0,1250450.0,1487200.0,627450.0,552050.0,665950.0,702940.0,698400.0,821250.0
1331250.0,1253230.0,1487200.0,627590.0,561190.0,665950.0,703660.0,692040.0,821250.0
1332220.0,1254420.0,1487200.0,627790.0,583660.0,665950.0,704430.0,670760.0,821250.0
1333150.0,1235300.0,1487200.0,627960.0,584620.0,665950.0,705190.0,650680.0,821250.0
1334010.0,1248290.0,1487200.0,628110.0,589040.0,665950.0,705900.0,659250.0,821250.0
1334990.0,1255850.0,1487200.0,628290.0,596740.0,665950.0,706700.0,659100.0,821250.0
1335900.0,1079270.0,1487200.0,628470.0,431710.0,665950.0,707430.0,647560.0,821250.0
1336820.0,1152940.0,1487200.0,628620.0,488780.0,665950.0,708200.0,664160.0,821250.0
1337770.0,1217730.0,1487200.0,628800.0,541490.0,665950.0,708970.0,676240.0,821250.0
1338630.0,1217070.0,1487200.0,628960.0,537200.0,665950.0,709670.0,679880.0,821250.0
1330780.0,1206520.0,1487200.0,622080.0,514600.0,665950.0,708700.0,691920.0,821250.0
1323000.0,1165220.0,1487200.0,615210.0,477420.0,665950.0,707790.0,687800.0,821250.0
1315140.0,1133220.0,1487200.0,608370.0,451500.0,665950.0,706770.0,681720.0,821250.0
1307300.0,1163260.0,1487200.0,601490.0,471770.0,665950.0,705810.0,691490.0,821250.0
1299450.0,1260220.0,1487200.0,594610.0,556780.0,665950.0,704840.0,703430.0,821250.0
1291670.0,1298520.0,1487200.0,587720.0,588410.0,665950.0,703950.0,710110.0,821250.0
1283740.0,1299160.0,1487200.0,580830.0,589750.0,665950.0,702910.0,709410.0,821250.0
1275870.0,1302530.0,1487200.0,573950.0,577070.0,665950.0,701920.0,725460.0,821250.0
1268070.0,1307580.0,1487200.0,567070.0,585340.0,665950.0,701000.0,722240.0,821250.0
1260170.0,1318520.0,1487200.0,560200.0,594370.0,665950.0,699970.0,724150.0,821250.0
1252390.0,1275490.0,1487200.0,553360.0,577940.0,665950.0,699030.0,697550.0,821250.0
1244660.0,1195980.0,1487200.0,546500.0,509830.0,665950.0,698160.0,686150.0,821250.0
1242660.0,1162350.0,1487200.0,546730.0,490370.0,665950.0,695930.0,671970.0,821250.0
1240830.0,1186680.0,1487200.0,546980.0,530800.0,665950.0,693850.0,655880.0,821250.0
1239000.0,1230610.0,1487200.0,547230.0,578880.0,665950.0,691770.0,651730.0,821250.0
1237110.0,1230650.0,1487200.0,547450.0,577150.0,665950.0,689660.0,653500.0,821250.0
1235250.0,1214070.0,1487200.0,547710.0,574810.0,665950.0,687540.0,639270.0,821250.0
1233440.0,1196950.0,1487200.0,547970.0,575950.0,665950.0,685470.0,621000.0,821250.0
1231550.0,1125770.0,1487200.0,548190.0,558710.0,665950.0,683360.0,567070.0,821250.0
1232360.0,1120360.0,1487200.0,594720.0,551080.0,665950.0,637640.0,569280.0,821250.0
