Total ,Coal ,Fuel ,Gas ,Nuclear ,Water ,Wind ,Other 
7813429,0,0,1217972,5538400,54633,547452,454972
7831322,0,0,1218393,5539800,54973,559802,458354
7937417,0,0,1344257,5540400,54795,557470,440495
7911008,0,0,1307286,5538800,54977,562250,447695
7928673,0,0,1296961,5542800,55128,563838,469946
8035893,0,0,1395932,5543400,55224,548806,492531
8027577,0,0,1396764,5543800,55176,553760,478077
8332058,0,0,1293393,5543800,470003,565567,459295
8337520,0,0,1130632,5543800,642617,560913,459558
8394423,0,0,1276699,5543800,556899,556243,460782
8546216,0,0,1385527,5541800,632038,553518,433333
8792374,0,0,1332319,5534800,941974,552380,430901
8783030,0,0,1308096,5537800,954503,539144,443487
8725313,0,0,1253183,5540200,932112,543499,456319
8749351,0,0,1273616,5537400,944705,554107,439523
8818086,0,0,1353967,5539800,936766,555129,432424
8819303,0,0,1325607,5537800,967732,544438,443726
8692401,0,0,1239963,5536800,929817,529894,455927
8586452,0,0,1174778,5539800,881405,526948,463521
8621835,0,0,1249865,5537800,842374,530772,461024
8590555,0,0,1294872,5538800,772508,522871,461504
8531685,0,0,1228153,5538800,767880,545664,451188
8320932,0,0,1113210,5537800,695465,526306,448151
7859183,0,0,1080680,5538400,314214,492776,433113
7664762,0,0,1151258,5535800,108657,424516,444531
7640053,0,0,1206395,5539800,52196,398849,442813
7561662,0,0,1121506,5537400,52246,397852,452658
7594637,0,0,1116279,5536800,52463,429753,459342
7699555,0,0,1167666,5537400,52452,490298,451739
7702970,0,0,1169344,5539800,52148,494325,447353
7611746,0,0,1160319,5538400,51423,443673,417931
7593624,0,0,1204627,5539400,51690,396392,401515
7604739,0,0,1190377,5540800,51525,391872,430165
7572229,0,0,1091236,5540400,51237,445331,444025
7467834,0,0,1029097,5541800,50921,440430,405586
7524170,0,0,1117698,5540400,50950,416086,399036
7472464,0,0,1040189,5541800,50924,442090,397461
7474028,0,0,1058792,5540800,50978,427374,396084
7492863,0,0,1031504,5542800,51032,461266,406261
7521896,0,0,1073012,5542200,51161,441529,413994
7484073,0,0,1032854,5542800,51263,446907,410249
7474413,0,0,1041853,5542400,51183,423023,415954
7457086,0,0,1037527,5541800,51347,413185,413227
7435660,0,0,1046350,5541400,51462,405943,390505
7429582,0,0,1039311,5544800,51279,397676,396516
7441357,0,0,1040507,5541800,51439,407025,400586
7462249,0,0,1042650,5545800,51507,433244,389048
7541606,0,0,1091881,5541800,51477,480082,376366
7609517,0,0,1118098,5544800,51612,494129,400878
7598779,0,0,1139335,5544800,51783,476094,386767
7577941,0,0,1097521,5544800,51838,477476,406306
7578109,0,0,1131964,5545800,52013,438900,409432
7527745,0,0,1162139,5546800,51927,379484,387395
7549823,0,0,1199419,5545200,52110,361872,391222
7503155,0,0,1180061,5547800,52109,325494,397691
7372065,0,0,1074354,5545800,52147,308407,391357
7417750,0,0,1108382,5548200,52220,302831,406117
7436750,0,0,1106385,5546800,52349,319376,411840
7413250,0,0,1073216,5549200,52260,314716,423858
7598152,0,0,1212363,5547800,125627,287699,424663
7664482,0,0,1278660,5551200,172596,241968,420058
7729576,0,0,1316274,5547200,246772,204127,415203
7777770,0,0,1295046,5548800,287521,228497,417906
7623458,0,0,1183275,5548200,241643,230604,419736
7675850,0,0,1192973,5548200,291160,227040,416477
7728523,0,0,1182076,5550200,340642,238030,417575
7744727,0,0,1189234,5548800,338077,235450,433166
7724216,0,0,1195722,5548800,344861,216497,418336
7810770,0,0,1184866,5547200,444755,223312,410637
7848595,0,0,1187459,5547800,443546,258210,411580
7978144,0,0,1231420,5549800,564130,237691,395103
7701653,0,0,1115605,5548000,373067,264694,400287
7692321,0,0,1149206,5547800,319503,282234,393578
7601108,0,0,1166256,5547800,217602,282625,386825
7771576,0,0,1253255,5548800,265485,303781,400255
7822305,0,0,1215640,5546800,345791,304084,409990
7825472,0,0,1202291,5547800,371518,302340,401523
7727118,0,0,1138425,5547800,311488,326630,402775
7761424,0,0,1203305,5545800,293434,314604,404281
7891699,0,0,1194440,5545800,466516,296956,387987
8030064,0,0,1217046,5546400,572951,286423,407244
7964486,0,0,1173702,5543800,579880,231664,435440
8034084,0,0,1205327,5543800,655710,202325,426922
8118243,0,0,1279217,5546200,647596,201780,443450
8272510,0,0,1337901,5542800,741063,213288,437458
8424763,0,0,1372572,5546800,832516,227727,445148
8418479,0,0,1354558,5542800,846416,226594,448111
8485816,0,0,1410497,5544800,828287,233315,468917
8460180,0,0,1457710,5545800,764619,232068,459983
8442675,0,0,1380020,5545800,821534,259441,435880
8430784,0,0,1490736,5546800,702414,264844,425990
8264141,0,0,1505064,5546200,534266,259082,419529
8030901,0,0,1338906,5544800,466868,268019,412308
8061430,0,0,1364746,5543800,450731,282164,419989
7957523,0,0,1374242,5544800,319097,294511,424873
7722573,0,0,1346626,5543800,64802,346843,420502
7705520,0,0,1288144,5544200,53940,386894,432342
7836656,0,0,1379900,5541800,54288,415955,444713
7861761,0,0,1386995,5541800,54008,423219,455739
7755554,0,0,1268659,5544800,53252,430508,458335
7773497,0,0,1278320,5542800,53424,464635,434318
7961348,0,0,1391250,5540800,53488,531813,443997
7999984,0,0,1392160,5542800,53452,545508,466064
7934039,0,0,1325450,5541200,53540,555353,458496
8026890,0,0,1414077,5541800,53514,574659,442840
8080457,0,0,1458112,5541800,53357,588537,438651
8059633,0,0,1441022,5539200,53674,597176,428561
8260308,0,0,1401583,5540800,286639,610380,420906
8126247,0,0,1272578,5541200,258092,625199,429178
