,HE Ujmani,HDAM,HROR
2010-01-06 18:00:00+00:00,0.363526539,0.363526539,0.953419
2010-01-06 19:00:00+00:00,0.363992959,0.363992959,0.95343
2010-01-06 20:00:00+00:00,0.364008411,0.364008411,0.95344
2010-01-06 21:00:00+00:00,0.364024599,0.364024599,0.953451
2010-01-06 22:00:00+00:00,0.364493225,0.364493225,0.953461
2010-01-06 23:00:00+00:00,0.364962661,0.364962661,0.953472
2010-01-07 00:00:00+00:00,0.365432906,0.365432906,0.953615
2010-01-07 01:00:00+00:00,0.36590396,0.36590396,0.953759
2010-01-07 02:00:00+00:00,0.366375825,0.366375825,0.953903
2010-01-07 03:00:00+00:00,0.366848499,0.366848499,0.954046
2010-01-07 04:00:00+00:00,0.367321982,0.367321982,0.95419
2010-01-07 05:00:00+00:00,0.367796275,0.367796275,0.954333
2010-01-07 06:00:00+00:00,0.368271378,0.368271378,0.954477
2010-01-07 07:00:00+00:00,0.368295588,0.368295588,0.95462
2010-01-07 08:00:00+00:00,0.368320607,0.368320607,0.954764
2010-01-07 09:00:00+00:00,0.368346435,0.368346435,0.954908
2010-01-07 10:00:00+00:00,0.368824776,0.368824776,0.955051
2010-01-07 11:00:00+00:00,0.368852224,0.368852224,0.955195
2010-01-07 12:00:00+00:00,0.369332184,0.369332184,0.955338
2010-01-07 13:00:00+00:00,0.369812954,0.369812954,0.955482
2010-01-07 14:00:00+00:00,0.370294534,0.370294534,0.955625
2010-01-07 15:00:00+00:00,0.370776923,0.370776923,0.955769
2010-01-07 16:00:00+00:00,0.371260122,0.371260122,0.955913
2010-01-07 17:00:00+00:00,0.371292427,0.371292427,0.956056
2010-01-07 18:00:00+00:00,0.371777245,0.371777245,0.9562
2010-01-07 19:00:00+00:00,0.37181117,0.37181117,0.956343
2010-01-07 20:00:00+00:00,0.371845904,0.371845904,0.956487
2010-01-07 21:00:00+00:00,0.371881448,0.371881448,0.956631
2010-01-07 22:00:00+00:00,0.372369504,0.372369504,0.956774
2010-01-07 23:00:00+00:00,0.372407526,0.372407526,0.956918
2010-01-08 00:00:00+00:00,0.372898918,0.372898918,0.957581
2010-01-08 01:00:00+00:00,0.373391979,0.373391979,0.958244
2010-01-08 02:00:00+00:00,0.373886709,0.373886709,0.958907
2010-01-08 03:00:00+00:00,0.374383106,0.374383106,0.95957
2010-01-08 04:00:00+00:00,0.374881172,0.374881172,0.960233
2010-01-08 05:00:00+00:00,0.375380906,0.375380906,0.960896
2010-01-08 06:00:00+00:00,0.375430606,0.375430606,0.961559
2010-01-08 07:00:00+00:00,0.375481974,0.375481974,0.962222
2010-01-08 08:00:00+00:00,0.37553501,0.37553501,0.962885
2010-01-08 09:00:00+00:00,0.376041417,0.376041417,0.963548
2010-01-08 10:00:00+00:00,0.376097789,0.376097789,0.964211
2010-01-08 11:00:00+00:00,0.376607533,0.376607533,0.964874
2010-01-08 12:00:00+00:00,0.377118945,0.377118945,0.965537
