,SK_P2HT_OTH,SK_STUR_BIO_CHP,SK_COMC_GAS_CHP
2016-12-08 19:00:00,1636.552644050091,1087.1246644042167,521.2851874397269
2016-12-08 20:00:00,1492.6501494207052,991.533513242866,475.44844692383333
2016-12-08 21:00:00,1200.6633782667207,797.5733484077833,382.44295804799447
2016-12-08 22:00:00,1011.0072699602997,671.5891132874389,322.0324846501244
2016-12-08 23:00:00,893.179415383418,593.3187519091705,284.5012048089055
2016-12-09 00:00:00,930.0774909294144,617.829303489004,296.2542151975962
2016-12-09 01:00:00,953.2002849382387,633.1892491456997,303.6194350411757
2016-12-09 02:00:00,1036.0979613315772,688.2562883617256,330.02453171443403
2016-12-09 03:00:00,1191.8078401356818,791.6908160286233,379.6222355547087
2016-12-09 04:00:00,1564.970377490858,1039.5741943393398,498.484347285667
2016-12-09 05:00:00,1859.171033177602,1235.0049922692124,592.1950167848273
2016-12-09 06:00:00,1843.6738414482836,1224.7105606056823,587.2587524215772
2016-12-09 07:00:00,1814.1553810114867,1205.1021193418155,577.8563441106247
2016-12-09 08:00:00,1728.797832915082,1148.4010433538006,550.6677134114536
2016-12-09 09:00:00,1635.3227081985576,1086.3076460182224,520.8934204267706
2016-12-09 10:00:00,1558.8206982331922,1035.4891024093674,496.5255122208853
2016-12-09 11:00:00,1511.5911615343166,1004.1155963871805,481.4816589233612
2016-12-09 12:00:00,1498.0618671674515,995.1283941412416,477.1722217808413
2016-12-09 13:00:00,1505.4414822766505,1000.0305044572083,479.5228238585794
2016-12-09 14:00:00,1525.1204559011821,1013.1027986331195,485.7910960658811
2016-12-09 15:00:00,1585.8792869669226,1053.4635069012454,505.1443865059251
2016-12-09 16:00:00,1618.841567788013,1075.3595996458967,515.6437424531554
2016-12-09 17:00:00,1611.4619526788133,1070.4574893299298,513.2931403754172
2016-12-09 18:00:00,1590.3070560324422,1056.4047730908255,506.55474775256795
2016-12-09 19:00:00,1550.7031216130727,1030.096781061804,493.9398499353733
2016-12-09 20:00:00,1412.7043190710463,938.4273181532268,449.9835910816702
2016-12-09 21:00:00,1126.6212400044215,748.3888415709172,358.8585838680218
2016-12-09 22:00:00,940.1629649119867,624.5288542541584,299.4667047038383
2016-12-09 23:00:00,910.8904916454962,605.0838166674904,290.142649795477
2016-12-10 00:00:00,949.2644902133325,630.5747903105174,302.3657805997153
2016-12-10 01:00:00,971.4033355409302,645.2811212584176,309.4175868329297
2016-12-10 02:00:00,1055.5309477858018,701.165178860438,336.21445051914446
2016-12-10 03:00:00,1212.962736782053,805.7435322677277,386.360628177558
2016-12-10 04:00:00,1593.9968635870418,1058.8558282488088,507.730048791437
