,FI_P2HT_OTH,FI_STUR_BIO_CHP,FI_ICEN_GAS_CHP
2016-08-11 08:00:00,891.9100695448794,271.63158064548804,33.10509889116886
2016-08-11 09:00:00,863.8409665213088,263.08312370802565,32.06325570191563
2016-08-11 10:00:00,768.1768807062833,233.9485867987151,28.512484016093406
2016-08-11 11:00:00,745.8361660548701,227.14471290971446,27.683261885871453
2016-08-11 12:00:00,689.1251211705135,209.87334072994352,25.57831340146187
2016-08-11 13:00:00,744.6904883804388,226.7957963000221,27.640737674065196
2016-08-11 14:00:00,803.1200497764423,244.59054339433152,29.80947247618416
2016-08-11 15:00:00,833.4805081488757,253.83683355117853,30.93636408904989
2016-08-11 16:00:00,895.9199414053893,272.8527887794112,33.25393363249074
2016-08-11 17:00:00,927.426077452254,282.4479955459506,34.423349457162736
2016-08-11 18:00:00,843.218768381543,256.8026247335635,31.297819889403055
2016-08-11 19:00:00,626.6856879139999,190.8573855017109,23.26074385802102
2016-08-11 20:00:00,387.2390539578281,117.9338140760115,14.373183590513904
2016-08-11 21:00:00,313.34284395699996,95.42869275085545,11.63037192901051
2016-08-11 22:00:00,338.54775279449177,103.10485816408698,12.5659045887481
2016-08-11 23:00:00,331.67368674790305,101.01135850593292,12.310759317910577
2016-08-12 00:00:00,415.8809958186142,126.65672931832003,15.436288885670255
2016-08-12 01:00:00,650.7449190770603,198.18463430525009,24.15375230595236
2016-08-12 02:00:00,1204.6800746646636,366.88581509149725,44.71420871427623
2016-08-12 03:00:00,1536.3537614125667,467.8971735974302,57.02496803218681
2016-08-12 04:00:00,1457.302001876797,443.82192752865865,54.09079741755528
2016-08-12 05:00:00,1222.438078618351,372.29402254172857,45.37333399727317
2016-08-12 06:00:00,1176.610971641093,358.3373581540349,43.67236552502301
2016-08-12 07:00:00,1050.0135886164187,319.78207278303114,38.973440120431924
2016-08-12 08:00:00,989.8655107087677,301.4639507741832,36.74091900060358
2016-08-12 09:00:00,958.3593746619031,291.8687440076438,35.57150317593159
2016-08-12 10:00:00,852.9570286142102,259.76841591594837,31.65927568975621
2016-08-12 11:00:00,827.1792809395027,251.9177921978707,30.702480924115495
2016-08-12 12:00:00,766.458364194636,233.42521188417658,28.448697698384024
2016-08-12 13:00:00,824.8879255906398,251.219958978486,30.617432500502986
2016-08-12 14:00:00,888.4730365215848,270.584830816411,32.97752625575009
2016-08-12 15:00:00,924.5618832661755,281.5757040217198,34.317038927647104
2016-08-12 16:00:00,996.7395767553564,303.5574504323373,36.996064271441114
2016-08-12 17:00:00,1029.9642293138684,313.6760321134152,38.22926641382248
2016-08-12 18:00:00,937.1643376849213,285.4137867283355,34.78480525751589
2016-08-12 19:00:00,700.0090590776124,213.1880485220208,25.98229341362129
2016-08-12 20:00:00,433.63899977230164,132.06493676855135,16.095414168667197
2016-08-12 21:00:00,350.0045295388062,106.5940242610104,12.991146706810644
2016-08-12 22:00:00,378.6464713995923,115.31693950331893,14.054252001966997
2016-08-12 23:00:00,371.7724053530036,113.22343984516489,13.799106731129472
2016-08-13 00:00:00,462.28094163308776,140.7878520108599,17.158519463823552
2016-08-13 01:00:00,720.6312572173784,219.46854749648293,26.74772922613386
2016-08-13 02:00:00,1309.5095818751406,398.81168487834657,48.605174094548495
2016-08-13 03:00:00,1675.5535988559873,510.29054167504967,62.19165976664669
2016-08-13 04:00:00,1596.5018393202172,486.2152956062781,59.257489152015154
2016-08-13 05:00:00,1340.4428790847896,408.23243334003973,49.75332781331735
2016-08-13 06:00:00,1290.0330614098061,392.8801025135768,47.88226249384218
2016-08-13 07:00:00,1152.551740478033,351.0101093504958,42.779357077091674
2016-08-13 08:00:00,1085.5295965237933,330.5984876834938,40.29169068642581
2016-08-13 09:00:00,1050.0135886164187,319.78207278303114,38.973440120431924
2016-08-13 10:00:00,936.01866001049,285.06487011864317,34.742281045709646
2016-08-13 11:00:00,907.3767181497037,276.3419548763346,33.679175750553284
2016-08-13 12:00:00,842.0730907071115,256.45370812387114,31.2552956775968
2016-08-13 13:00:00,905.6582016380567,275.8185799617961,33.615389432843905
2016-08-13 14:00:00,973.2531844295117,296.40465993364427,36.124317929412896
2016-08-13 15:00:00,1013.924741871828,308.7911995777224,37.63392744853492
2016-08-13 16:00:00,1092.9765014075979,332.86644564649396,40.56809806316646
2016-08-13 17:00:00,1129.638186989404,344.0317771566489,41.92887284096659
2016-08-13 18:00:00,1029.3913904766528,313.50157380856905,38.20800430791935
2016-08-13 19:00:00,772.7595914040091,235.34425323748445,28.68258086331842
2016-08-13 20:00:00,481.1846232612066,146.5449760707835,17.86016895862674
2016-08-13 21:00:00,451.39700372598907,137.47314421878264,16.754539451664137
2016-08-13 22:00:00,482.330300935638,146.89389268047583,17.902693170432993
2016-08-13 23:00:00,480.03894558677507,146.19605946109115,17.817644746820488
2016-08-14 00:00:00,573.9845148901535,174.80722145586319,21.304630114933328
2016-08-14 01:00:00,850.6656732653473,259.0705826965637,31.57422726614371
2016-08-14 02:00:00,1448.1365804813454,441.0305946511199,53.75060372310524
2016-08-14 03:00:00,1875.4743530442743,571.1764900663634,69.61213472683804
2016-08-14 04:00:00,1806.7336925783875,550.2414934848229,67.0606820184628
2016-08-14 05:00:00,1574.1611246688044,479.41142171727745,58.4282670217932
2016-08-14 06:00:00,1480.7883942026415,450.9747180273516,54.96254375958349
2016-08-14 07:00:00,1339.2972014103584,407.8835167303475,49.7108036015111
2016-08-14 08:00:00,1250.5071816419213,380.84247947919096,46.41517718652641
2016-08-14 09:00:00,1208.6899465251736,368.1070232254205,44.86304345559813
2016-08-14 10:00:00,1111.307344198501,338.44911140157143,41.248485452066525
2016-08-14 11:00:00,1082.6654023377148,329.7261961592629,40.18538015691017
2016-08-14 12:00:00,1050.0135886164187,319.78207278303114,38.973440120431924
2016-08-14 13:00:00,1117.6085714078738,340.3681527548793,41.48236861700092
2016-08-14 14:00:00,1191.504781408702,362.87327408003534,44.22518027850431
2016-08-14 15:00:00,1251.0800204791371,381.0169377840371,46.43643929242953
2016-08-14 16:00:00,1334.7144907126324,406.487850291578,49.54070675428608
2016-08-14 17:00:00,1344.4527509452996,409.453641473963,49.90216255463925
2016-08-14 18:00:00,1235.6133718743124,376.3065635531905,45.8623624330451
2016-08-14 19:00:00,917.1149783823712,279.30774605871954,34.04063155090645
2016-08-14 20:00:00,583.7227751228208,177.7730126382481,21.66608591528649
2016-08-14 21:00:00,498.94262721489395,151.9531835210148,18.519294241623683
2016-08-14 22:00:00,504.0981767498355,153.52330826463034,18.710653194751828
2016-08-14 23:00:00,541.9055400060731,165.0375563844776,20.11395218435821
2016-08-15 00:00:00,611.2190393091755,186.14701127086428,22.686666998636586
2016-08-15 01:00:00,910.8137511729981,277.3887047054116,33.80674838597205
2016-08-15 02:00:00,1558.69447606398,474.7010474864308,57.85419016240876
2016-08-15 03:00:00,1939.0594639752194,590.5413619042884,71.97222848208516
2016-08-15 04:00:00,1863.444737462744,567.5128656645937,69.16563050287238
2016-08-15 05:00:00,1658.9412725767313,505.2312508345107,61.575058695456
2016-08-15 06:00:00,1558.1216372267643,474.5265891815847,57.832928056505644
2016-08-15 07:00:00,1398.2996016435777,425.85272212950304,51.90080050953319
2016-08-15 08:00:00,1345.5984286197313,409.80255808365536,49.9446867664455
2016-08-15 09:00:00,1285.4503507120803,391.4844360748074,47.71216564661716
2016-08-15 10:00:00,1172.0282609433675,356.9416917152656,43.502268677798
2016-08-15 11:00:00,1104.4332781519122,336.35561174341734,40.993340181228994
2016-08-15 12:00:00,1087.8209518726562,331.2963209028784,40.37673911003831
2016-08-15 13:00:00,1162.8628395479159,354.15035883772686,43.16207498334796
2016-08-15 14:00:00,1276.2849293166287,388.6931031972686,47.37197195216712
2016-08-15 15:00:00,1342.7342344336528,408.93026655942447,49.83837623692987
2016-08-15 16:00:00,1433.8156095509523,436.66913702996555,53.21905107552706
2016-08-15 17:00:00,1435.5341260625996,437.19251194450413,53.28283739323645
2016-08-15 18:00:00,1320.3935197822393,402.12639267042374,49.0091541067079
2016-08-15 19:00:00,983.5642834993948,299.54490942087534,36.507035835669186
2016-08-15 20:00:00,649.0264025654133,197.6612593907116,24.089965988242977
2016-08-15 21:00:00,559.6635439597605,170.44576383470888,20.77307746735515
2016-08-15 22:00:00,590.0240023321937,179.69205399155595,21.899969080220885
2016-08-15 23:00:00,604.3449732625868,184.05351161271025,22.431521727799066
2016-08-16 00:00:00,712.0386746591425,216.85167292379037,26.428797637586957
2016-08-16 01:00:00,1083.8110800121462,330.0751127689552,40.22790436871642
2016-08-16 02:00:00,1841.1040228113309,560.7089917755931,68.33640837265041
2016-08-16 03:00:00,2118.930858860956,645.321269625986,78.64852973566705
2016-08-16 04:00:00,2034.7235497902448,619.6758988135989,75.52300016790738
2016-08-16 05:00:00,1763.1979409499925,536.9826623165139,65.44476196982514
2016-08-16 06:00:00,1649.2030123440638,502.2654596521258,61.21360289510284
2016-08-16 07:00:00,1509.4303360634276,459.6976332696601,56.02564905473984
2016-08-16 08:00:00,1436.1069648998155,437.36697024935035,53.304099499139575
2016-08-16 09:00:00,1371.3761762944387,417.653181801733,50.901481532086216
2016-08-16 10:00:00,1275.712090479413,388.5186448924225,47.350709846264
2016-08-16 11:00:00,1261.9639583862358,384.33164557611434,46.84041930458894
2016-08-16 12:00:00,1237.3318883859597,376.82993846772905,45.92614875075448
2016-08-16 13:00:00,1318.1021644333766,401.4285594510391,48.9241056830954
2016-08-16 14:00:00,1416.6304444344808,431.4353878845805,52.58118789843326
2016-08-16 15:00:00,1484.225427225936,452.02146785642867,55.090116395002255
2016-08-16 16:00:00,1578.1709965293144,480.63262985120076,58.577101763115095
2016-08-16 17:00:00,1602.2302276923747,487.9598786547398,59.47011021104642
2016-08-16 18:00:00,1464.7489067606016,446.0898854916589,54.36720479429594
2016-08-16 19:00:00,1095.8406955936764,333.73873717072485,40.67440859268209
2016-08-16 20:00:00,716.0485465196525,218.07288105771354,26.57763237890884
2016-08-16 21:00:00,584.8684527972523,178.12192924794041,21.708610127092744
2016-08-16 22:00:00,615.2289111696855,187.36821940478745,22.835501739958474
2016-08-16 23:00:00,628.9770432628629,191.5552187210956,23.34579228163353
2016-08-17 00:00:00,744.6904883804388,226.7957963000221,27.640737674065196
2016-08-17 01:00:00,1058.0333323374389,322.22448905087754,39.27110960307571
2016-08-17 02:00:00,1736.8473544380695,528.95758029359,64.4667050982813
2016-08-17 03:00:00,2215.1677835131977,674.6302648401427,82.2205635273924
2016-08-17 04:00:00,2137.8345404890747,651.0783936859095,79.35017923047025
2016-08-17 05:00:00,1875.4743530442743,571.1764900663634,69.61213472683804
2016-08-17 06:00:00,1762.0522632755612,536.6337457068215,65.40223775801888
2016-08-17 07:00:00,1595.3561616457862,485.8663789965858,59.2149649402089
2016-08-17 08:00:00,1493.3908486213875,454.81280073396744,55.43031008945229
2016-08-17 09:00:00,1428.087221178795,434.9245539815039,53.0064300164958
2016-08-17 10:00:00,1341.0157179220055,408.4068916448859,49.774589919220475
2016-08-17 11:00:00,1310.6552595495723,399.16060148803894,48.64769830635475
2016-08-17 12:00:00,1288.8873837353747,392.5311859038844,47.83973828203592
2016-08-17 13:00:00,1355.9095276896142,412.9428075708864,50.32740467270178
2016-08-17 14:00:00,1456.7291630395812,443.6474692238125,54.06953531165215
2016-08-17 15:00:00,1530.0525342031935,465.97813224412226,56.79108486725241
2016-08-17 16:00:00,1629.7264918787293,496.3338772873561,60.49069129439653
2016-08-17 17:00:00,1634.309202576455,497.72954372612537,60.66078814162154
2016-08-17 18:00:00,1504.847625365702,458.3019668308908,55.855552207514826
2016-08-17 19:00:00,1115.8900548962265,339.8447778403408,41.418582299291536
2016-08-17 20:00:00,729.2238397756142,222.0854220691755,27.06666081468077
2016-08-17 21:00:00,686.8337658216508,209.17550751055884,25.49326497784936
2016-08-17 22:00:00,721.7769348918098,219.81746410617524,26.790253437940112
2016-08-17 23:00:00,744.117649543223,226.62133799517596,27.619475568162073
2016-08-18 00:00:00,865.559483032956,263.6064986225641,32.12704201962501
2016-08-18 01:00:00,1223.0109174555669,372.4684808465748,45.394596103176305
2016-08-18 02:00:00,1980.876699091967,603.2768181580587,73.52436221301342
2016-08-18 03:00:00,2528.5106274701975,770.0589575909981,93.85093545640291
2016-08-18 04:00:00,2449.4588679344274,745.9837115222265,90.91676484177137
2016-08-18 05:00:00,2171.0591930475866,661.1969753669875,80.58338137285162
2016-08-18 06:00:00,2024.9852895575777,616.7101076312139,75.1615443675542
2016-08-18 07:00:00,1834.2299567647424,558.6154921174391,68.0812631018129
2016-08-18 08:00:00,1713.9338009494406,521.9792480997432,63.61622086215621
2016-08-18 09:00:00,1636.0277190881025,498.2529186406639,60.724574459330924
2016-08-18 10:00:00,1548.3833769940968,471.5607979991998,57.47147225615248
2016-08-18 11:00:00,1508.8574972262122,459.52317496481413,56.004386948836725
2016-08-18 12:00:00,1490.526654435309,453.94050920973655,55.32399955993665
2016-08-18 13:00:00,1574.1611246688044,479.41142171727745,58.4282670217932
2016-08-18 14:00:00,1672.6894046699085,509.4182501508188,62.08534923713105
2016-08-18 15:00:00,1755.1781972289727,534.5402460486675,65.14709248718137
2016-08-18 16:00:00,1869.7459646721168,569.4319070179017,69.39951366780679
2016-08-18 17:00:00,1866.3089316488226,568.3851571888247,69.27194103238801
