,Day,[AGRAS 1;AGRAS 2],[ASSOMATA 1;ASSOMATA 2],EDESSAIOS 1,GHIONA 1,[GLAFKOS-II NO1;GLAFKOS-II NO2],[ILARIONAS 1;ILARIONAS 2;ILARIONAS A1],[KASTRAKI 1;KASTRAKI 2;KASTRAKI 3;KASTRAKI 4],[KREMASTA 1;KREMASTA 2;KREMASTA 3;KREMASTA 4],LADONAS,[LOUROS 1;LOUROS 2;LOUROS 3],[MAKROHORI-I NO 1;MAKROHORI-I NO 2;MAKROHORI-I NO 3],[PIGAI AOOS 1;PIGAI AOOS 2],[PLASTIRA 1;PLASTIRA 2;PLASTIRA 3],[PLATANOVRISI 1;PLATANOVRISI 2],[POLYPHYTON 1;POLYPHYTON 2;POLYPHYTON 3],[POURNARI-I NO 1;POURNARI-I NO 2;POURNARI-I NO 3;POURNARI-I NO A1],[POURNARI-II NO 1;POURNARI-II NO 2],[SFIKIA 1;SFIKIA 2;SFIKIA 3],[STRATOS-I NO 1;STRATOS-I NO 2],[STRATOS-II NO 1;STRATOS-II NO 2],THISAVROS 1,0,THISAVROS 2,THISAVROS 3
2015-07-09 02:00:00,7921.875,0.0167716614583,0.00892390104167,0.00167239583333,0.00840833854167,0.0181897708333,20.4127451146,0.820143479167,15.087693901,1.86657914583,0.015064671875,0.07080453125,0.505900395833,0.30424809375,1.08394406771,0.0,5.65907246354,0.0,0.254686427083,0.0,0.0008515625,27.0854406615,,27.0854406615,27.0854406615
2015-07-09 03:00:00,7923.61111111,0.0167619791667,0.00888372916667,0.00167013888889,0.00840488194444,0.0181824166667,20.389407125,0.815658347222,15.0655193264,1.86565622222,0.0150604375,0.0707539444444,0.506125013889,0.304099027778,1.08269292361,0.0,5.65873935417,0.0,0.25338025,0.0,0.00083125,27.0780185625,,27.0780185625,27.0780185625
2015-07-09 04:00:00,7925.34722222,0.016752296875,0.00884355729167,0.00166788194444,0.00840142534722,0.0181750625,20.3660691354,0.811173215278,15.0433447517,1.86473329861,0.015056203125,0.0707033576389,0.506349631944,0.303949961806,1.08144177951,0.0,5.65840624479,0.0,0.252074072917,0.0,0.0008109375,27.0705964635,,27.0705964635,27.0705964635
2015-07-09 05:00:00,7927.08333333,0.0167426145833,0.00880338541667,0.001665625,0.00839796875,0.0181677083333,20.3427311458,0.806688083333,15.0211701771,1.863810375,0.01505196875,0.0706527708333,0.50657425,0.303800895833,1.08019063542,0.0,5.65807313542,0.0,0.250767895833,0.0,0.000790625,27.0631743646,,27.0631743646,27.0631743646
2015-07-09 06:00:00,7928.81944444,0.0167329322917,0.00876321354167,0.00166336805556,0.00839451215278,0.0181603541667,20.3193931562,0.802202951389,14.9989956024,1.86288745139,0.015047734375,0.0706021840278,0.506798868056,0.303651829861,1.07893949132,0.0,5.65774002604,0.0,0.24946171875,0.0,0.0007703125,27.0557522656,,27.0557522656,27.0557522656
2015-07-09 07:00:00,7930.55555556,0.01672325,0.00872304166667,0.00166111111111,0.00839105555556,0.018153,20.2960551667,0.797717819444,14.9768210278,1.86196452778,0.0150435,0.0705515972222,0.507023486111,0.303502763889,1.07768834722,0.0,5.65740691667,0.0,0.248155541667,0.0,0.00075,27.0483301667,,27.0483301667,27.0483301667
2015-07-09 08:00:00,7932.29166667,0.0167135677083,0.00868286979167,0.00165885416667,0.00838759895833,0.0181456458333,20.2727171771,0.7932326875,14.9546464531,1.86104160417,0.015039265625,0.0705010104167,0.507248104167,0.303353697917,1.07643720313,0.0,5.65707380729,0.0,0.246849364583,0.0,0.0007296875,27.0409080677,,27.0409080677,27.0409080677
2015-07-09 09:00:00,7934.02777778,0.0167038854167,0.00864269791667,0.00165659722222,0.00838414236111,0.0181382916667,20.2493791875,0.788747555556,14.9324718785,1.86011868056,0.01503503125,0.0704504236111,0.507472722222,0.303204631944,1.07518605903,0.0,5.65674069792,0.0,0.2455431875,0.0,0.000709375,27.0334859687,,27.0334859687,27.0334859687
2015-07-09 10:00:00,7935.76388889,0.016694203125,0.00860252604167,0.00165434027778,0.00838068576389,0.0181309375,20.2260411979,0.784262423611,14.9102973038,1.85919575694,0.015030796875,0.0703998368056,0.507697340278,0.303055565972,1.07393491493,0.0,5.65640758854,0.0,0.244237010417,0.0,0.0006890625,27.0260638698,,27.0260638698,27.0260638698
2015-07-09 11:00:00,7937.5,0.0166845208333,0.00856235416667,0.00165208333333,0.00837722916667,0.0181235833333,20.2027032083,0.779777291667,14.8881227292,1.85827283333,0.0150265625,0.07034925,0.507921958333,0.3029065,1.07268377083,0.0,5.65607447917,0.0,0.242930833333,0.0,0.00066875,27.0186417708,,27.0186417708,27.0186417708
2015-07-09 12:00:00,7939.23611111,0.0166748385417,0.00852218229167,0.00164982638889,0.00837377256944,0.0181162291667,20.1793652188,0.775292159722,14.8659481545,1.85734990972,0.015022328125,0.0702986631944,0.508146576389,0.302757434028,1.07143262674,0.0,5.65574136979,0.0,0.24162465625,0.0,0.0006484375,27.0112196719,,27.0112196719,27.0112196719
2015-07-09 13:00:00,7940.97222222,0.01666515625,0.00848201041667,0.00164756944444,0.00837031597222,0.018108875,20.1560272292,0.770807027778,14.8437735799,1.85642698611,0.01501809375,0.0702480763889,0.508371194444,0.302608368056,1.07018148264,0.0,5.65540826042,0.0,0.240318479167,0.0,0.000628125,27.0037975729,,27.0037975729,27.0037975729
2015-07-09 14:00:00,7942.70833333,0.0166554739583,0.00844183854167,0.0016453125,0.008366859375,0.0181015208333,20.1326892396,0.766321895833,14.8215990052,1.8555040625,0.015013859375,0.0701974895833,0.5085958125,0.302459302083,1.06893033854,0.0,5.65507515104,0.0,0.239012302083,0.0,0.0006078125,26.996375474,,26.996375474,26.996375474
2015-07-09 15:00:00,7944.44444444,0.0166457916667,0.00840166666667,0.00164305555556,0.00836340277778,0.0180941666667,20.10935125,0.761836763889,14.7994244306,1.85458113889,0.015009625,0.0701469027778,0.508820430556,0.302310236111,1.06767919444,0.0,5.65474204167,0.0,0.237706125,0.0,0.0005875,26.988953375,,26.988953375,26.988953375
2015-07-09 16:00:00,7946.18055556,0.016636109375,0.00836149479167,0.00164079861111,0.00835994618056,0.0180868125,20.0860132604,0.757351631944,14.7772498559,1.85365821528,0.015005390625,0.0700963159722,0.509045048611,0.302161170139,1.06642805035,0.0,5.65440893229,0.0,0.236399947917,0.0,0.0005671875,26.981531276,,26.981531276,26.981531276
2015-07-09 17:00:00,7947.91666667,0.0166264270833,0.00832132291667,0.00163854166667,0.00835648958333,0.0180794583333,20.0626752708,0.7528665,14.7550752812,1.85273529167,0.01500115625,0.0700457291667,0.509269666667,0.302012104167,1.06517690625,0.0,5.65407582292,0.0,0.235093770833,0.0,0.000546875,26.9741091771,,26.9741091771,26.9741091771
2015-07-09 18:00:00,7949.65277778,0.0166167447917,0.00828115104167,0.00163628472222,0.00835303298611,0.0180721041667,20.0393372812,0.748381368056,14.7329007066,1.85181236806,0.014996921875,0.0699951423611,0.509494284722,0.301863038194,1.06392576215,0.0,5.65374271354,0.0,0.23378759375,0.0,0.0005265625,26.9666870781,,26.9666870781,26.9666870781
2015-07-09 19:00:00,7951.38888889,0.0166070625,0.00824097916667,0.00163402777778,0.00834957638889,0.01806475,20.0159992917,0.743896236111,14.7107261319,1.85088944444,0.0149926875,0.0699445555556,0.509718902778,0.301713972222,1.06267461806,0.0,5.65340960417,0.0,0.232481416667,0.0,0.00050625,26.9592649792,,26.9592649792,26.9592649792
2015-07-09 20:00:00,7953.125,0.0165973802083,0.00820080729167,0.00163177083333,0.00834611979167,0.0180573958333,19.9926613021,0.739411104167,14.6885515573,1.84996652083,0.014988453125,0.06989396875,0.509943520833,0.30156490625,1.06142347396,0.0,5.65307649479,0.0,0.231175239583,0.0,0.0004859375,26.9518428802,,26.9518428802,26.9518428802
2015-07-09 21:00:00,7954.86111111,0.0165876979167,0.00816063541667,0.00162951388889,0.00834266319444,0.0180500416667,19.9693233125,0.734925972222,14.6663769826,1.84904359722,0.01498421875,0.0698433819444,0.510168138889,0.301415840278,1.06017232986,0.0,5.65274338542,0.0,0.2298690625,0.0,0.000465625,26.9444207812,,26.9444207812,26.9444207812
2015-07-09 22:00:00,7956.59722222,0.016578015625,0.00812046354167,0.00162725694444,0.00833920659722,0.0180426875,19.9459853229,0.730440840278,14.644202408,1.84812067361,0.014979984375,0.0697927951389,0.510392756944,0.301266774306,1.05892118576,0.0,5.65241027604,0.0,0.228562885417,0.0,0.0004453125,26.9369986823,,26.9369986823,26.9369986823
2015-07-09 23:00:00,7958.33333333,0.0165683333333,0.00808029166667,0.001625,0.00833575,0.0180353333333,19.9226473333,0.725955708333,14.6220278333,1.84719775,0.01497575,0.0697422083333,0.510617375,0.301117708333,1.05767004167,0.0,5.65207716667,0.0,0.227256708333,0.0,0.000425,26.9295765833,,26.9295765833,26.9295765833
