,PHOT,WTOF,WTON,HE Kraljevac,HE Dale,HE Varazdin,HE Dubrava,HE Cakovec,HE Gojak,HE Lesce,HE Rijeka,HE Miljacka,mHE Hrvatska,HROR
2015-01-03 02:00:00+00:00,0,0,0.168,0.159508919,0.439074214,0.356845732,0.464388609,0.107973,0.235638,0.131626,0.057823,1,0.293899,0.30007
2015-01-03 03:00:00+00:00,0,0,0.16,0.158893181,0.437379297,0.356441806,0.464351072,0.10596,0.235157,0.131357,0.057665,1,0.293231,0.299387
2015-01-03 04:00:00+00:00,0,0,0.146,0.158277444,0.43568438,0.356037881,0.464313536,0.104073,0.234677,0.131088,0.057508,1,0.292582,0.298724
2015-01-03 05:00:00+00:00,0,0,0.142,0.157661707,0.433989464,0.355633955,0.464275999,0.102319,0.234196,0.13082,0.05735,1,0.291953,0.298082
2015-01-03 06:00:00+00:00,0,0,0.139,0.15704597,0.432294547,0.35523003,0.464238462,0.100801,0.233715,0.130551,0.057192,1,0.29136,0.297477
2015-01-03 07:00:00+00:00,0.001037451,0,0.139,0.156430232,0.43059963,0.354826104,0.464200926,0.09917,0.233234,0.130283,0.057034,1,0.29075,0.296854
2015-01-03 08:00:00+00:00,0.004495621,0,0.12,0.155814495,0.428904714,0.354422179,0.464163389,0.097503,0.232753,0.130014,0.056876,1,0.290134,0.296226
2015-01-03 09:00:00+00:00,0.010893237,0,0.129,0.155198758,0.427209797,0.354018253,0.464125853,0.095983,0.232273,0.129746,0.056718,1,0.289541,0.29562
2015-01-03 10:00:00+00:00,0.018501211,0,0.145,0.154583021,0.42551488,0.353614327,0.464088316,0.094464,0.231792,0.129477,0.05656,1,0.288948,0.295015
2015-01-03 11:00:00+00:00,0.025590461,0,0.147,0.153967284,0.423819963,0.353210402,0.464050779,0.093042,0.231311,0.129209,0.056402,1,0.28837,0.294425
2015-01-03 12:00:00+00:00,0.022823924,0,0.135,0.153351546,0.422125047,0.352806476,0.464013243,0.092368,0.23083,0.12894,0.056244,1,0.287907,0.293952
2015-01-03 13:00:00+00:00,0.012968139,0,0.112,0.152735809,0.42043013,0.352402551,0.463975706,0.091252,0.23035,0.128671,0.056086,1,0.287376,0.29341
2015-01-03 14:00:00+00:00,0.003112353,0,0.112,0.152120072,0.418735213,0.351998625,0.46393817,0.089983,0.229869,0.128403,0.055929,1,0.286822,0.292843
2015-01-03 15:00:00+00:00,0,0,0.125,0.151504335,0.417040297,0.3515947,0.463900633,0.089025,0.229388,0.128134,0.055771,1,0.286315,0.292326
